CTNN_NM,NAT_NM,2021,2022,2023,2024,2025,2026
교포,교포,7790.0,14339.0,26319.0,23129.0,17522.0,9985.0
기타,기타,39.0,161.0,119.0,136.0,160.0,150.0
아메리카,기타,1766.0,6028.0,25702.0,34170.0,43309.0,45414.0
아메리카,멕시코,2427.0,4201.0,13867.0,25609.0,54209.0,54228.0
아메리카,미국,126263.0,281440.0,701938.0,864390.0,974357.0,962423.0
아메리카,브라질,1086.0,3956.0,14318.0,20657.0,26364.0,27936.0
아메리카,캐나다,13402.0,45845.0,126387.0,166835.0,182538.0,184576.0
아시아,GCC,1416.0,7254.0,20018.0,27843.0,25267.0,15641.0
아시아,기타,5125.0,28052.0,57856.0,65548.0,82832.0,83821.0
아시아,대만,2830.0,10032.0,604577.0,976144.0,1253081.0,1410978.0
아시아,마카오,17.0,86.0,14973.0,29863.0,28908.0,28936.0
아시아,말레이시아,2710.0,17920.0,141013.0,172422.0,183657.0,187073.0
아시아,몽골,2660.0,23790.0,90983.0,91288.0,113246.0,102066.0
아시아,미얀마,36544.0,43176.0,35625.0,48732.0,56848.0,78204.0
아시아,방글라데시,1610.0,9005.0,12918.0,16168.0,16844.0,17746.0
아시아,베트남,13764.0,79307.0,269230.0,341532.0,368230.0,347517.0
아시아,스리랑카,2337.0,7562.0,13682.0,19067.0,20123.0,16575.0
아시아,싱가포르,876.0,41726.0,185322.0,203451.0,217230.0,224221.0
아시아,우즈베키스탄,9085.0,20747.0,34017.0,39507.0,44892.0,41370.0
아시아,이란,284.0,1195.0,1804.0,2876.0,2552.0,1308.0
아시아,이스라엘,587.0,2396.0,9892.0,8413.0,13291.0,12922.0
아시아,인도,20208.0,35762.0,71715.0,119409.0,134266.0,138115.0
아시아,인도네시아,31313.0,50481.0,149712.0,211766.0,241140.0,259491.0
아시아,일본,10256.0,55551.0,1337044.0,1998417.0,2297814.0,2280159.0
아시아,중국,112873.0,123346.0,1030857.0,3183607.0,3733606.0,3988430.0
아시아,카자흐스탄,5127.0,17618.0,30791.0,37728.0,44959.0,42892.0
아시아,캄보디아,3653.0,11116.0,26775.0,32961.0,35154.0,34220.0
아시아,태국,4873.0,61174.0,245663.0,203159.0,200035.0,209998.0
아시아,튀르키예,3509.0,10138.0,20126.0,31447.0,39945.0,47717.0
아시아,파키스탄,1806.0,5196.0,7720.0,10969.0,10170.0,9185.0
아시아,필리핀,73477.0,106644.0,197881.0,317735.0,391021.0,405831.0
아시아,홍콩,782.0,4887.0,251356.0,373510.0,419725.0,416888.0
아프리카,기타,7119.0,12784.0,28474.0,35352.0,38209.0,35263.0
아프리카,남아프리카공화국,756.0,3035.0,8476.0,11282.0,13429.0,11455.0
오세아니아,기타,358.0,381.0,1427.0,1919.0,2097.0,1987.0
오세아니아,뉴질랜드,931.0,5216.0,23751.0,25121.0,27570.0,25457.0
오세아니아,호주,1637.0,21488.0,115517.0,148358.0,162701.0,168587.0
유럽,그리스,1917.0,3408.0,5098.0,7288.0,8186.0,8246.0
유럽,기타,4030.0,9926.0,28090.0,35102.0,40590.0,42561.0
유럽,네덜란드,9116.0,14524.0,33568.0,36326.0,42501.0,41123.0
유럽,노르웨이,488.0,2347.0,7622.0,8262.0,9397.0,12577.0
유럽,덴마크,827.0,3122.0,8651.0,10036.0,10599.0,13808.0
유럽,독일,11664.0,33898.0,87250.0,103910.0,114866.0,113944.0
유럽,러시아,20080.0,31059.0,104841.0,130723.0,152112.0,142370.0
유럽,루마니아,1904.0,3392.0,6929.0,10597.0,12316.0,13415.0
유럽,벨기에,1301.0,3921.0,11043.0,12595.0,13667.0,14310.0
유럽,불가리아,1185.0,2095.0,2852.0,4257.0,5150.0,5342.0
유럽,스웨덴,833.0,3641.0,12874.0,13384.0,14430.0,19988.0
유럽,스위스,891.0,3887.0,13767.0,16992.0,18763.0,21356.0
유럽,스페인,1444.0,6945.0,22171.0,30164.0,38036.0,35619.0
유럽,아일랜드,469.0,2090.0,6150.0,8004.0,9567.0,10365.0
유럽,영국,4876.0,21937.0,80624.0,98322.0,113613.0,121686.0
유럽,오스트리아,1032.0,3488.0,8738.0,10447.0,11052.0,11024.0
유럽,우크라이나,9374.0,8698.0,9869.0,14685.0,15598.0,15928.0
유럽,이탈리아,2138.0,8854.0,31349.0,41730.0,52055.0,50367.0
유럽,크로아티아,984.0,1477.0,2305.0,4001.0,4765.0,4396.0
유럽,포르투갈,712.0,1999.0,6054.0,8850.0,11142.0,11614.0
유럽,폴란드,2549.0,5878.0,17994.0,28148.0,34490.0,38050.0
유럽,프랑스,9490.0,32638.0,87925.0,109647.0,119415.0,115502.0
유럽,핀란드,1679.0,2844.0,8508.0,9137.0,9887.0,10786.0
