BASE_DATE,CTNN_NM,C_RATE,NAT_NM,PRE_QTY,QTY,R_LEV,SEX_CD,SRT_NO
202101,대륙전체,-96.7,연도,501521.0,16511.0,1,남성,0
202101,대륙전체,-99.0,연도,691867.0,7009.0,1,여성,0
202101,대륙전체,-56.0,연도,79320.0,34877.0,1,승무원,0
202101,대륙전체,-95.4,연도,1272708.0,58397.0,1,전체,0
202101,아시아,-97.4,연도대륙,409437.0,10629.0,2,남성,0
202101,아시아,-99.5,연도대륙,616845.0,3111.0,2,여성,0
202101,아시아,-65.2,연도대륙,54947.0,19099.0,2,승무원,0
202101,아시아,-97.0,연도대륙,1081229.0,32839.0,2,전체,0
202101,아시아,-98.7,중국,179530.0,2405.0,3,남성,1
202101,아시아,-99.5,중국,289862.0,1421.0,3,여성,1
202101,아시아,-71.4,중국,12289.0,3520.0,3,승무원,1
202101,아시아,-98.5,중국,481681.0,7346.0,3,전체,1
202101,아시아,-98.7,일본,71921.0,951.0,3,남성,2
202101,아시아,-99.8,일본,129621.0,286.0,3,여성,2
202101,아시아,-97.4,일본,2427.0,62.0,3,승무원,2
202101,아시아,-99.4,일본,203969.0,1299.0,3,전체,2
202101,아시아,-99.8,대만,41404.0,67.0,3,남성,3
202101,아시아,-99.9,대만,68152.0,62.0,3,여성,3
202101,아시아,-84.5,대만,798.0,124.0,3,승무원,3
202101,아시아,-99.8,대만,110354.0,253.0,3,전체,3
202101,아시아,-99.9,홍콩,26637.0,14.0,3,남성,4
202101,아시아,-99.9,홍콩,39589.0,27.0,3,여성,4
202101,아시아,-97.3,홍콩,736.0,20.0,3,승무원,4
202101,아시아,-99.9,홍콩,66962.0,61.0,3,전체,4
202101,아시아,-100.0,마카오,2038.0,0.0,3,남성,5
202101,아시아,-100.0,마카오,3309.0,0.0,3,여성,5
202101,아시아,0.0,마카오,0.0,0.0,3,승무원,5
202101,아시아,-100.0,마카오,5347.0,0.0,3,전체,5
202101,아시아,-84.6,필리핀,10881.0,1680.0,3,남성,6
202101,아시아,-99.5,필리핀,8348.0,44.0,3,여성,6
202101,아시아,-44.5,필리핀,11473.0,6363.0,3,승무원,6
202101,아시아,-73.7,필리핀,30702.0,8087.0,3,전체,6
202101,아시아,-85.2,인도네시아,7728.0,1144.0,3,남성,7
202101,아시아,-99.1,인도네시아,8646.0,75.0,3,여성,7
202101,아시아,-35.7,인도네시아,3069.0,1974.0,3,승무원,7
202101,아시아,-83.6,인도네시아,19443.0,3193.0,3,전체,7
202101,아시아,-99.6,태국,11949.0,48.0,3,남성,8
202101,아시아,-99.5,태국,21142.0,103.0,3,여성,8
202101,아시아,-91.1,태국,5375.0,477.0,3,승무원,8
202101,아시아,-98.4,태국,38466.0,628.0,3,전체,8
202101,아시아,-96.7,베트남,11277.0,368.0,3,남성,9
202101,아시아,-97.9,베트남,13072.0,268.0,3,여성,9
202101,아시아,-93.6,베트남,5883.0,376.0,3,승무원,9
202101,아시아,-96.7,베트남,30232.0,1012.0,3,전체,9
202101,아시아,-79.7,인도,4807.0,975.0,3,남성,10
202101,아시아,-91.9,인도,928.0,75.0,3,여성,10
