SGG_CD,SGG_NM,MCLS_NM,SRCH_CNT,TOTL_CNT,SPPY_SRCH_CNT,SPPY_SRCH_PER,TOTL_SPPY_SRCH_CNT,TOTL_SPPY_SRCH_PER
41500,경기도 이천시,기타관광,174002006,2688055119,,,,
41500,경기도 이천시,레저스포츠,123956738,2688055119,,,,
41500,경기도 이천시,문화관광,304199404,2688055119,,,,
41500,경기도 이천시,쇼핑,154088721,2688055119,,,,
41500,경기도 이천시,숙박,285331364,2688055119,,,,
41500,경기도 이천시,역사관광,75971353,2688055119,,,,
41500,경기도 이천시,음식,1445063818,2688055119,,,,
41500,경기도 이천시,자연관광,110908743,2688055119,,,,
41500,경기도 이천시,체험관광,14532972,2688055119,,,,
41461,경기도 용인시 처인구,기타관광,174002006,2688055119,,,,
41461,경기도 용인시 처인구,레저스포츠,123956738,2688055119,,,,
41461,경기도 용인시 처인구,문화관광,304199404,2688055119,,,,
41461,경기도 용인시 처인구,쇼핑,154088721,2688055119,,,,
41461,경기도 용인시 처인구,숙박,285331364,2688055119,,,,
41461,경기도 용인시 처인구,역사관광,75971353,2688055119,,,,
41461,경기도 용인시 처인구,음식,1445063818,2688055119,,,,
41461,경기도 용인시 처인구,자연관광,110908743,2688055119,,,,
41461,경기도 용인시 처인구,체험관광,14532972,2688055119,,,,
41480,경기도 파주시,기타관광,174002006,2688055119,,,,
41480,경기도 파주시,레저스포츠,123956738,2688055119,,,,
41480,경기도 파주시,문화관광,304199404,2688055119,,,,
41480,경기도 파주시,쇼핑,154088721,2688055119,,,,
41480,경기도 파주시,숙박,285331364,2688055119,,,,
41480,경기도 파주시,역사관광,75971353,2688055119,,,,
41480,경기도 파주시,음식,1445063818,2688055119,,,,
41480,경기도 파주시,자연관광,110908743,2688055119,,,,
41480,경기도 파주시,체험관광,14532972,2688055119,,,,
41650,경기도 포천시,기타관광,174002006,2688055119,,,,
41650,경기도 포천시,레저스포츠,123956738,2688055119,,,,
41650,경기도 포천시,문화관광,304199404,2688055119,,,,
41650,경기도 포천시,쇼핑,154088721,2688055119,,,,
41650,경기도 포천시,숙박,285331364,2688055119,,,,
41650,경기도 포천시,역사관광,75971353,2688055119,,,,
41650,경기도 포천시,음식,1445063818,2688055119,,,,
41650,경기도 포천시,자연관광,110908743,2688055119,,,,
41650,경기도 포천시,체험관광,14532972,2688055119,,,,
41430,경기도 의왕시,기타관광,174002006,2688055119,,,,
41430,경기도 의왕시,레저스포츠,123956738,2688055119,,,,
41430,경기도 의왕시,문화관광,304199404,2688055119,,,,
41430,경기도 의왕시,쇼핑,154088721,2688055119,,,,
41430,경기도 의왕시,숙박,285331364,2688055119,,,,
41430,경기도 의왕시,역사관광,75971353,2688055119,,,,
41430,경기도 의왕시,음식,1445063818,2688055119,,,,
41430,경기도 의왕시,자연관광,110908743,2688055119,,,,
41430,경기도 의왕시,체험관광,14532972,2688055119,,,,
41590,경기도 화성시,기타관광,174002006,2688055119,,,,
41590,경기도 화성시,레저스포츠,123956738,2688055119,,,,
41590,경기도 화성시,문화관광,304199404,2688055119,,,,
41590,경기도 화성시,쇼핑,154088721,2688055119,,,,
41590,경기도 화성시,숙박,285331364,2688055119,,,,
41590,경기도 화성시,역사관광,75971353,2688055119,,,,
41590,경기도 화성시,음식,1445063818,2688055119,,,,
41590,경기도 화성시,자연관광,110908743,2688055119,,,,
41590,경기도 화성시,체험관광,14532972,2688055119,,,,
41465,경기도 용인시 수지구,기타관광,174002006,2688055119,,,,
41465,경기도 용인시 수지구,레저스포츠,123956738,2688055119,,,,
41465,경기도 용인시 수지구,문화관광,304199404,2688055119,,,,
41465,경기도 용인시 수지구,쇼핑,154088721,2688055119,,,,
41465,경기도 용인시 수지구,숙박,285331364,2688055119,,,,
41465,경기도 용인시 수지구,역사관광,75971353,2688055119,,,,
41465,경기도 용인시 수지구,음식,1445063818,2688055119,,,,
41465,경기도 용인시 수지구,자연관광,110908743,2688055119,,,,
41465,경기도 용인시 수지구,체험관광,14532972,2688055119,,,,
41597,경기도 화성시 동탄구,기타관광,174002006,2688055119,,,,
41597,경기도 화성시 동탄구,레저스포츠,123956738,2688055119,,,,
41597,경기도 화성시 동탄구,문화관광,304199404,2688055119,,,,
41597,경기도 화성시 동탄구,쇼핑,154088721,2688055119,,,,
41597,경기도 화성시 동탄구,숙박,285331364,2688055119,,,,
41597,경기도 화성시 동탄구,역사관광,75971353,2688055119,,,,
41597,경기도 화성시 동탄구,음식,1445063818,2688055119,,,,
41597,경기도 화성시 동탄구,자연관광,110908743,2688055119,,,,
41597,경기도 화성시 동탄구,체험관광,14532972,2688055119,,,,
41595,경기도 화성시 병점구,기타관광,174002006,2688055119,,,,
41595,경기도 화성시 병점구,레저스포츠,123956738,2688055119,,,,
41595,경기도 화성시 병점구,문화관광,304199404,2688055119,,,,
41595,경기도 화성시 병점구,쇼핑,154088721,2688055119,,,,
41595,경기도 화성시 병점구,숙박,285331364,2688055119,,,,
41595,경기도 화성시 병점구,역사관광,75971353,2688055119,,,,
41595,경기도 화성시 병점구,음식,1445063818,2688055119,,,,
41595,경기도 화성시 병점구,자연관광,110908743,2688055119,,,,
41595,경기도 화성시 병점구,체험관광,14532972,2688055119,,,,
41593,경기도 화성시 효행구,기타관광,174002006,2688055119,,,,
41593,경기도 화성시 효행구,레저스포츠,123956738,2688055119,,,,
41593,경기도 화성시 효행구,문화관광,304199404,2688055119,,,,
41593,경기도 화성시 효행구,쇼핑,154088721,2688055119,,,,
41593,경기도 화성시 효행구,숙박,285331364,2688055119,,,,
41593,경기도 화성시 효행구,역사관광,75971353,2688055119,,,,
41593,경기도 화성시 효행구,음식,1445063818,2688055119,,,,
41593,경기도 화성시 효행구,자연관광,110908743,2688055119,,,,
41593,경기도 화성시 효행구,체험관광,14532972,2688055119,,,,
41591,경기도 화성시 만세구,기타관광,174002006,2688055119,,,,
41591,경기도 화성시 만세구,레저스포츠,123956738,2688055119,,,,
41591,경기도 화성시 만세구,문화관광,304199404,2688055119,,,,
41591,경기도 화성시 만세구,쇼핑,154088721,2688055119,,,,
41591,경기도 화성시 만세구,숙박,285331364,2688055119,,,,
41591,경기도 화성시 만세구,역사관광,75971353,2688055119,,,,
41591,경기도 화성시 만세구,음식,1445063818,2688055119,,,,
41591,경기도 화성시 만세구,자연관광,110908743,2688055119,,,,
41591,경기도 화성시 만세구,체험관광,14532972,2688055119,,,,
43760,충청북도 괴산군,기타관광,174002006,2688055119,,,,
43760,충청북도 괴산군,레저스포츠,123956738,2688055119,,,,
43760,충청북도 괴산군,문화관광,304199404,2688055119,,,,
43760,충청북도 괴산군,쇼핑,154088721,2688055119,,,,
43760,충청북도 괴산군,숙박,285331364,2688055119,,,,
43760,충청북도 괴산군,역사관광,75971353,2688055119,,,,
43760,충청북도 괴산군,음식,1445063818,2688055119,,,,
43760,충청북도 괴산군,자연관광,110908743,2688055119,,,,
43760,충청북도 괴산군,체험관광,14532972,2688055119,,,,
43800,충청북도 단양군,기타관광,174002006,2688055119,,,,
43800,충청북도 단양군,레저스포츠,123956738,2688055119,,,,
43800,충청북도 단양군,문화관광,304199404,2688055119,,,,
43800,충청북도 단양군,쇼핑,154088721,2688055119,,,,
43800,충청북도 단양군,숙박,285331364,2688055119,,,,
43800,충청북도 단양군,역사관광,75971353,2688055119,,,,
43800,충청북도 단양군,음식,1445063818,2688055119,,,,
43800,충청북도 단양군,자연관광,110908743,2688055119,,,,
43800,충청북도 단양군,체험관광,14532972,2688055119,,,,
43720,충청북도 보은군,기타관광,174002006,2688055119,,,,
43720,충청북도 보은군,레저스포츠,123956738,2688055119,,,,
43720,충청북도 보은군,문화관광,304199404,2688055119,,,,
43720,충청북도 보은군,쇼핑,154088721,2688055119,,,,
43720,충청북도 보은군,숙박,285331364,2688055119,,,,
43720,충청북도 보은군,역사관광,75971353,2688055119,,,,
43720,충청북도 보은군,음식,1445063818,2688055119,,,,
43720,충청북도 보은군,자연관광,110908743,2688055119,,,,
43720,충청북도 보은군,체험관광,14532972,2688055119,,,,
43740,충청북도 영동군,기타관광,174002006,2688055119,,,,
43740,충청북도 영동군,레저스포츠,123956738,2688055119,,,,
43740,충청북도 영동군,문화관광,304199404,2688055119,,,,
43740,충청북도 영동군,쇼핑,154088721,2688055119,,,,
43740,충청북도 영동군,숙박,285331364,2688055119,,,,
43740,충청북도 영동군,역사관광,75971353,2688055119,,,,
43740,충청북도 영동군,음식,1445063818,2688055119,,,,
43740,충청북도 영동군,자연관광,110908743,2688055119,,,,
43740,충청북도 영동군,체험관광,14532972,2688055119,,,,
43730,충청북도 옥천군,기타관광,174002006,2688055119,,,,
43730,충청북도 옥천군,레저스포츠,123956738,2688055119,,,,
43730,충청북도 옥천군,문화관광,304199404,2688055119,,,,
43730,충청북도 옥천군,쇼핑,154088721,2688055119,,,,
43730,충청북도 옥천군,숙박,285331364,2688055119,,,,
43730,충청북도 옥천군,역사관광,75971353,2688055119,,,,
43730,충청북도 옥천군,음식,1445063818,2688055119,,,,
43730,충청북도 옥천군,자연관광,110908743,2688055119,,,,
43730,충청북도 옥천군,체험관광,14532972,2688055119,,,,
43745,충청북도 증평군,기타관광,174002006,2688055119,,,,
43745,충청북도 증평군,레저스포츠,123956738,2688055119,,,,
43745,충청북도 증평군,문화관광,304199404,2688055119,,,,
43745,충청북도 증평군,쇼핑,154088721,2688055119,,,,
43745,충청북도 증평군,숙박,285331364,2688055119,,,,
43745,충청북도 증평군,역사관광,75971353,2688055119,,,,
43745,충청북도 증평군,음식,1445063818,2688055119,,,,
43745,충청북도 증평군,자연관광,110908743,2688055119,,,,
43745,충청북도 증평군,체험관광,14532972,2688055119,,,,
43112,충청북도 청주시 서원구,기타관광,174002006,2688055119,,,,
43112,충청북도 청주시 서원구,레저스포츠,123956738,2688055119,,,,
43112,충청북도 청주시 서원구,문화관광,304199404,2688055119,,,,
43112,충청북도 청주시 서원구,쇼핑,154088721,2688055119,,,,
43112,충청북도 청주시 서원구,숙박,285331364,2688055119,,,,
43112,충청북도 청주시 서원구,역사관광,75971353,2688055119,,,,
43112,충청북도 청주시 서원구,음식,1445063818,2688055119,,,,
43112,충청북도 청주시 서원구,자연관광,110908743,2688055119,,,,
43112,충청북도 청주시 서원구,체험관광,14532972,2688055119,,,,
43114,충청북도 청주시 청원구,기타관광,174002006,2688055119,,,,
43114,충청북도 청주시 청원구,레저스포츠,123956738,2688055119,,,,
43114,충청북도 청주시 청원구,문화관광,304199404,2688055119,,,,
43114,충청북도 청주시 청원구,쇼핑,154088721,2688055119,,,,
43114,충청북도 청주시 청원구,숙박,285331364,2688055119,,,,
43114,충청북도 청주시 청원구,역사관광,75971353,2688055119,,,,
43114,충청북도 청주시 청원구,음식,1445063818,2688055119,,,,
43114,충청북도 청주시 청원구,자연관광,110908743,2688055119,,,,
43114,충청북도 청주시 청원구,체험관광,14532972,2688055119,,,,
43113,충청북도 청주시 흥덕구,기타관광,174002006,2688055119,,,,
43113,충청북도 청주시 흥덕구,레저스포츠,123956738,2688055119,,,,
43113,충청북도 청주시 흥덕구,문화관광,304199404,2688055119,,,,
43113,충청북도 청주시 흥덕구,쇼핑,154088721,2688055119,,,,
43113,충청북도 청주시 흥덕구,숙박,285331364,2688055119,,,,
43113,충청북도 청주시 흥덕구,역사관광,75971353,2688055119,,,,
43113,충청북도 청주시 흥덕구,음식,1445063818,2688055119,,,,
43113,충청북도 청주시 흥덕구,자연관광,110908743,2688055119,,,,
43113,충청북도 청주시 흥덕구,체험관광,14532972,2688055119,,,,
43770,충청북도 음성군,기타관광,174002006,2688055119,,,,
43770,충청북도 음성군,레저스포츠,123956738,2688055119,,,,
43770,충청북도 음성군,문화관광,304199404,2688055119,,,,
43770,충청북도 음성군,쇼핑,154088721,2688055119,,,,
43770,충청북도 음성군,숙박,285331364,2688055119,,,,
43770,충청북도 음성군,역사관광,75971353,2688055119,,,,
43770,충청북도 음성군,음식,1445063818,2688055119,,,,
43770,충청북도 음성군,자연관광,110908743,2688055119,,,,
43770,충청북도 음성군,체험관광,14532972,2688055119,,,,
43750,충청북도 진천군,기타관광,174002006,2688055119,,,,
43750,충청북도 진천군,레저스포츠,123956738,2688055119,,,,
43750,충청북도 진천군,문화관광,304199404,2688055119,,,,
43750,충청북도 진천군,쇼핑,154088721,2688055119,,,,
43750,충청북도 진천군,숙박,285331364,2688055119,,,,
43750,충청북도 진천군,역사관광,75971353,2688055119,,,,
43750,충청북도 진천군,음식,1445063818,2688055119,,,,
43750,충청북도 진천군,자연관광,110908743,2688055119,,,,
43750,충청북도 진천군,체험관광,14532972,2688055119,,,,
43130,충청북도 충주시,기타관광,174002006,2688055119,,,,
43130,충청북도 충주시,레저스포츠,123956738,2688055119,,,,
43130,충청북도 충주시,문화관광,304199404,2688055119,,,,
43130,충청북도 충주시,쇼핑,154088721,2688055119,,,,
43130,충청북도 충주시,숙박,285331364,2688055119,,,,
43130,충청북도 충주시,역사관광,75971353,2688055119,,,,
43130,충청북도 충주시,음식,1445063818,2688055119,,,,
43130,충청북도 충주시,자연관광,110908743,2688055119,,,,
43130,충청북도 충주시,체험관광,14532972,2688055119,,,,
44270,충청남도 당진시,기타관광,174002006,2688055119,,,,
44270,충청남도 당진시,레저스포츠,123956738,2688055119,,,,
44270,충청남도 당진시,문화관광,304199404,2688055119,,,,
44270,충청남도 당진시,쇼핑,154088721,2688055119,,,,
44270,충청남도 당진시,숙박,285331364,2688055119,,,,
44270,충청남도 당진시,역사관광,75971353,2688055119,,,,
44270,충청남도 당진시,음식,1445063818,2688055119,,,,
44270,충청남도 당진시,자연관광,110908743,2688055119,,,,
44270,충청남도 당진시,체험관광,14532972,2688055119,,,,
44150,충청남도 공주시,기타관광,174002006,2688055119,,,,
