SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL
11215,서울특별시 광진구,1,방문자유입,
11215,서울특별시 광진구,2,숙박방문자 비율,11.0
11215,서울특별시 광진구,3,체류시간,10.1
11215,서울특별시 광진구,4,목적지 검색량,
11215,서울특별시 광진구,5,관광소비,13.1
11500,서울특별시 강서구,1,방문자유입,
11500,서울특별시 강서구,2,숙박방문자 비율,11.2
11500,서울특별시 강서구,3,체류시간,8.9
11500,서울특별시 강서구,4,목적지 검색량,
11500,서울특별시 강서구,5,관광소비,11.5
11680,서울특별시 강남구,1,방문자유입,
11680,서울특별시 강남구,2,숙박방문자 비율,11.0
11680,서울특별시 강남구,3,체류시간,11.0
11680,서울특별시 강남구,4,목적지 검색량,
11680,서울특별시 강남구,5,관광소비,12.6
11530,서울특별시 구로구,1,방문자유입,
11530,서울특별시 구로구,2,숙박방문자 비율,11.1
11530,서울특별시 구로구,3,체류시간,10.4
11530,서울특별시 구로구,4,목적지 검색량,
11530,서울특별시 구로구,5,관광소비,12.5
11305,서울특별시 강북구,1,방문자유입,
11305,서울특별시 강북구,2,숙박방문자 비율,11.3
11305,서울특별시 강북구,3,체류시간,9.7
11305,서울특별시 강북구,4,목적지 검색량,
11305,서울특별시 강북구,5,관광소비,12.8
11740,서울특별시 강동구,1,방문자유입,
11740,서울특별시 강동구,2,숙박방문자 비율,11.7
11740,서울특별시 강동구,3,체류시간,10.7
11740,서울특별시 강동구,4,목적지 검색량,
11740,서울특별시 강동구,5,관광소비,13.9
11620,서울특별시 관악구,1,방문자유입,
11620,서울특별시 관악구,2,숙박방문자 비율,11.4
11620,서울특별시 관악구,3,체류시간,9.3
11620,서울특별시 관악구,4,목적지 검색량,
11620,서울특별시 관악구,5,관광소비,11.6
11545,서울특별시 금천구,1,방문자유입,
11545,서울특별시 금천구,2,숙박방문자 비율,11.1
11545,서울특별시 금천구,3,체류시간,10.5
11545,서울특별시 금천구,4,목적지 검색량,
11545,서울특별시 금천구,5,관광소비,11.6
11650,서울특별시 서초구,1,방문자유입,
11650,서울특별시 서초구,2,숙박방문자 비율,10.9
11650,서울특별시 서초구,3,체류시간,10.3
11650,서울특별시 서초구,4,목적지 검색량,
11650,서울특별시 서초구,5,관광소비,14.7
