SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL,TURSM_DNS_DIV_VAL2
11530,서울특별시 구로구,1,방문자유입,240,20
11530,서울특별시 구로구,2,숙박방문자 비율,203,57
11530,서울특별시 구로구,3,체류시간,56,204
11530,서울특별시 구로구,4,목적지 검색량,133,126
11530,서울특별시 구로구,5,관광소비,229,31
11740,서울특별시 강동구,1,방문자유입,222,38
11740,서울특별시 강동구,2,숙박방문자 비율,224,36
11740,서울특별시 강동구,3,체류시간,178,82
11740,서울특별시 강동구,4,목적지 검색량,161,98
11740,서울특별시 강동구,5,관광소비,195,65
11500,서울특별시 강서구,1,방문자유입,249,11
11500,서울특별시 강서구,2,숙박방문자 비율,247,13
11500,서울특별시 강서구,3,체류시간,81,179
11500,서울특별시 강서구,4,목적지 검색량,248,11
11500,서울특별시 강서구,5,관광소비,256,4
11680,서울특별시 강남구,1,방문자유입,259,1
11680,서울특별시 강남구,2,숙박방문자 비율,258,2
11680,서울특별시 강남구,3,체류시간,14,246
11680,서울특별시 강남구,4,목적지 검색량,257,2
11680,서울특별시 강남구,5,관광소비,258,2
11215,서울특별시 광진구,1,방문자유입,246,14
11215,서울특별시 광진구,2,숙박방문자 비율,230,30
11215,서울특별시 광진구,3,체류시간,39,221
11215,서울특별시 광진구,4,목적지 검색량,200,59
11215,서울특별시 광진구,5,관광소비,226,34
11545,서울특별시 금천구,1,방문자유입,153,107
11545,서울특별시 금천구,2,숙박방문자 비율,129,131
11545,서울특별시 금천구,3,체류시간,108,152
11545,서울특별시 금천구,4,목적지 검색량,109,150
11545,서울특별시 금천구,5,관광소비,186,74
11305,서울특별시 강북구,1,방문자유입,170,90
11305,서울특별시 강북구,2,숙박방문자 비율,163,97
11305,서울특별시 강북구,3,체류시간,147,113
11305,서울특별시 강북구,4,목적지 검색량,121,138
11305,서울특별시 강북구,5,관광소비,164,96
11620,서울특별시 관악구,1,방문자유입,236,24
11620,서울특별시 관악구,2,숙박방문자 비율,249,11
11620,서울특별시 관악구,3,체류시간,188,72
11620,서울특별시 관악구,4,목적지 검색량,105,154
11620,서울특별시 관악구,5,관광소비,200,60
11320,서울특별시 도봉구,1,방문자유입,164,96
11320,서울특별시 도봉구,2,숙박방문자 비율,136,124
11320,서울특별시 도봉구,3,체류시간,123,137
11320,서울특별시 도봉구,4,목적지 검색량,75,184
11320,서울특별시 도봉구,5,관광소비,154,106
11590,서울특별시 동작구,1,방문자유입,234,26
11590,서울특별시 동작구,2,숙박방문자 비율,197,63
11590,서울특별시 동작구,3,체류시간,91,169
11590,서울특별시 동작구,4,목적지 검색량,136,123
11590,서울특별시 동작구,5,관광소비,194,66
11350,서울특별시 노원구,1,방문자유입,231,29
11350,서울특별시 노원구,2,숙박방문자 비율,210,50
11350,서울특별시 노원구,3,체류시간,117,143
11350,서울특별시 노원구,4,목적지 검색량,162,97
11350,서울특별시 노원구,5,관광소비,210,50
11230,서울특별시 동대문구,1,방문자유입,228,32
11230,서울특별시 동대문구,2,숙박방문자 비율,201,59
11230,서울특별시 동대문구,3,체류시간,98,162
11230,서울특별시 동대문구,4,목적지 검색량,134,125
11230,서울특별시 동대문구,5,관광소비,214,46
11440,서울특별시 마포구,1,방문자유입,254,6
11440,서울특별시 마포구,2,숙박방문자 비율,252,8
11440,서울특별시 마포구,3,체류시간,17,243
11440,서울특별시 마포구,4,목적지 검색량,218,41
11440,서울특별시 마포구,5,관광소비,250,10
11410,서울특별시 서대문구,1,방문자유입,250,10
11410,서울특별시 서대문구,2,숙박방문자 비율,237,23
11410,서울특별시 서대문구,3,체류시간,33,227
11410,서울특별시 서대문구,4,목적지 검색량,132,127
11410,서울특별시 서대문구,5,관광소비,202,58
11650,서울특별시 서초구,1,방문자유입,258,2
11650,서울특별시 서초구,2,숙박방문자 비율,246,14
11650,서울특별시 서초구,3,체류시간,8,252
11650,서울특별시 서초구,4,목적지 검색량,247,12
11650,서울특별시 서초구,5,관광소비,257,3
11200,서울특별시 성동구,1,방문자유입,239,21
11200,서울특별시 성동구,2,숙박방문자 비율,187,73
11200,서울특별시 성동구,3,체류시간,36,224
11200,서울특별시 성동구,4,목적지 검색량,152,107
11200,서울특별시 성동구,5,관광소비,230,30
11140,서울특별시 중구,1,방문자유입,257,3
11140,서울특별시 중구,2,숙박방문자 비율,219,41
11140,서울특별시 중구,3,체류시간,1,259
11140,서울특별시 중구,4,목적지 검색량,242,17
11140,서울특별시 중구,5,관광소비,259,1
11290,서울특별시 성북구,1,방문자유입,221,39
