SGG_CD,SGG_NM,LODG_CD,LODG_NM,TOU_NUM,TOU_NUM_SUM,LODG_RAT
11500,서울특별시 강서구,1,무박,575466450.0,613947099.0,93.7
11500,서울특별시 강서구,2,1박,25680203.0,613947099.0,4.2
11500,서울특별시 강서구,3,2박,5516240.0,613947099.0,0.9
11500,서울특별시 강서구,4,3박,2294841.0,613947099.0,0.4
11500,서울특별시 강서구,5,4박,1242693.0,613947099.0,0.2
11500,서울특별시 강서구,6,5박,818928.0,613947099.0,0.1
11500,서울특별시 강서구,7,6박,557704.0,613947099.0,0.1
11500,서울특별시 강서구,8,7박이상,2370042.0,613947099.0,0.4
11740,서울특별시 강동구,1,무박,357722637.0,386936346.0,92.4
11740,서울특별시 강동구,2,1박,18394591.0,386936346.0,4.8
11740,서울특별시 강동구,3,2박,4391646.0,386936346.0,1.1
11740,서울특별시 강동구,4,3박,1951093.0,386936346.0,0.5
11740,서울특별시 강동구,5,4박,1080533.0,386936346.0,0.3
11740,서울특별시 강동구,6,5박,722120.0,386936346.0,0.2
11740,서울특별시 강동구,7,6박,494498.0,386936346.0,0.1
11740,서울특별시 강동구,8,7박이상,2179229.0,386936346.0,0.6
11680,서울특별시 강남구,1,무박,1681466675.0,1745495013.0,96.3
11680,서울특별시 강남구,2,1박,44412399.0,1745495013.0,2.5
11680,서울특별시 강남구,3,2박,8471259.0,1745495013.0,0.5
11680,서울특별시 강남구,4,3박,3601581.0,1745495013.0,0.2
11680,서울특별시 강남구,5,4박,1987005.0,1745495013.0,0.1
11680,서울특별시 강남구,6,5박,1324942.0,1745495013.0,0.1
11680,서울특별시 강남구,7,6박,863127.0,1745495013.0,0.0
11680,서울특별시 강남구,8,7박이상,3368025.0,1745495013.0,0.2
11305,서울특별시 강북구,1,무박,225072512.0,244882551.0,91.9
11305,서울특별시 강북구,2,1박,13605006.0,244882551.0,5.6
11305,서울특별시 강북구,3,2박,2645627.0,244882551.0,1.1
11305,서울특별시 강북구,4,3박,1092529.0,244882551.0,0.4
11305,서울특별시 강북구,5,4박,603977.0,244882551.0,0.2
11305,서울특별시 강북구,6,5박,393644.0,244882551.0,0.2
11305,서울특별시 강북구,7,6박,265888.0,244882551.0,0.1
11305,서울특별시 강북구,8,7박이상,1203367.0,244882551.0,0.5
11215,서울특별시 광진구,1,무박,511382412.0,541688630.0,94.4
11215,서울특별시 광진구,2,1박,21109179.0,541688630.0,3.9
11215,서울특별시 광진구,3,2박,3828042.0,541688630.0,0.7
11215,서울특별시 광진구,4,3박,1623502.0,541688630.0,0.3
11215,서울특별시 광진구,5,4박,907483.0,541688630.0,0.2
11215,서울특별시 광진구,6,5박,625165.0,541688630.0,0.1
11215,서울특별시 광진구,7,6박,419854.0,541688630.0,0.1
11215,서울특별시 광진구,8,7박이상,1792993.0,541688630.0,0.3
