SGG_CD,SGG_NM,CD_NM,CD_RAT
11215,서울특별시 광진구,문화관광,28.8
11215,서울특별시 광진구,음식,25.9
11215,서울특별시 광진구,기타관광,17.7
11215,서울특별시 광진구,숙박,16.3
11215,서울특별시 광진구,쇼핑,9.1
11215,서울특별시 광진구,역사관광,0.8
11215,서울특별시 광진구,레저스포츠,0.6
11215,서울특별시 광진구,체험관광,0.5
11215,서울특별시 광진구,자연관광,0.3
11305,서울특별시 강북구,음식,39.3
11305,서울특별시 강북구,문화관광,18.8
11305,서울특별시 강북구,쇼핑,18.2
11305,서울특별시 강북구,역사관광,12.2
11305,서울특별시 강북구,숙박,8.6
11305,서울특별시 강북구,기타관광,1.5
11305,서울특별시 강북구,레저스포츠,0.7
11305,서울특별시 강북구,자연관광,0.5
11305,서울특별시 강북구,체험관광,0.2
11530,서울특별시 구로구,음식,31.0
11530,서울특별시 구로구,쇼핑,26.9
11530,서울특별시 구로구,문화관광,23.5
11530,서울특별시 구로구,숙박,14.2
11530,서울특별시 구로구,자연관광,2.9
11530,서울특별시 구로구,레저스포츠,1.0
11530,서울특별시 구로구,역사관광,0.2
11530,서울특별시 구로구,기타관광,0.1
11530,서울특별시 구로구,체험관광,0.1
11500,서울특별시 강서구,기타관광,44.1
11500,서울특별시 강서구,음식,21.2
11500,서울특별시 강서구,쇼핑,17.9
11500,서울특별시 강서구,문화관광,8.7
11500,서울특별시 강서구,숙박,5.9
11500,서울특별시 강서구,레저스포츠,1.7
11500,서울특별시 강서구,역사관광,0.4
11500,서울특별시 강서구,체험관광,0.1
11500,서울특별시 강서구,자연관광,0.0
11545,서울특별시 금천구,쇼핑,55.4
11545,서울특별시 금천구,음식,25.8
11545,서울특별시 금천구,숙박,8.0
11545,서울특별시 금천구,문화관광,8.0
11545,서울특별시 금천구,역사관광,1.6
11545,서울특별시 금천구,자연관광,0.5
11545,서울특별시 금천구,레저스포츠,0.4
11545,서울특별시 금천구,기타관광,0.2
11545,서울특별시 금천구,체험관광,0.1
11680,서울특별시 강남구,음식,45.5
11680,서울특별시 강남구,문화관광,17.2
11680,서울특별시 강남구,숙박,14.7
11680,서울특별시 강남구,쇼핑,11.4
11680,서울특별시 강남구,기타관광,9.3
11680,서울특별시 강남구,역사관광,1.3
11680,서울특별시 강남구,레저스포츠,0.5
11680,서울특별시 강남구,체험관광,0.1
11680,서울특별시 강남구,자연관광,0.0
11620,서울특별시 관악구,음식,49.8
11620,서울특별시 관악구,쇼핑,29.2
11620,서울특별시 관악구,문화관광,8.1
11620,서울특별시 관악구,숙박,7.7
11620,서울특별시 관악구,자연관광,2.5
11620,서울특별시 관악구,역사관광,1.4
11620,서울특별시 관악구,레저스포츠,1.0
11620,서울특별시 관악구,체험관광,0.2
11620,서울특별시 관악구,기타관광,0.0
11740,서울특별시 강동구,음식,55.5
11740,서울특별시 강동구,쇼핑,21.6
11740,서울특별시 강동구,문화관광,15.2
11740,서울특별시 강동구,숙박,4.3
11740,서울특별시 강동구,역사관광,1.8
11740,서울특별시 강동구,레저스포츠,1.2
11740,서울특별시 강동구,기타관광,0.2
11740,서울특별시 강동구,체험관광,0.1
11740,서울특별시 강동구,자연관광,0.0
11320,서울특별시 도봉구,음식,59.2
11320,서울특별시 도봉구,문화관광,15.1
11320,서울특별시 도봉구,쇼핑,12.7
11320,서울특별시 도봉구,숙박,6.0
11320,서울특별시 도봉구,레저스포츠,2.7
11320,서울특별시 도봉구,역사관광,2.3
11320,서울특별시 도봉구,자연관광,1.2
11320,서울특별시 도봉구,기타관광,0.4
11320,서울특별시 도봉구,체험관광,0.4
11350,서울특별시 노원구,음식,37.8
11350,서울특별시 노원구,쇼핑,31.2
11350,서울특별시 노원구,문화관광,14.7
11350,서울특별시 노원구,레저스포츠,8.8
11350,서울특별시 노원구,숙박,2.4
11350,서울특별시 노원구,기타관광,1.9
11350,서울특별시 노원구,자연관광,1.3
11350,서울특별시 노원구,역사관광,1.1
11350,서울특별시 노원구,체험관광,1.0
11230,서울특별시 동대문구,음식,42.4
11230,서울특별시 동대문구,쇼핑,39.3
11230,서울특별시 동대문구,문화관광,5.9
11230,서울특별시 동대문구,숙박,5.2
11230,서울특별시 동대문구,기타관광,4.3
11230,서울특별시 동대문구,레저스포츠,1.4
11230,서울특별시 동대문구,역사관광,0.7
11230,서울특별시 동대문구,자연관광,0.4
11230,서울특별시 동대문구,체험관광,0.2
11410,서울특별시 서대문구,음식,41.9
11410,서울특별시 서대문구,쇼핑,23.2
11410,서울특별시 서대문구,문화관광,17.5
11410,서울특별시 서대문구,숙박,12.6
11410,서울특별시 서대문구,역사관광,3.4
11410,서울특별시 서대문구,레저스포츠,0.7
11410,서울특별시 서대문구,자연관광,0.4
11410,서울특별시 서대문구,체험관광,0.2
11410,서울특별시 서대문구,기타관광,0.0
11650,서울특별시 서초구,음식,36.9
11650,서울특별시 서초구,문화관광,16.9
11650,서울특별시 서초구,기타관광,16.3
11650,서울특별시 서초구,쇼핑,15.3
11650,서울특별시 서초구,숙박,10.1
11650,서울특별시 서초구,역사관광,2.5
11650,서울특별시 서초구,자연관광,1.4
11650,서울특별시 서초구,레저스포츠,0.4
11650,서울특별시 서초구,체험관광,0.2
11590,서울특별시 동작구,쇼핑,50.1
11590,서울특별시 동작구,음식,30.5
11590,서울특별시 동작구,문화관광,13.5
11590,서울특별시 동작구,숙박,4.4
11590,서울특별시 동작구,역사관광,1.1
11590,서울특별시 동작구,자연관광,0.2
11590,서울특별시 동작구,레저스포츠,0.1
11590,서울특별시 동작구,기타관광,0.0
11590,서울특별시 동작구,체험관광,0.0
11440,서울특별시 마포구,음식,50.1
11440,서울특별시 마포구,문화관광,28.2
11440,서울특별시 마포구,숙박,12.2
11440,서울특별시 마포구,쇼핑,7.7
11440,서울특별시 마포구,레저스포츠,0.8
11440,서울특별시 마포구,역사관광,0.6
11440,서울특별시 마포구,기타관광,0.2
11440,서울특별시 마포구,체험관광,0.1
11440,서울특별시 마포구,자연관광,0.0
11200,서울특별시 성동구,음식,52.8
11200,서울특별시 성동구,문화관광,31.3
11200,서울특별시 성동구,쇼핑,10.7
11200,서울특별시 성동구,숙박,2.4
11200,서울특별시 성동구,역사관광,1.3
11200,서울특별시 성동구,레저스포츠,1.1
11200,서울특별시 성동구,자연관광,0.3
11200,서울특별시 성동구,체험관광,0.1
11200,서울특별시 성동구,기타관광,0.0
11710,서울특별시 송파구,쇼핑,35.5
11710,서울특별시 송파구,음식,31.2
11710,서울특별시 송파구,문화관광,23.1
11710,서울특별시 송파구,숙박,8.2
11710,서울특별시 송파구,자연관광,0.7
11710,서울특별시 송파구,레저스포츠,0.7
11710,서울특별시 송파구,역사관광,0.3
11710,서울특별시 송파구,기타관광,0.2
11710,서울특별시 송파구,체험관광,0.1
11290,서울특별시 성북구,음식,53.5
11290,서울특별시 성북구,쇼핑,19.2
11290,서울특별시 성북구,역사관광,10.2
11290,서울특별시 성북구,문화관광,7.5
11290,서울특별시 성북구,레저스포츠,4.1
11290,서울특별시 성북구,숙박,3.9
11290,서울특별시 성북구,자연관광,1.3
11290,서울특별시 성북구,기타관광,0.2
11290,서울특별시 성북구,체험관광,0.0
11560,서울특별시 영등포구,쇼핑,45.1
11560,서울특별시 영등포구,음식,26.5
11560,서울특별시 영등포구,문화관광,15.5
11560,서울특별시 영등포구,숙박,10.1
11560,서울특별시 영등포구,기타관광,1.8
11560,서울특별시 영등포구,레저스포츠,0.8
11560,서울특별시 영등포구,자연관광,0.1
11560,서울특별시 영등포구,역사관광,0.0
11560,서울특별시 영등포구,체험관광,0.0
11470,서울특별시 양천구,음식,40.0
11470,서울특별시 양천구,쇼핑,36.0
11470,서울특별시 양천구,문화관광,16.8
11470,서울특별시 양천구,레저스포츠,6.0
11470,서울특별시 양천구,역사관광,0.7
11470,서울특별시 양천구,숙박,0.4
11470,서울특별시 양천구,체험관광,0.1
11470,서울특별시 양천구,기타관광,0.1
11470,서울특별시 양천구,자연관광,0.0
11380,서울특별시 은평구,음식,40.7
11380,서울특별시 은평구,쇼핑,27.4
11380,서울특별시 은평구,역사관광,12.9
11380,서울특별시 은평구,기타관광,7.5
11380,서울특별시 은평구,문화관광,6.7
11380,서울특별시 은평구,숙박,3.8
11380,서울특별시 은평구,자연관광,0.4
11380,서울특별시 은평구,레저스포츠,0.4
11380,서울특별시 은평구,체험관광,0.1
11110,서울특별시 종로구,음식,30.5
11110,서울특별시 종로구,문화관광,26.6
11110,서울특별시 종로구,숙박,13.4
11110,서울특별시 종로구,쇼핑,12.3
11110,서울특별시 종로구,역사관광,12.0
11110,서울특별시 종로구,기타관광,4.7
11110,서울특별시 종로구,자연관광,0.3
11110,서울특별시 종로구,레저스포츠,0.2
11110,서울특별시 종로구,체험관광,0.0
11140,서울특별시 중구,쇼핑,38.8
11140,서울특별시 중구,숙박,30.3
11140,서울특별시 중구,음식,20.2
11140,서울특별시 중구,문화관광,8.9
11140,서울특별시 중구,역사관광,0.9
11140,서울특별시 중구,기타관광,0.6
11140,서울특별시 중구,자연관광,0.2
11140,서울특별시 중구,레저스포츠,0.1
11140,서울특별시 중구,체험관광,0.0
11170,서울특별시 용산구,기타관광,26.0
11170,서울특별시 용산구,음식,25.3
11170,서울특별시 용산구,문화관광,24.0
11170,서울특별시 용산구,숙박,11.9
11170,서울특별시 용산구,쇼핑,11.6
11170,서울특별시 용산구,자연관광,0.8
11170,서울특별시 용산구,역사관광,0.2
11170,서울특별시 용산구,레저스포츠,0.2
11170,서울특별시 용산구,체험관광,0.0
26410,부산광역시 금정구,음식,45.6
26410,부산광역시 금정구,기타관광,17.4
26410,부산광역시 금정구,역사관광,10.7
26410,부산광역시 금정구,쇼핑,7.8
26410,부산광역시 금정구,문화관광,7.7
26410,부산광역시 금정구,레저스포츠,7.1
26410,부산광역시 금정구,숙박,2.0
26410,부산광역시 금정구,자연관광,1.3
