SGG_CD,SGG_NM,AGEG_DIV_NM,TOU_NUM1,TOU_NUM1_RATE,TOU_NUM2,TOU_NUM2_RATE
11305,서울특별시 강북구,70세 이상,10749772.0,3.8,10872269.0,3.9
11305,서울특별시 강북구,60~69세,22590178.0,8.1,18977159.0,6.8
11305,서울특별시 강북구,50~59세,27907043.0,10.0,24275140.0,8.7
11305,서울특별시 강북구,40~49세,24849901.0,8.9,18971127.0,6.8
11305,서울특별시 강북구,30~39세,26176456.0,9.3,20482033.0,7.3
11305,서울특별시 강북구,20~29세,28217410.0,10.1,29698068.0,10.6
11305,서울특별시 강북구,10~19세,6670886.0,2.4,7663279.0,2.7
11305,서울특별시 강북구,0~9세,916943.0,0.3,1025899.0,0.4
11680,서울특별시 강남구,70세 이상,47976722.0,2.7,38353528.0,2.1
11680,서울특별시 강남구,60~69세,123144655.0,6.8,84706444.0,4.7
11680,서울특별시 강남구,50~59세,179449919.0,9.9,115882364.0,6.4
11680,서울특별시 강남구,40~49세,207448870.0,11.5,123559168.0,6.8
11680,서울특별시 강남구,30~39세,233059386.0,12.9,179038576.0,9.9
11680,서울특별시 강남구,20~29세,172432082.0,9.6,214415653.0,11.9
11680,서울특별시 강남구,10~19세,37787094.0,2.1,41808443.0,2.3
11680,서울특별시 강남구,0~9세,2811896.0,0.2,3264449.0,0.2
11740,서울특별시 강동구,70세 이상,16759769.0,3.8,13223313.0,3.0
11740,서울특별시 강동구,60~69세,39435271.0,8.9,29169851.0,6.6
11740,서울특별시 강동구,50~59세,51892618.0,11.7,36940427.0,8.3
11740,서울특별시 강동구,40~49세,50117896.0,11.3,31641677.0,7.1
11740,서울특별시 강동구,30~39세,48458932.0,10.9,35541415.0,8.0
11740,서울특별시 강동구,20~29세,36278041.0,8.2,33387962.0,7.5
11740,서울특별시 강동구,10~19세,9826885.0,2.2,9005451.0,2.0
11740,서울특별시 강동구,0~9세,1519070.0,0.3,1695179.0,0.4
11500,서울특별시 강서구,70세 이상,18800161.0,2.9,15850061.0,2.4
11500,서울특별시 강서구,60~69세,54996299.0,8.4,34831643.0,5.3
11500,서울특별시 강서구,50~59세,75887479.0,11.6,48012650.0,7.3
11500,서울특별시 강서구,40~49세,77169205.0,11.8,43758517.0,6.7
11500,서울특별시 강서구,30~39세,80831088.0,12.3,58340265.0,8.9
11500,서울특별시 강서구,20~29세,57422541.0,8.8,59967083.0,9.2
11500,서울특별시 강서구,10~19세,12320571.0,1.9,12609582.0,1.9
11500,서울특별시 강서구,0~9세,1958064.0,0.3,2258128.0,0.3
11530,서울특별시 구로구,70세 이상,17693757.0,3.4,14211042.0,2.7
11530,서울특별시 구로구,60~69세,41750122.0,7.9,31320901.0,5.9
11530,서울특별시 구로구,50~59세,52823076.0,10.0,40237762.0,7.6
11530,서울특별시 구로구,40~49세,52782430.0,10.0,33764682.0,6.4
11530,서울특별시 구로구,30~39세,63393763.0,12.0,47837227.0,9.1
11530,서울특별시 구로구,20~29세,52210862.0,9.9,57221294.0,10.9
11530,서울특별시 구로구,10~19세,9203679.0,1.7,9904787.0,1.9
11530,서울특별시 구로구,0~9세,1168598.0,0.2,1347733.0,0.3
11545,서울특별시 금천구,70세 이상,6869537.0,2.8,5360813.0,2.2
11545,서울특별시 금천구,60~69세,20349362.0,8.2,12932790.0,5.2
11545,서울특별시 금천구,50~59세,29638224.0,11.9,18581994.0,7.5
11545,서울특별시 금천구,40~49세,29619955.0,11.9,15469877.0,6.2
11545,서울특별시 금천구,30~39세,33244994.0,13.4,20501157.0,8.3
11545,서울특별시 금천구,20~29세,24816450.0,10.0,22724289.0,9.2
11545,서울특별시 금천구,10~19세,3433832.0,1.4,3606092.0,1.5
11545,서울특별시 금천구,0~9세,535804.0,0.2,612951.0,0.2
11620,서울특별시 관악구,70세 이상,13829304.0,2.7,11923906.0,2.4
11620,서울특별시 관악구,60~69세,32788660.0,6.5,24563889.0,4.9
11620,서울특별시 관악구,50~59세,43592344.0,8.7,32955057.0,6.5
11620,서울특별시 관악구,40~49세,43864505.0,8.7,26884710.0,5.3
11620,서울특별시 관악구,30~39세,62607539.0,12.4,42283525.0,8.4
11620,서울특별시 관악구,20~29세,73104262.0,14.5,71728528.0,14.2
