SGG_CD,SGG_NM,BASE_DATE,SGG_NM,COMPT_AMT,COMP_CNT
11530,서울특별시 구로구,202501,서울특별시 구로구,288,10
11530,서울특별시 구로구,202502,서울특별시 구로구,2219,206
11530,서울특별시 구로구,202503,서울특별시 구로구,4838,371
11530,서울특별시 구로구,202504,서울특별시 구로구,3177,320
11530,서울특별시 구로구,202505,서울특별시 구로구,3650,276
11530,서울특별시 구로구,202506,서울특별시 구로구,3492,278
11530,서울특별시 구로구,202507,서울특별시 구로구,4950,414
11530,서울특별시 구로구,202508,서울특별시 구로구,4235,385
11530,서울특별시 구로구,202509,서울특별시 구로구,3812,345
11530,서울특별시 구로구,202510,서울특별시 구로구,3295,328
11530,서울특별시 구로구,202511,서울특별시 구로구,4042,319
11530,서울특별시 구로구,202512,서울특별시 구로구,3014,251
11530,서울특별시 구로구,202601,서울특별시 구로구,3287,269
11530,서울특별시 구로구,202602,서울특별시 구로구,1546,158
11530,서울특별시 구로구,202603,서울특별시 구로구,2265,224
11530,서울특별시 구로구,202604,서울특별시 구로구,2762,298
11530,서울특별시 구로구,202605,서울특별시 구로구,5701,383
11530,서울특별시 구로구,202606,서울특별시 구로구,1077,79
11740,서울특별시 강동구,202504,서울특별시 강동구,68,1
11680,서울특별시 강남구,202501,서울특별시 강남구,15,1
11680,서울특별시 강남구,202502,서울특별시 강남구,1629,38
11680,서울특별시 강남구,202503,서울특별시 강남구,1850,41
11680,서울특별시 강남구,202504,서울특별시 강남구,2062,50
11680,서울특별시 강남구,202505,서울특별시 강남구,2095,49
11680,서울특별시 강남구,202506,서울특별시 강남구,1593,44
11680,서울특별시 강남구,202507,서울특별시 강남구,612,19
11680,서울특별시 강남구,202508,서울특별시 강남구,3741,87
11680,서울특별시 강남구,202509,서울특별시 강남구,3085,100
11680,서울특별시 강남구,202510,서울특별시 강남구,5516,123
11680,서울특별시 강남구,202511,서울특별시 강남구,2232,59
11680,서울특별시 강남구,202512,서울특별시 강남구,2070,45
11680,서울특별시 강남구,202601,서울특별시 강남구,2732,41
11680,서울특별시 강남구,202602,서울특별시 강남구,4404,110
11680,서울특별시 강남구,202603,서울특별시 강남구,2040,59
11680,서울특별시 강남구,202604,서울특별시 강남구,4033,104
11680,서울특별시 강남구,202605,서울특별시 강남구,6221,176
11500,서울특별시 강서구,202502,서울특별시 강서구,511,16
11500,서울특별시 강서구,202503,서울특별시 강서구,792,32
11500,서울특별시 강서구,202504,서울특별시 강서구,1260,27
11500,서울특별시 강서구,202505,서울특별시 강서구,897,29
11500,서울특별시 강서구,202506,서울특별시 강서구,812,15
11500,서울특별시 강서구,202507,서울특별시 강서구,1507,38
11500,서울특별시 강서구,202508,서울특별시 강서구,1390,23
11500,서울특별시 강서구,202509,서울특별시 강서구,388,13
11500,서울특별시 강서구,202510,서울특별시 강서구,311,6
11500,서울특별시 강서구,202511,서울특별시 강서구,34,2
11500,서울특별시 강서구,202603,서울특별시 강서구,64,6
11500,서울특별시 강서구,202604,서울특별시 강서구,264,31
11500,서울특별시 강서구,202605,서울특별시 강서구,400,24
11620,서울특별시 관악구,202502,서울특별시 관악구,681,7
11620,서울특별시 관악구,202503,서울특별시 관악구,603,10
11620,서울특별시 관악구,202504,서울특별시 관악구,224,8
11620,서울특별시 관악구,202505,서울특별시 관악구,531,9
11620,서울특별시 관악구,202506,서울특별시 관악구,518,16
11620,서울특별시 관악구,202507,서울특별시 관악구,1647,38
11620,서울특별시 관악구,202508,서울특별시 관악구,346,5
11215,서울특별시 광진구,202502,서울특별시 광진구,790,34
11215,서울특별시 광진구,202503,서울특별시 광진구,1156,50
11215,서울특별시 광진구,202504,서울특별시 광진구,828,48
11215,서울특별시 광진구,202505,서울특별시 광진구,1317,54
11215,서울특별시 광진구,202506,서울특별시 광진구,1022,36
11215,서울특별시 광진구,202507,서울특별시 광진구,710,37
11215,서울특별시 광진구,202509,서울특별시 광진구,8,1
11215,서울특별시 광진구,202511,서울특별시 광진구,65,3
11545,서울특별시 금천구,202503,서울특별시 금천구,90,3
11545,서울특별시 금천구,202504,서울특별시 금천구,20,1
11545,서울특별시 금천구,202512,서울특별시 금천구,608,68
11590,서울특별시 동작구,202501,서울특별시 동작구,54,11
11590,서울특별시 동작구,202502,서울특별시 동작구,93,19
11590,서울특별시 동작구,202503,서울특별시 동작구,48,9
11590,서울특별시 동작구,202504,서울특별시 동작구,124,17
11590,서울특별시 동작구,202505,서울특별시 동작구,94,14
11590,서울특별시 동작구,202506,서울특별시 동작구,40,9
11590,서울특별시 동작구,202507,서울특별시 동작구,74,14
11590,서울특별시 동작구,202508,서울특별시 동작구,163,26
11590,서울특별시 동작구,202509,서울특별시 동작구,77,12
11590,서울특별시 동작구,202510,서울특별시 동작구,34,7
11590,서울특별시 동작구,202511,서울특별시 동작구,63,10
11590,서울특별시 동작구,202512,서울특별시 동작구,111,11
11590,서울특별시 동작구,202601,서울특별시 동작구,84,17
11590,서울특별시 동작구,202602,서울특별시 동작구,79,16
11590,서울특별시 동작구,202603,서울특별시 동작구,127,21
11590,서울특별시 동작구,202604,서울특별시 동작구,168,31
11590,서울특별시 동작구,202605,서울특별시 동작구,443,57
11350,서울특별시 노원구,202501,서울특별시 노원구,37,2
11350,서울특별시 노원구,202502,서울특별시 노원구,635,35
11350,서울특별시 노원구,202503,서울특별시 노원구,1342,62
11350,서울특별시 노원구,202504,서울특별시 노원구,1002,63
11350,서울특별시 노원구,202505,서울특별시 노원구,1004,58
11350,서울특별시 노원구,202506,서울특별시 노원구,843,51
11350,서울특별시 노원구,202507,서울특별시 노원구,1582,83
11350,서울특별시 노원구,202508,서울특별시 노원구,1901,120
11350,서울특별시 노원구,202509,서울특별시 노원구,1700,101
11350,서울특별시 노원구,202510,서울특별시 노원구,1630,91
11350,서울특별시 노원구,202511,서울특별시 노원구,924,62
11350,서울특별시 노원구,202512,서울특별시 노원구,994,55
11350,서울특별시 노원구,202601,서울특별시 노원구,982,56
11350,서울특별시 노원구,202602,서울특별시 노원구,781,45
11350,서울특별시 노원구,202603,서울특별시 노원구,1373,71
11350,서울특별시 노원구,202604,서울특별시 노원구,927,62
11350,서울특별시 노원구,202605,서울특별시 노원구,576,41
11230,서울특별시 동대문구,202501,서울특별시 동대문구,5,1
11230,서울특별시 동대문구,202505,서울특별시 동대문구,210,6
11230,서울특별시 동대문구,202506,서울특별시 동대문구,246,6
11230,서울특별시 동대문구,202507,서울특별시 동대문구,600,16
11230,서울특별시 동대문구,202508,서울특별시 동대문구,117,2
11230,서울특별시 동대문구,202604,서울특별시 동대문구,18,2
11200,서울특별시 성동구,202502,서울특별시 성동구,105,3
11200,서울특별시 성동구,202503,서울특별시 성동구,476,12
11200,서울특별시 성동구,202504,서울특별시 성동구,558,9
11200,서울특별시 성동구,202505,서울특별시 성동구,276,8
11200,서울특별시 성동구,202506,서울특별시 성동구,395,8
11200,서울특별시 성동구,202507,서울특별시 성동구,232,10
11200,서울특별시 성동구,202508,서울특별시 성동구,673,17
11200,서울특별시 성동구,202509,서울특별시 성동구,407,10
11200,서울특별시 성동구,202510,서울특별시 성동구,411,10
11200,서울특별시 성동구,202511,서울특별시 성동구,118,5
11200,서울특별시 성동구,202512,서울특별시 성동구,34,2
11200,서울특별시 성동구,202601,서울특별시 성동구,180,4
11200,서울특별시 성동구,202602,서울특별시 성동구,317,6
11200,서울특별시 성동구,202603,서울특별시 성동구,146,4
11200,서울특별시 성동구,202604,서울특별시 성동구,430,10
11200,서울특별시 성동구,202605,서울특별시 성동구,647,23
11410,서울특별시 서대문구,202502,서울특별시 서대문구,814,80
11410,서울특별시 서대문구,202503,서울특별시 서대문구,1492,124
11410,서울특별시 서대문구,202504,서울특별시 서대문구,1239,122
11410,서울특별시 서대문구,202505,서울특별시 서대문구,1673,139
11410,서울특별시 서대문구,202506,서울특별시 서대문구,1723,150
11410,서울특별시 서대문구,202507,서울특별시 서대문구,1902,183
11410,서울특별시 서대문구,202508,서울특별시 서대문구,2431,222
11410,서울특별시 서대문구,202509,서울특별시 서대문구,1756,189
11410,서울특별시 서대문구,202510,서울특별시 서대문구,1488,135
11410,서울특별시 서대문구,202511,서울특별시 서대문구,1257,114
11410,서울특별시 서대문구,202512,서울특별시 서대문구,1098,90
11410,서울특별시 서대문구,202601,서울특별시 서대문구,1325,105
11410,서울특별시 서대문구,202602,서울특별시 서대문구,1115,94
11410,서울특별시 서대문구,202603,서울특별시 서대문구,1107,101
11410,서울특별시 서대문구,202604,서울특별시 서대문구,1953,158
11410,서울특별시 서대문구,202605,서울특별시 서대문구,2434,195
11440,서울특별시 마포구,202501,서울특별시 마포구,899,14
11440,서울특별시 마포구,202502,서울특별시 마포구,6088,150
11440,서울특별시 마포구,202503,서울특별시 마포구,6704,187
11440,서울특별시 마포구,202504,서울특별시 마포구,6161,188
11440,서울특별시 마포구,202505,서울특별시 마포구,7043,203
11440,서울특별시 마포구,202506,서울특별시 마포구,5619,165
11440,서울특별시 마포구,202507,서울특별시 마포구,7355,181
11440,서울특별시 마포구,202508,서울특별시 마포구,9557,242
11440,서울특별시 마포구,202509,서울특별시 마포구,6688,181
11440,서울특별시 마포구,202510,서울특별시 마포구,6639,148
11440,서울특별시 마포구,202511,서울특별시 마포구,2032,81
11440,서울특별시 마포구,202512,서울특별시 마포구,257,42
11440,서울특별시 마포구,202601,서울특별시 마포구,323,45
11440,서울특별시 마포구,202602,서울특별시 마포구,455,45
11440,서울특별시 마포구,202603,서울특별시 마포구,218,39
11440,서울특별시 마포구,202604,서울특별시 마포구,635,57
11440,서울특별시 마포구,202605,서울특별시 마포구,429,60
11650,서울특별시 서초구,202601,서울특별시 서초구,25,1
11470,서울특별시 양천구,202502,서울특별시 양천구,30,2
11470,서울특별시 양천구,202503,서울특별시 양천구,18,2
11470,서울특별시 양천구,202504,서울특별시 양천구,63,3
11470,서울특별시 양천구,202505,서울특별시 양천구,25,2
11470,서울특별시 양천구,202507,서울특별시 양천구,22,1
11470,서울특별시 양천구,202512,서울특별시 양천구,22,1
11470,서울특별시 양천구,202608,서울특별시 양천구,14808,1710
11710,서울특별시 송파구,202502,서울특별시 송파구,893,73
11710,서울특별시 송파구,202503,서울특별시 송파구,883,87
11710,서울특별시 송파구,202504,서울특별시 송파구,1150,98
11710,서울특별시 송파구,202505,서울특별시 송파구,1214,95
11710,서울특별시 송파구,202506,서울특별시 송파구,956,103
11710,서울특별시 송파구,202507,서울특별시 송파구,1158,106
11710,서울특별시 송파구,202508,서울특별시 송파구,2393,181
11710,서울특별시 송파구,202509,서울특별시 송파구,774,31
11710,서울특별시 송파구,202510,서울특별시 송파구,117,5
11710,서울특별시 송파구,202511,서울특별시 송파구,53,8
11710,서울특별시 송파구,202512,서울특별시 송파구,23,2
11710,서울특별시 송파구,202602,서울특별시 송파구,76,2
11710,서울특별시 송파구,202603,서울특별시 송파구,2042,140
11710,서울특별시 송파구,202604,서울특별시 송파구,91,5
11710,서울특별시 송파구,202605,서울특별시 송파구,180,17
11380,서울특별시 은평구,202502,서울특별시 은평구,848,47
11380,서울특별시 은평구,202503,서울특별시 은평구,884,50
11380,서울특별시 은평구,202504,서울특별시 은평구,1597,47
11380,서울특별시 은평구,202505,서울특별시 은평구,809,36
11380,서울특별시 은평구,202506,서울특별시 은평구,941,34
11380,서울특별시 은평구,202507,서울특별시 은평구,869,40
11380,서울특별시 은평구,202508,서울특별시 은평구,793,49
11380,서울특별시 은평구,202509,서울특별시 은평구,530,38
11380,서울특별시 은평구,202510,서울특별시 은평구,835,41
11380,서울특별시 은평구,202511,서울특별시 은평구,302,25
11380,서울특별시 은평구,202512,서울특별시 은평구,449,33
11380,서울특별시 은평구,202601,서울특별시 은평구,536,42
11380,서울특별시 은평구,202602,서울특별시 은평구,394,37
11380,서울특별시 은평구,202603,서울특별시 은평구,554,49
11380,서울특별시 은평구,202604,서울특별시 은평구,635,51
11380,서울특별시 은평구,202605,서울특별시 은평구,640,57
11290,서울특별시 성북구,202502,서울특별시 성북구,622,38
11290,서울특별시 성북구,202503,서울특별시 성북구,1193,81
11290,서울특별시 성북구,202504,서울특별시 성북구,972,64
11290,서울특별시 성북구,202505,서울특별시 성북구,812,46
11290,서울특별시 성북구,202506,서울특별시 성북구,925,65
11290,서울특별시 성북구,202507,서울특별시 성북구,1397,89
11290,서울특별시 성북구,202508,서울특별시 성북구,1225,76
11290,서울특별시 성북구,202509,서울특별시 성북구,1294,75
11290,서울특별시 성북구,202510,서울특별시 성북구,885,70
11290,서울특별시 성북구,202511,서울특별시 성북구,1008,61
11290,서울특별시 성북구,202512,서울특별시 성북구,854,55
11290,서울특별시 성북구,202601,서울특별시 성북구,1080,58
11290,서울특별시 성북구,202602,서울특별시 성북구,830,51
11290,서울특별시 성북구,202603,서울특별시 성북구,489,32
11290,서울특별시 성북구,202604,서울특별시 성북구,595,35
11290,서울특별시 성북구,202605,서울특별시 성북구,614,38
11170,서울특별시 용산구,202502,서울특별시 용산구,88,12
11170,서울특별시 용산구,202602,서울특별시 용산구,360,4
11170,서울특별시 용산구,202603,서울특별시 용산구,100,2
11170,서울특별시 용산구,202604,서울특별시 용산구,593,6
11170,서울특별시 용산구,202605,서울특별시 용산구,854,9
11110,서울특별시 종로구,202501,서울특별시 종로구,822,13
11110,서울특별시 종로구,202502,서울특별시 종로구,1230,75
11110,서울특별시 종로구,202503,서울특별시 종로구,2058,114
11110,서울특별시 종로구,202504,서울특별시 종로구,1612,131
11110,서울특별시 종로구,202505,서울특별시 종로구,1059,103
11110,서울특별시 종로구,202506,서울특별시 종로구,1289,118
11110,서울특별시 종로구,202507,서울특별시 종로구,1797,129
11110,서울특별시 종로구,202508,서울특별시 종로구,1723,111
11110,서울특별시 종로구,202509,서울특별시 종로구,2835,27
11110,서울특별시 종로구,202510,서울특별시 종로구,2715,31
11110,서울특별시 종로구,202511,서울특별시 종로구,2720,23
11110,서울특별시 종로구,202512,서울특별시 종로구,708,10
11110,서울특별시 종로구,202601,서울특별시 종로구,1185,17
11110,서울특별시 종로구,202602,서울특별시 종로구,1686,16
11110,서울특별시 종로구,202603,서울특별시 종로구,412,3
11110,서울특별시 종로구,202604,서울특별시 종로구,3027,26
11110,서울특별시 종로구,202605,서울특별시 종로구,1698,22
11560,서울특별시 영등포구,202502,서울특별시 영등포구,15727,1038
11560,서울특별시 영등포구,202503,서울특별시 영등포구,24489,1688
11560,서울특별시 영등포구,202504,서울특별시 영등포구,24840,1667
11560,서울특별시 영등포구,202505,서울특별시 영등포구,27048,1749
11560,서울특별시 영등포구,202506,서울특별시 영등포구,24520,1587
11560,서울특별시 영등포구,202507,서울특별시 영등포구,30132,1815
11560,서울특별시 영등포구,202508,서울특별시 영등포구,34586,2051
11560,서울특별시 영등포구,202509,서울특별시 영등포구,27967,1825
11560,서울특별시 영등포구,202510,서울특별시 영등포구,31249,1790
11560,서울특별시 영등포구,202511,서울특별시 영등포구,20415,1327
11560,서울특별시 영등포구,202512,서울특별시 영등포구,18379,1138
11560,서울특별시 영등포구,202601,서울특별시 영등포구,22526,1327
11560,서울특별시 영등포구,202602,서울특별시 영등포구,23306,1331
11560,서울특별시 영등포구,202603,서울특별시 영등포구,20630,1304
11560,서울특별시 영등포구,202604,서울특별시 영등포구,23230,1494
11560,서울특별시 영등포구,202605,서울특별시 영등포구,37252,2149
11560,서울특별시 영등포구,202606,서울특별시 영등포구,14656,987
11140,서울특별시 중구,202501,서울특별시 중구,2189,343
11140,서울특별시 중구,202502,서울특별시 중구,1910,304
11140,서울특별시 중구,202503,서울특별시 중구,1830,329
11140,서울특별시 중구,202504,서울특별시 중구,841,139
11140,서울특별시 중구,202505,서울특별시 중구,100,1
11140,서울특별시 중구,202506,서울특별시 중구,64,2
11140,서울특별시 중구,202507,서울특별시 중구,47,2
11140,서울특별시 중구,202508,서울특별시 중구,57,3
11140,서울특별시 중구,202509,서울특별시 중구,22,3
11140,서울특별시 중구,202510,서울특별시 중구,76,7
11140,서울특별시 중구,202511,서울특별시 중구,5,1
11140,서울특별시 중구,202512,서울특별시 중구,39,3
11140,서울특별시 중구,202601,서울특별시 중구,53,4
11140,서울특별시 중구,202602,서울특별시 중구,17,3
11140,서울특별시 중구,202603,서울특별시 중구,128,4
11140,서울특별시 중구,202604,서울특별시 중구,928,29
11140,서울특별시 중구,202605,서울특별시 중구,655,53
11140,서울특별시 중구,202608,서울특별시 중구,58824,6426
11260,서울특별시 중랑구,202502,서울특별시 중랑구,1411,201
11260,서울특별시 중랑구,202503,서울특별시 중랑구,2619,412
11260,서울특별시 중랑구,202504,서울특별시 중랑구,2832,469
11260,서울특별시 중랑구,202505,서울특별시 중랑구,3074,492
11260,서울특별시 중랑구,202506,서울특별시 중랑구,3830,639
11260,서울특별시 중랑구,202507,서울특별시 중랑구,5269,689
11260,서울특별시 중랑구,202508,서울특별시 중랑구,5302,778
11260,서울특별시 중랑구,202509,서울특별시 중랑구,3279,560
11260,서울특별시 중랑구,202510,서울특별시 중랑구,2143,356
11260,서울특별시 중랑구,202511,서울특별시 중랑구,1627,261
11260,서울특별시 중랑구,202512,서울특별시 중랑구,1282,174
11260,서울특별시 중랑구,202601,서울특별시 중랑구,1655,189
11260,서울특별시 중랑구,202602,서울특별시 중랑구,1813,232
11260,서울특별시 중랑구,202603,서울특별시 중랑구,1820,281
11260,서울특별시 중랑구,202604,서울특별시 중랑구,2286,393
11260,서울특별시 중랑구,202605,서울특별시 중랑구,12346,569
26410,부산광역시 금정구,202507,부산광역시 금정구,35,2
26410,부산광역시 금정구,202508,부산광역시 금정구,35,2
26410,부산광역시 금정구,202510,부산광역시 금정구,35,3
26410,부산광역시 금정구,202605,부산광역시 금정구,11,1
26410,부산광역시 금정구,202608,부산광역시 금정구,563014,32427
26440,부산광역시 강서구,202608,부산광역시 강서구,381121,17061
26170,부산광역시 동구,202501,부산광역시 동구,8888,441
26170,부산광역시 동구,202502,부산광역시 동구,370839,24788
26170,부산광역시 동구,202503,부산광역시 동구,547077,35993
