SGG_CD,SGG_NM,BASE_YM,PRE_BASE_YM,TOU_NUM,PREV_TOU_NUM,TOU_NUM_PER
11680,서울특별시 강남구,201801,,16422690.0,,
11680,서울특별시 강남구,201802,,13466792.0,,
11680,서울특별시 강남구,201803,,17175400.0,,
11680,서울특별시 강남구,201804,,15217674.0,,
11680,서울특별시 강남구,201805,,15661916.0,,
11680,서울특별시 강남구,201806,,16255732.0,,
11680,서울특별시 강남구,201807,,18744016.0,,
11680,서울특별시 강남구,201808,,16466888.0,,
11680,서울특별시 강남구,201809,,15423944.0,,
11680,서울특별시 강남구,201810,,17705268.0,,
11680,서울특별시 강남구,201811,,16667802.0,,
11680,서울특별시 강남구,201812,,17344884.0,,
11680,서울특별시 강남구,201901,,17246033.0,,
11680,서울특별시 강남구,201902,,13361408.0,,
11680,서울특별시 강남구,201903,,18073398.0,,
11680,서울특별시 강남구,201904,,14706860.0,,
11680,서울특별시 강남구,201905,,16020602.0,,
11680,서울특별시 강남구,201906,,15859980.0,,
11680,서울특별시 강남구,201907,,18096218.0,,
11680,서울특별시 강남구,201908,,17633938.0,,
11680,서울특별시 강남구,201909,,15810396.0,,
11680,서울특별시 강남구,201910,,16926388.0,,
11680,서울특별시 강남구,201911,,19235874.0,,
11680,서울특별시 강남구,201912,,18896490.0,,
11680,서울특별시 강남구,202001,,17199976.0,,
11680,서울특별시 강남구,202002,,14225060.0,,
11680,서울특별시 강남구,202003,,12221419.0,,
11680,서울특별시 강남구,202004,,14523562.0,,
11680,서울특별시 강남구,202005,,16143704.0,,
11680,서울특별시 강남구,202006,,16241498.0,,
11680,서울특별시 강남구,202007,,17758930.0,,
11680,서울특별시 강남구,202008,,14978044.0,,
11680,서울특별시 강남구,202009,,14023324.0,,
11680,서울특별시 강남구,202010,,17118640.0,,
11680,서울특별시 강남구,202011,,16155944.0,,
11680,서울특별시 강남구,202012,,12370960.0,,
11680,서울특별시 강남구,202101,202001,13722674.0,,
11680,서울특별시 강남구,202102,202002,14161514.0,,
11680,서울특별시 강남구,202103,202003,17556816.0,,
11680,서울특별시 강남구,202104,202004,15483122.0,,
11680,서울특별시 강남구,202105,202005,16308190.0,,
11680,서울특별시 강남구,202106,202006,16661827.0,,
11680,서울특별시 강남구,202107,202007,14630385.0,,
11680,서울특별시 강남구,202108,202008,14907798.0,,
11680,서울특별시 강남구,202109,202009,15205365.0,,
11680,서울특별시 강남구,202110,202010,17221824.0,,
11680,서울특별시 강남구,202111,202011,18186164.0,,
11680,서울특별시 강남구,202112,202012,16918426.0,,
11680,서울특별시 강남구,202201,202101,16549757.0,,
11680,서울특별시 강남구,202202,202102,13834520.0,,
11680,서울특별시 강남구,202203,202103,16592940.0,,
11680,서울특별시 강남구,202204,202104,18132698.0,,
11680,서울특별시 강남구,202205,202105,18926744.0,,
11680,서울특별시 강남구,202206,202106,17861070.0,,
11680,서울특별시 강남구,202207,202107,19334427.0,,
11680,서울특별시 강남구,202208,202108,18063174.0,,
11680,서울특별시 강남구,202209,202109,17879085.0,,
11680,서울특별시 강남구,202210,202110,18870068.0,,
11680,서울특별시 강남구,202211,202111,18562824.0,,
11680,서울특별시 강남구,202212,202112,18897347.0,,
11680,서울특별시 강남구,202301,202201,17797686.0,,
11680,서울특별시 강남구,202302,202202,17822732.0,,
11680,서울특별시 강남구,202303,202203,19294212.0,,
11680,서울특별시 강남구,202304,202204,17398860.0,,
11680,서울특별시 강남구,202305,202205,18667012.0,,
11680,서울특별시 강남구,202306,202206,18311328.0,,
11680,서울특별시 강남구,202307,202207,19379832.0,,
11680,서울특별시 강남구,202308,202208,18455804.0,,
11680,서울특별시 강남구,202309,202209,17623378.0,,
11680,서울특별시 강남구,202310,202210,18183193.0,,
11680,서울특별시 강남구,202311,202211,18514626.0,,
11680,서울특별시 강남구,202312,202212,18880222.0,,
11680,서울특별시 강남구,202401,202301,19184350.0,,
11680,서울특별시 강남구,202402,202302,16362584.0,,
11680,서울특별시 강남구,202403,202303,19457725.0,,
11680,서울특별시 강남구,202404,202304,17755423.0,,
11680,서울특별시 강남구,202405,202305,18441686.0,,
11680,서울특별시 강남구,202406,202306,17919468.0,,
11680,서울특별시 강남구,202407,202307,19142851.0,,
11680,서울특별시 강남구,202408,202308,17949897.0,,
11680,서울특별시 강남구,202409,202309,16899246.0,,
11680,서울특별시 강남구,202410,202310,19155202.0,,
11680,서울특별시 강남구,202411,202311,18454628.0,,
11680,서울특별시 강남구,202412,202312,18999110.0,,
11680,서울특별시 강남구,202501,202401,17327720.0,,
11680,서울특별시 강남구,202502,202402,17788449.0,,
11680,서울특별시 강남구,202503,202403,19186622.0,,
11680,서울특별시 강남구,202504,202404,18179984.0,,
11680,서울특별시 강남구,202505,202405,19453777.0,,
11680,서울특별시 강남구,202506,202406,18896423.0,,
11680,서울특별시 강남구,202507,202407,20744602.0,,
11680,서울특별시 강남구,202508,202408,19150646.0,,
11680,서울특별시 강남구,202509,202409,19706326.0,,
11680,서울특별시 강남구,202510,202410,17875764.0,,
11680,서울특별시 강남구,202511,202411,20540975.0,,
11680,서울특별시 강남구,202512,202412,20704806.0,,
11680,서울특별시 강남구,202601,202501,19514089.0,,
11680,서울특별시 강남구,202602,202502,16491576.0,,
11680,서울특별시 강남구,202603,202503,20391298.0,,
11680,서울특별시 강남구,202604,202504,18120574.0,,
11680,서울특별시 강남구,202605,202505,18520114.0,,
11680,서울특별시 강남구,202606,202506,19054998.0,,
11680,서울특별시 강남구,202607,202507,19030120.0,,
11680,서울특별시 강남구,202608,202508,18558922.0,,
11305,서울특별시 강북구,201801,,2558101.0,,
11305,서울특별시 강북구,201802,,2438310.0,,
11305,서울특별시 강북구,201803,,2958774.0,,
11305,서울특별시 강북구,201804,,2562018.0,,
11305,서울특별시 강북구,201805,,2918720.0,,
11305,서울특별시 강북구,201806,,2748056.0,,
11305,서울특별시 강북구,201807,,2730024.0,,
11305,서울특별시 강북구,201808,,2833562.0,,
11305,서울특별시 강북구,201809,,3022554.0,,
11305,서울특별시 강북구,201810,,2782202.0,,
11305,서울특별시 강북구,201811,,2628507.0,,
11305,서울특별시 강북구,201812,,2798114.0,,
11305,서울특별시 강북구,201901,,2588320.0,,
11305,서울특별시 강북구,201902,,2530269.0,,
