SGG_CD,SGG_NM,BASE_YM,TOU_NUM,PREV_TOU_NUM,TOU_NUM_PER
11680,서울특별시 강남구,201801,16422689.0,0.0,
11680,서울특별시 강남구,201802,13466792.0,0.0,
11680,서울특별시 강남구,201803,17175399.0,0.0,
11680,서울특별시 강남구,201804,15217674.0,0.0,
11680,서울특별시 강남구,201805,15661915.0,0.0,
11680,서울특별시 강남구,201806,16255732.0,0.0,
11680,서울특별시 강남구,201807,18744015.0,0.0,
11680,서울특별시 강남구,201808,16466887.0,0.0,
11680,서울특별시 강남구,201809,15423943.0,0.0,
11680,서울특별시 강남구,201810,17705268.0,0.0,
11680,서울특별시 강남구,201811,16667801.0,0.0,
11680,서울특별시 강남구,201812,17344883.0,0.0,
11680,서울특별시 강남구,201901,17246033.0,16422689.0,5.0
11680,서울특별시 강남구,201902,13361407.0,13466792.0,-0.8
11680,서울특별시 강남구,201903,18073398.0,17175399.0,5.2
11680,서울특별시 강남구,201904,14706860.0,15217674.0,-3.4
11680,서울특별시 강남구,201905,16020602.0,15661915.0,2.3
11680,서울특별시 강남구,201906,15859980.0,16255732.0,-2.4
11680,서울특별시 강남구,201907,18096218.0,18744015.0,-3.4
11680,서울특별시 강남구,201908,17633938.0,16466887.0,7.1
11680,서울특별시 강남구,201909,15810396.0,15423943.0,2.5
11680,서울특별시 강남구,201910,16926388.0,17705268.0,-4.4
11680,서울특별시 강남구,201911,19235874.0,16667801.0,15.4
11680,서울특별시 강남구,201912,18896489.0,17344883.0,8.9
11680,서울특별시 강남구,202001,17448701.0,17246033.0,1.2
11680,서울특별시 강남구,202002,14361868.0,13361407.0,7.5
11680,서울특별시 강남구,202003,12225268.0,18073398.0,-32.4
11680,서울특별시 강남구,202004,14529125.0,14706860.0,-1.2
11680,서울특별시 강남구,202005,16150557.0,16020602.0,0.8
11680,서울특별시 강남구,202006,16250238.0,15859980.0,2.5
11680,서울특별시 강남구,202007,17771109.0,18096218.0,-1.8
11680,서울특별시 강남구,202008,14989584.0,17633938.0,-15.0
11680,서울특별시 강남구,202009,14035760.0,15810396.0,-11.2
