SGG_CD,SGG_NM,BASE_YM,SIDO_NM,LODG_TOU_NUM_RATE,AVG_LODG_DAYS
11305,서울특별시 강북구,201801,강북구,9.5,3.37
11305,서울특별시 강북구,201802,강북구,11.2,3.27
11305,서울특별시 강북구,201803,강북구,8.8,3.26
11305,서울특별시 강북구,201804,강북구,8.9,3.12
11305,서울특별시 강북구,201805,강북구,9.1,3.28
11305,서울특별시 강북구,201806,강북구,8.6,3.33
11305,서울특별시 강북구,201807,강북구,8.6,3.19
11305,서울특별시 강북구,201808,강북구,9.3,3.13
11305,서울특별시 강북구,201809,강북구,10.2,3.27
11305,서울특별시 강북구,201810,강북구,8.3,3.17
11305,서울특별시 강북구,201811,강북구,9.1,3.22
11305,서울특별시 강북구,201812,강북구,9.7,3.14
11305,서울특별시 강북구,201901,강북구,8.0,3.08
11305,서울특별시 강북구,201902,강북구,10.2,3.11
11305,서울특별시 강북구,201903,강북구,8.5,2.96
11305,서울특별시 강북구,201904,강북구,7.8,3.0
11305,서울특별시 강북구,201905,강북구,8.5,3.04
11305,서울특별시 강북구,201906,강북구,8.7,3.09
11305,서울특별시 강북구,201907,강북구,9.6,3.24
11305,서울특별시 강북구,201908,강북구,9.6,3.31
11305,서울특별시 강북구,201909,강북구,9.7,3.24
11305,서울특별시 강북구,201910,강북구,9.1,3.08
11305,서울특별시 강북구,201911,강북구,9.2,3.36
11305,서울특별시 강북구,201912,강북구,8.5,3.33
11305,서울특별시 강북구,202001,강북구,9.5,3.3
11305,서울특별시 강북구,202002,강북구,8.4,3.49
11305,서울특별시 강북구,202003,강북구,8.6,3.67
11305,서울특별시 강북구,202004,강북구,7.8,3.84
11305,서울특별시 강북구,202005,강북구,7.9,4.41
11305,서울특별시 강북구,202006,강북구,7.4,3.83
11305,서울특별시 강북구,202007,강북구,8.3,3.98
11305,서울특별시 강북구,202008,강북구,9.0,3.84
11305,서울특별시 강북구,202009,강북구,8.8,4.25
11305,서울특별시 강북구,202010,강북구,8.2,4.15
11305,서울특별시 강북구,202011,강북구,8.0,4.45
11305,서울특별시 강북구,202012,강북구,9.5,4.64
11305,서울특별시 강북구,202101,강북구,8.6,4.91
11305,서울특별시 강북구,202102,강북구,8.8,4.16
11305,서울특별시 강북구,202103,강북구,7.4,4.02
11305,서울특별시 강북구,202104,강북구,7.4,4.88
11305,서울특별시 강북구,202105,강북구,7.7,4.1
11305,서울특별시 강북구,202106,강북구,7.3,4.63
11305,서울특별시 강북구,202107,강북구,7.8,4.02
11305,서울특별시 강북구,202108,강북구,7.2,3.8
11305,서울특별시 강북구,202109,강북구,8.2,4.07
11305,서울특별시 강북구,202110,강북구,7.2,3.69
11305,서울특별시 강북구,202111,강북구,7.4,3.81
11305,서울특별시 강북구,202112,강북구,8.6,3.66
11305,서울특별시 강북구,202201,강북구,9.2,3.29
11305,서울특별시 강북구,202202,강북구,8.1,4.18
11305,서울특별시 강북구,202203,강북구,7.6,4.57
11305,서울특별시 강북구,202204,강북구,7.5,3.59
11305,서울특별시 강북구,202205,강북구,7.5,3.74
11305,서울특별시 강북구,202206,강북구,7.6,3.51
11305,서울특별시 강북구,202207,강북구,7.8,3.53
11305,서울특별시 강북구,202208,강북구,8.0,3.53
11305,서울특별시 강북구,202209,강북구,8.5,3.9
11305,서울특별시 강북구,202210,강북구,7.9,3.74
11305,서울특별시 강북구,202211,강북구,7.8,3.64
11305,서울특별시 강북구,202212,강북구,9.0,3.54
11305,서울특별시 강북구,202301,강북구,9.3,3.7
11305,서울특별시 강북구,202302,강북구,8.1,3.63
11305,서울특별시 강북구,202303,강북구,7.8,3.7
11305,서울특별시 강북구,202304,강북구,7.7,3.43
11305,서울특별시 강북구,202305,강북구,7.6,3.51
11305,서울특별시 강북구,202306,강북구,7.5,3.55
11305,서울특별시 강북구,202307,강북구,8.0,3.52
11305,서울특별시 강북구,202308,강북구,7.9,3.39
11305,서울특별시 강북구,202309,강북구,8.9,3.55
11305,서울특별시 강북구,202310,강북구,7.4,3.27
11305,서울특별시 강북구,202311,강북구,7.7,3.27
11305,서울특별시 강북구,202312,강북구,8.6,3.47
11305,서울특별시 강북구,202401,강북구,7.6,3.37
11305,서울특별시 강북구,202402,강북구,9.2,3.39
11305,서울특별시 강북구,202403,강북구,7.3,3.4
11305,서울특별시 강북구,202404,강북구,7.0,3.45
11305,서울특별시 강북구,202405,강북구,9.2,3.41
11305,서울특별시 강북구,202406,강북구,8.3,3.36
11305,서울특별시 강북구,202407,강북구,7.8,3.47
11305,서울특별시 강북구,202408,강북구,7.7,3.39
11305,서울특별시 강북구,202409,강북구,7.6,3.57
11305,서울특별시 강북구,202410,강북구,7.3,3.33
11305,서울특별시 강북구,202411,강북구,7.2,3.33
11305,서울특별시 강북구,202412,강북구,7.5,3.43
11305,서울특별시 강북구,202501,강북구,8.4,3.41
11305,서울특별시 강북구,202502,강북구,6.9,3.49
11305,서울특별시 강북구,202503,강북구,7.2,3.72
11305,서울특별시 강북구,202504,강북구,6.3,3.55
11305,서울특별시 강북구,202505,강북구,7.2,3.51
11305,서울특별시 강북구,202506,강북구,6.3,3.52
11305,서울특별시 강북구,202507,강북구,7.1,3.56
11305,서울특별시 강북구,202508,강북구,6.9,3.65
11305,서울특별시 강북구,202509,강북구,6.4,3.61
11305,서울특별시 강북구,202510,강북구,8.5,3.57
11305,서울특별시 강북구,202511,강북구,6.5,3.52
11305,서울특별시 강북구,202512,강북구,7.8,3.58
11305,서울특별시 강북구,202601,강북구,7.3,3.59
11305,서울특별시 강북구,202602,강북구,7.9,3.64
11305,서울특별시 강북구,202603,강북구,7.0,3.66
11305,서울특별시 강북구,202604,강북구,6.4,3.5
11305,서울특별시 강북구,202605,강북구,7.2,3.45
11305,서울특별시 강북구,202606,강북구,6.3,3.4
11305,서울특별시 강북구,202607,강북구,7.1,3.41
11500,서울특별시 강서구,201801,강서구,7.6,2.91
11500,서울특별시 강서구,201802,강서구,8.3,2.81
11500,서울특별시 강서구,201803,강서구,6.6,2.87
11500,서울특별시 강서구,201804,강서구,6.7,2.88
11500,서울특별시 강서구,201805,강서구,7.7,2.93
11500,서울특별시 강서구,201806,강서구,7.7,2.93
11500,서울특별시 강서구,201807,강서구,7.6,2.99
11500,서울특별시 강서구,201808,강서구,8.0,2.9
11500,서울특별시 강서구,201809,강서구,8.4,2.98
11500,서울특별시 강서구,201810,강서구,7.0,2.97
11500,서울특별시 강서구,201811,강서구,7.5,2.89
11500,서울특별시 강서구,201812,강서구,8.3,2.9
11500,서울특별시 강서구,201901,강서구,7.0,2.9
11500,서울특별시 강서구,201902,강서구,8.8,2.9
11500,서울특별시 강서구,201903,강서구,7.3,2.87
11500,서울특별시 강서구,201904,강서구,7.1,2.8
11500,서울특별시 강서구,201905,강서구,7.9,2.98
11500,서울특별시 강서구,201906,강서구,8.0,3.01
11500,서울특별시 강서구,201907,강서구,8.1,3.11
11500,서울특별시 강서구,201908,강서구,8.3,3.06
11500,서울특별시 강서구,201909,강서구,8.3,2.99
11500,서울특별시 강서구,201910,강서구,7.8,3.08
11500,서울특별시 강서구,201911,강서구,7.5,2.92
11500,서울특별시 강서구,201912,강서구,7.2,2.94
11500,서울특별시 강서구,202001,강서구,7.4,2.97
