SGG_CD,SGG_NM,BASE_DATE,SGG_NM,CARD_AMT,TOTL_CARD_AMT,CARD_PER
11680,서울특별시 강남구,201801,서울특별시 강남구,38236.0,394655.0,9.7
11680,서울특별시 강남구,201802,서울특별시 강남구,35853.0,416077.0,8.6
11680,서울특별시 강남구,201803,서울특별시 강남구,51358.0,495867.0,10.4
11680,서울특별시 강남구,201804,서울특별시 강남구,57554.0,551052.0,10.4
11680,서울특별시 강남구,201805,서울특별시 강남구,64695.0,567514.0,11.4
11680,서울특별시 강남구,201806,서울특별시 강남구,61858.0,512154.0,12.1
11680,서울특별시 강남구,201807,서울특별시 강남구,62361.0,506528.0,12.3
11680,서울특별시 강남구,201808,서울특별시 강남구,63452.0,503727.0,12.6
11680,서울특별시 강남구,201809,서울특별시 강남구,61114.0,485320.0,12.6
11680,서울특별시 강남구,201810,서울특별시 강남구,71628.0,547870.0,13.1
11680,서울특별시 강남구,201811,서울특별시 강남구,72769.0,590382.0,12.3
11680,서울특별시 강남구,201812,서울특별시 강남구,71922.0,593435.0,12.1
11680,서울특별시 강남구,201901,서울특별시 강남구,62050.0,440901.0,14.1
11680,서울특별시 강남구,201902,서울특별시 강남구,52298.0,430793.0,12.1
11680,서울특별시 강남구,201903,서울특별시 강남구,74278.0,549882.0,13.5
11680,서울특별시 강남구,201904,서울특별시 강남구,83911.0,634352.0,13.2
11680,서울특별시 강남구,201905,서울특별시 강남구,84195.0,651883.0,12.9
11680,서울특별시 강남구,201906,서울특별시 강남구,80220.0,597789.0,13.4
11680,서울특별시 강남구,201907,서울특별시 강남구,77533.0,560603.0,13.8
11680,서울특별시 강남구,201908,서울특별시 강남구,84300.0,598725.0,14.1
11680,서울특별시 강남구,201909,서울특별시 강남구,89578.0,572140.0,15.7
11680,서울특별시 강남구,201910,서울특별시 강남구,117259.0,703868.0,16.7
11680,서울특별시 강남구,201911,서울특별시 강남구,104558.0,650220.0,16.1
11680,서울특별시 강남구,201912,서울특별시 강남구,104625.0,684791.0,15.3
11680,서울특별시 강남구,202001,서울특별시 강남구,69363.0,493903.0,14.0
11680,서울특별시 강남구,202002,서울특별시 강남구,44776.0,283728.0,15.8
11680,서울특별시 강남구,202003,서울특별시 강남구,11419.0,74561.0,15.3
11680,서울특별시 강남구,202004,서울특별시 강남구,8423.0,58808.0,14.3
