SGG_CD,BASE_YM,수도권,부울경,대구,경북
47170,201901,18.18,9.2,13.1,47.19
47170,201902,17.53,6.83,10.6,51.17
47170,201903,19.39,6.62,10.64,49.25
47170,201904,20.38,8.23,13.39,46.22
47170,201905,15.16,6.56,12.16,51.91
47170,201906,11.0,6.4,11.48,56.99
47170,201907,12.8,6.95,8.56,56.02
47170,201908,13.33,6.91,9.31,52.37
47170,201909,15.69,7.06,11.3,51.0
47170,201910,15.73,7.74,9.89,51.65
47170,201911,15.68,7.5,10.62,51.52
47170,201912,13.9,6.02,13.32,54.61
47170,202001,15.6,8.48,8.03,52.12
47170,202002,15.22,7.1,11.39,53.33
47170,202003,12.46,7.08,9.63,56.94
47170,202004,12.23,8.74,11.65,50.29
47170,202005,14.22,6.84,10.8,54.91
47170,202006,13.15,5.75,10.76,57.55
47170,202007,13.0,6.06,8.6,59.41
47170,202008,15.72,6.95,7.56,52.51
47170,202009,16.81,6.4,10.56,50.04
47170,202010,17.93,6.9,11.39,49.06
47170,202011,16.34,6.91,11.91,49.48
47170,202012,15.31,5.85,12.04,51.22
47170,202101,16.94,7.91,9.13,52.94
47170,202102,18.62,6.97,10.33,49.78
47170,202103,15.82,7.61,10.72,48.91
47170,202104,17.29,6.7,10.23,51.66
47170,202105,17.0,7.1,11.29,50.46
47170,202106,14.73,6.64,9.41,54.82
47170,202107,15.87,7.0,8.97,51.61
47170,202108,14.51,7.18,8.87,53.35
47170,202109,15.41,6.77,12.48,48.75
47170,202110,17.19,7.57,11.59,47.98
47170,202111,15.27,6.88,10.89,53.12
47170,202112,14.08,6.14,11.69,53.4
47170,202201,13.19,6.0,10.64,55.55
47170,202202,18.45,6.48,10.49,50.13
47170,202203,16.32,6.22,11.51,49.45
47170,202204,16.31,6.26,12.22,50.86
47170,202205,15.52,7.02,10.19,49.51
47170,202206,15.43,6.66,7.92,56.22
47170,202207,14.33,6.17,10.03,55.19
47170,202208,13.82,7.58,8.52,53.47
47170,202209,14.81,6.38,9.42,52.87
47170,202210,16.47,6.05,10.89,50.54
47170,202211,15.2,5.17,12.49,52.03
47170,202212,12.73,6.58,13.11,54.24
47170,202301,14.91,6.52,9.51,54.46
47170,202302,12.64,5.88,9.87,56.71
47170,202303,17.44,5.86,10.66,52.62
47170,202304,14.92,7.16,11.35,51.4
47170,202305,14.19,5.39,11.14,55.28
47170,202306,14.53,5.18,9.61,56.54
47170,202307,13.19,6.76,10.54,53.88
47170,202308,14.92,7.44,9.55,51.21
47170,202309,19.0,6.49,10.16,48.1
47170,202310,15.98,6.44,12.15,50.68
47170,202311,16.53,6.13,12.66,49.68
47170,202312,14.8,6.13,14.37,51.66
47170,202401,13.3,5.05,14.56,52.84
47170,202402,15.69,5.68,13.06,50.64
47170,202403,18.28,5.41,12.58,49.67
47170,202404,14.67,5.24,11.94,55.18
47170,202405,15.7,5.21,11.54,53.8
47170,202406,15.43,5.99,12.86,51.82
47170,202407,15.7,6.43,9.73,50.91
47170,202408,16.77,6.48,9.42,51.55
47170,202409,16.48,6.97,10.68,51.43
47170,202410,12.93,6.55,12.23,54.61
47170,202411,14.07,6.58,12.58,53.69
47170,202412,13.24,5.08,13.79,56.6
47170,202501,12.57,6.15,11.4,56.82
47170,202502,12.99,5.43,12.88,55.95
47170,202503,13.98,6.42,11.6,53.91
47170,202504,15.1,6.28,10.75,56.04
47170,202505,15.19,7.21,10.61,52.99
47170,202506,14.99,5.09,10.31,57.0
47170,202507,14.29,5.71,9.51,57.05
47170,202508,15.23,6.11,9.48,55.1
47170,202509,14.46,5.58,12.88,54.44
47170,202510,13.52,7.03,10.8,54.55
47170,202511,14.21,5.77,12.26,54.25
47170,202512,11.1,5.76,13.71,57.01
47170,202601,13.07,6.35,12.7,54.27
47170,202602,16.43,6.78,12.09,48.32
47170,202603,17.15,6.39,12.24,48.86
47170,202604,18.07,5.83,10.2,52.63
47170,202605,17.44,7.8,13.19,45.04
47170,202606,17.64,5.05,11.26,52.49
47170,202607,16.77,5.9,9.75,51.78
47170,202608,19.62,6.09,9.45,48.31
47210,201901,15.99,2.69,5.65,43.82
47210,201902,20.95,4.08,4.22,40.95
47210,201903,21.17,4.99,6.66,39.71
47210,201904,18.25,4.59,5.21,42.23
47210,201905,16.6,3.85,5.67,42.71
47210,201906,19.51,5.28,6.71,38.21
47210,201907,15.3,3.03,4.01,52.29
47210,201908,15.18,3.51,5.43,46.92
47210,201909,16.87,2.99,6.68,44.82
47210,201910,17.96,4.42,6.11,43.02
47210,201911,21.06,3.45,5.4,37.67
47210,201912,17.56,4.46,4.56,41.22
47210,202001,16.71,3.48,4.25,36.23
47210,202002,15.89,4.37,5.83,41.69
47210,202003,16.26,4.53,5.76,46.09
47210,202004,15.52,5.09,6.11,47.84
47210,202005,13.12,3.94,4.97,54.73
47210,202006,11.1,4.28,5.86,57.52
47210,202007,13.15,3.03,3.17,57.78
47210,202008,12.95,7.28,5.09,51.48
47210,202009,13.2,4.49,5.43,51.97
47210,202010,14.98,4.36,6.4,51.14
47210,202011,14.75,5.04,6.15,47.74
47210,202012,17.61,4.51,5.29,45.19
47210,202101,19.88,4.64,6.36,42.08
47210,202102,16.07,4.49,6.17,46.45
47210,202103,17.79,3.86,5.96,48.2
47210,202104,15.09,4.38,5.41,53.65
47210,202105,17.92,4.76,6.43,45.71
47210,202106,17.41,5.94,4.49,50.57
47210,202107,19.1,5.0,6.51,44.76
47210,202108,15.49,6.66,5.76,46.03
47210,202109,16.3,6.77,6.47,46.5
47210,202110,16.02,5.03,7.29,46.7
47210,202111,17.13,5.79,5.55,42.87
47210,202112,18.3,5.69,5.92,44.5
47210,202201,17.79,5.2,4.26,42.67
47210,202202,17.94,6.81,4.01,44.59
47210,202203,17.62,6.71,5.21,42.54
47210,202204,17.32,6.03,6.41,46.82
47210,202205,18.39,4.78,5.71,42.34
47210,202206,15.99,4.52,3.5,47.34
47210,202207,15.8,4.63,6.1,45.32
47210,202208,13.14,4.57,5.96,48.93
47210,202209,15.84,4.11,4.05,47.07
47210,202210,16.85,5.08,6.16,43.56
47210,202211,18.64,4.38,4.57,44.26
47210,202212,17.52,4.36,4.36,39.56
47210,202301,16.91,4.56,5.44,35.22
47210,202302,15.87,3.97,4.41,42.68
47210,202303,15.0,3.13,4.37,47.49
47210,202304,18.73,3.65,3.85,43.24
47210,202305,16.7,3.95,4.47,44.78
47210,202306,16.56,5.01,3.85,40.1
47210,202307,16.82,3.89,7.14,43.76
47210,202308,13.97,4.29,5.84,46.09
47210,202309,15.07,4.14,4.51,45.67
47210,202310,16.03,3.27,5.69,45.06
47210,202311,18.05,4.16,5.38,40.6
47210,202312,14.97,3.72,4.97,38.92
47210,202401,15.51,3.7,5.11,36.06
47210,202402,15.63,4.6,6.07,36.36
47210,202403,16.34,3.51,5.24,41.38
47210,202404,16.96,3.31,5.43,46.12
47210,202405,14.72,3.08,4.87,45.72
47210,202406,15.14,3.37,5.41,40.65
47210,202407,13.3,4.49,6.04,46.12
47210,202408,14.75,4.35,6.14,46.31
47210,202409,15.65,2.78,4.18,51.0
47210,202410,16.39,4.92,4.68,44.86
47210,202411,13.6,4.38,5.98,45.13
47210,202412,13.49,5.01,5.07,37.75
47210,202501,16.46,3.91,5.33,37.72
47210,202502,14.92,4.58,4.07,39.66
47210,202503,16.2,4.18,5.31,40.9
47210,202504,15.76,3.26,5.32,50.11
47210,202505,19.28,4.83,6.67,37.61
47210,202506,14.52,4.08,5.92,43.63
47210,202507,14.71,3.75,6.02,47.47
47210,202508,14.04,4.29,5.59,47.72
47210,202509,15.9,4.35,5.96,45.9
47210,202510,16.28,3.22,4.81,42.62
47210,202511,15.01,3.53,4.27,43.74
47210,202512,16.16,3.92,5.49,42.94
47210,202601,14.37,4.41,5.62,40.18
47210,202602,18.32,3.96,5.06,37.95
47210,202603,18.31,5.02,5.14,43.48
47210,202604,16.06,3.94,5.11,48.94
47210,202605,18.91,5.63,5.63,39.15
47210,202606,17.9,4.0,4.92,44.26
47210,202607,19.75,4.11,6.44,43.02
47210,202608,16.67,4.07,5.69,45.58
47130,201901,8.29,47.97,13.23,23.15
47130,201902,13.25,44.79,12.31,20.96
47130,201903,11.89,45.43,11.49,22.22
47130,201904,15.76,42.29,10.34,21.77
47130,201905,9.15,48.49,10.71,24.16
47130,201906,7.75,47.41,12.72,25.66
47130,201907,7.09,49.6,11.96,25.01
47130,201908,7.98,49.35,10.97,24.45
47130,201909,7.42,46.89,12.11,26.14
47130,201910,10.45,45.92,10.01,25.23
47130,201911,8.46,46.02,11.36,26.94
47130,201912,6.5,47.21,11.86,27.73
47130,202001,6.69,49.0,11.69,26.31
47130,202002,8.93,47.43,11.25,25.37
47130,202003,5.73,55.16,11.24,24.25
47130,202004,7.16,53.32,11.08,23.59
47130,202005,5.7,54.02,10.58,24.63
47130,202006,6.16,52.36,10.93,25.44
47130,202007,8.06,49.1,11.69,25.35
47130,202008,8.25,49.87,9.52,25.69
47130,202009,7.05,49.86,11.03,26.28
47130,202010,9.06,48.62,10.75,24.7
47130,202011,10.15,46.94,9.88,26.02
47130,202012,8.15,50.33,11.14,24.97
47130,202101,8.43,50.87,10.71,24.1
