SGG_CD,SGG_NM,PERIOD,수도권,부울경,대구경북,합계
11680,서울특별시 강남구,2019,97.11,0.24,0.32,762886
11680,서울특별시 강남구,2022,96.96,0.26,0.36,869021
11680,서울특별시 강남구,2023,97.24,0.23,0.32,908510
11680,서울특별시 강남구,2025,97.51,0.21,0.3,530972
11740,서울특별시 강동구,2019,96.46,0.31,0.45,27619
11740,서울특별시 강동구,2022,96.52,0.33,0.56,44953
11740,서울특별시 강동구,2023,96.39,0.32,0.49,41497
11740,서울특별시 강동구,2025,95.73,0.47,0.52,25823
11305,서울특별시 강북구,2019,98.01,0.13,0.29,29748
11305,서울특별시 강북구,2022,98.62,0.12,0.14,76928
11305,서울특별시 강북구,2023,98.56,0.15,0.13,110248
11305,서울특별시 강북구,2025,98.42,0.12,0.19,63871
11500,서울특별시 강서구,2019,97.51,0.18,0.29,153534
11500,서울특별시 강서구,2022,97.43,0.21,0.29,195183
11500,서울특별시 강서구,2023,97.23,0.24,0.33,194971
11500,서울특별시 강서구,2025,97.08,0.32,0.36,138618
11620,서울특별시 관악구,2019,96.63,0.29,0.41,28045
11620,서울특별시 관악구,2022,97.01,0.24,0.32,48452
11620,서울특별시 관악구,2023,96.57,0.3,0.38,48615
11620,서울특별시 관악구,2025,96.15,0.5,0.57,28637
11215,서울특별시 광진구,2019,97.78,0.14,0.19,197210
11215,서울특별시 광진구,2022,98.06,0.1,0.16,266161
11215,서울특별시 광진구,2023,98.11,0.11,0.17,292557
11215,서울특별시 광진구,2025,98.02,0.11,0.18,192662
11530,서울특별시 구로구,2019,97.23,0.21,0.32,129198
11530,서울특별시 구로구,2022,96.93,0.3,0.35,101117
11530,서울특별시 구로구,2023,96.73,0.33,0.45,85504
11530,서울특별시 구로구,2025,96.7,0.31,0.42,66688
11545,서울특별시 금천구,2019,97.01,0.21,0.33,50131
11545,서울특별시 금천구,2022,97.16,0.28,0.39,54793
11545,서울특별시 금천구,2023,96.77,0.34,0.46,50884
11545,서울특별시 금천구,2025,96.07,0.47,0.55,34620
11350,서울특별시 노원구,2019,97.42,0.24,0.3,13603
11350,서울특별시 노원구,2022,97.35,0.21,0.31,22891
11350,서울특별시 노원구,2023,97.53,0.25,0.35,22466
11350,서울특별시 노원구,2025,96.9,0.27,0.38,14179
11320,서울특별시 도봉구,2019,97.67,0.06,0.14,9264
11320,서울특별시 도봉구,2022,98.42,0.16,0.16,25016
11320,서울특별시 도봉구,2023,98.14,0.14,0.2,25028
11320,서울특별시 도봉구,2025,97.9,0.18,0.26,13933
11230,서울특별시 동대문구,2019,97.69,0.22,0.27,89200
11230,서울특별시 동대문구,2022,97.05,0.32,0.41,47493
11230,서울특별시 동대문구,2023,96.8,0.39,0.4,50149
11230,서울특별시 동대문구,2025,95.94,0.51,0.48,33974
11590,서울특별시 동작구,2019,96.41,0.44,0.48,29251
11590,서울특별시 동작구,2022,96.57,0.34,0.5,39761
11590,서울특별시 동작구,2023,96.41,0.47,0.48,36633
11590,서울특별시 동작구,2025,96.45,0.47,0.52,20634
11440,서울특별시 마포구,2019,97.78,0.2,0.23,200842
11440,서울특별시 마포구,2022,97.45,0.26,0.29,240498
11440,서울특별시 마포구,2023,97.79,0.23,0.25,259444
11440,서울특별시 마포구,2025,97.85,0.24,0.25,155930
11410,서울특별시 서대문구,2019,97.63,0.2,0.28,102201
11410,서울특별시 서대문구,2022,97.28,0.32,0.35,101403
11410,서울특별시 서대문구,2023,97.25,0.28,0.39,97456
11410,서울특별시 서대문구,2025,97.36,0.32,0.37,62169
11650,서울특별시 서초구,2019,96.8,0.25,0.37,408489
