AREA_NM,SGG_NM,SGG_CD,PTL_SIDO_CD,SRCH_CNT,SPPY_SRCH_CNT,GROW_RATE_SPPY_SRCH_CNT,_YEAR
종로구,종로구,11110,KR-11,1763016,0,0.0,2018
중구,중구,11140,KR-11,3009485,0,0.0,2018
용산구,용산구,11170,KR-11,1865943,0,0.0,2018
성동구,성동구,11200,KR-11,561641,0,0.0,2018
광진구,광진구,11215,KR-11,1381127,0,0.0,2018
동대문구,동대문구,11230,KR-11,489101,0,0.0,2018
중랑구,중랑구,11260,KR-11,270470,0,0.0,2018
성북구,성북구,11290,KR-11,497381,0,0.0,2018
강북구,강북구,11305,KR-11,428990,0,0.0,2018
도봉구,도봉구,11320,KR-11,231625,0,0.0,2018
노원구,노원구,11350,KR-11,676516,0,0.0,2018
은평구,은평구,11380,KR-11,528446,0,0.0,2018
서대문구,서대문구,11410,KR-11,585278,0,0.0,2018
마포구,마포구,11440,KR-11,1600871,0,0.0,2018
양천구,양천구,11470,KR-11,743700,0,0.0,2018
강서구,강서구,11500,KR-11,2673596,0,0.0,2018
구로구,구로구,11530,KR-11,525038,0,0.0,2018
금천구,금천구,11545,KR-11,469871,0,0.0,2018
영등포구,영등포구,11560,KR-11,2168405,0,0.0,2018
동작구,동작구,11590,KR-11,529613,0,0.0,2018
관악구,관악구,11620,KR-11,446704,0,0.0,2018
서초구,서초구,11650,KR-11,2876283,0,0.0,2018
강남구,강남구,11680,KR-11,4919299,0,0.0,2018
송파구,송파구,11710,KR-11,3254223,0,0.0,2018
강동구,강동구,11740,KR-11,605819,0,0.0,2018
목포시,목포시,12110,KR-12,614981,0,0.0,2018
여수시,여수시,12130,KR-12,1571224,0,0.0,2018
순천시,순천시,12150,KR-12,881229,0,0.0,2018
나주시,나주시,12170,KR-12,314058,0,0.0,2018
광양시,광양시,12190,KR-12,295115,0,0.0,2018
동구,동구,12210,KR-12,322706,0,0.0,2018
서구,서구,12240,KR-12,1028922,0,0.0,2018
남구,남구,12270,KR-12,185938,0,0.0,2018
북구,북구,12300,KR-12,469297,0,0.0,2018
광산구,광산구,12330,KR-12,747179,0,0.0,2018
담양군,담양군,12710,KR-12,533203,0,0.0,2018
곡성군,곡성군,12720,KR-12,97749,0,0.0,2018
구례군,구례군,12730,KR-12,173338,0,0.0,2018
고흥군,고흥군,12740,KR-12,134242,0,0.0,2018
보성군,보성군,12750,KR-12,191264,0,0.0,2018
화순군,화순군,12760,KR-12,191694,0,0.0,2018
장흥군,장흥군,12770,KR-12,93216,0,0.0,2018
강진군,강진군,12780,KR-12,121258,0,0.0,2018
해남군,해남군,12790,KR-12,164727,0,0.0,2018
영암군,영암군,12800,KR-12,85779,0,0.0,2018
무안군,무안군,12810,KR-12,180629,0,0.0,2018
함평군,함평군,12820,KR-12,86559,0,0.0,2018
영광군,영광군,12830,KR-12,191761,0,0.0,2018
장성군,장성군,12840,KR-12,169330,0,0.0,2018
완도군,완도군,12850,KR-12,189299,0,0.0,2018
진도군,진도군,12860,KR-12,71476,0,0.0,2018
신안군,신안군,12870,KR-12,82124,0,0.0,2018
중구,중구,26110,KR-26,557239,0,0.0,2018
서구,서구,26140,KR-26,221037,0,0.0,2018
동구,동구,26170,KR-26,413499,0,0.0,2018
영도구,영도구,26200,KR-26,282257,0,0.0,2018
부산진구,부산진구,26230,KR-26,795165,0,0.0,2018
동래구,동래구,26260,KR-26,461681,0,0.0,2018
남구,남구,26290,KR-26,349255,0,0.0,2018
북구,북구,26320,KR-26,195256,0,0.0,2018
해운대구,해운대구,26350,KR-26,2278072,0,0.0,2018
사하구,사하구,26380,KR-26,359043,0,0.0,2018
금정구,금정구,26410,KR-26,347996,0,0.0,2018
강서구,강서구,26440,KR-26,899740,0,0.0,2018
연제구,연제구,26470,KR-26,138970,0,0.0,2018
수영구,수영구,26500,KR-26,546295,0,0.0,2018
사상구,사상구,26530,KR-26,368370,0,0.0,2018
기장군,기장군,26710,KR-26,1877322,0,0.0,2018
중구,중구,27110,KR-27,622302,0,0.0,2018
동구,동구,27140,KR-27,1115560,0,0.0,2018
서구,서구,27170,KR-27,134143,0,0.0,2018
남구,남구,27200,KR-27,271943,0,0.0,2018
북구,북구,27230,KR-27,536697,0,0.0,2018
수성구,수성구,27260,KR-27,878947,0,0.0,2018
달서구,달서구,27290,KR-27,661947,0,0.0,2018
달성군,달성군,27710,KR-27,395988,0,0.0,2018
군위군,군위군,27720,KR-27,97800,0,0.0,2018
중구,중구,28110,KR-28,4313129,0,0.0,2018
동구,동구,28140,KR-28,87403,0,0.0,2018
미추홀구,미추홀구,28177,KR-28,696774,0,0.0,2018
연수구,연수구,28185,KR-28,2329885,0,0.0,2018
남동구,남동구,28200,KR-28,1438163,0,0.0,2018
부평구,부평구,28237,KR-28,539471,0,0.0,2018
계양구,계양구,28245,KR-28,449015,0,0.0,2018
서구,서구,28260,KR-28,1045025,0,0.0,2018
강화군,강화군,28710,KR-28,1421816,0,0.0,2018
옹진군,옹진군,28720,KR-28,251127,0,0.0,2018
동구,동구,30110,KR-30,597952,0,0.0,2018
중구,중구,30140,KR-30,564849,0,0.0,2018
서구,서구,30170,KR-30,948924,0,0.0,2018
유성구,유성구,30200,KR-30,1166035,0,0.0,2018
대덕구,대덕구,30230,KR-30,259533,0,0.0,2018
중구,중구,31110,KR-31,195951,0,0.0,2018
남구,남구,31140,KR-31,848284,0,0.0,2018
동구,동구,31170,KR-31,217486,0,0.0,2018
북구,북구,31200,KR-31,294153,0,0.0,2018
울주군,울주군,31710,KR-31,841710,0,0.0,2018
세종특별자치시,세종특별자치시,36110,KR-36,1078700,0,0.0,2018
수원시,수원시,41110,KR-41,4262623,0,0.0,2018
성남시,성남시,41130,KR-41,3468593,0,0.0,2018
의정부시,의정부시,41150,KR-41,910352,0,0.0,2018
안양시,안양시,41170,KR-41,1192121,0,0.0,2018
부천시,부천시,41190,KR-41,1697179,0,0.0,2018
광명시,광명시,41210,KR-41,1046446,0,0.0,2018
평택시,평택시,41220,KR-41,1108778,0,0.0,2018
동두천시,동두천시,41250,KR-41,163982,0,0.0,2018
안산시,안산시,41270,KR-41,1676172,0,0.0,2018
고양시,고양시,41280,KR-41,5620452,0,0.0,2018
과천시,과천시,41290,KR-41,683317,0,0.0,2018
구리시,구리시,41310,KR-41,872344,0,0.0,2018
남양주시,남양주시,41360,KR-41,2327678,0,0.0,2018
오산시,오산시,41370,KR-41,478347,0,0.0,2018
시흥시,시흥시,41390,KR-41,1567108,0,0.0,2018
군포시,군포시,41410,KR-41,250690,0,0.0,2018
의왕시,의왕시,41430,KR-41,571061,0,0.0,2018
하남시,하남시,41450,KR-41,2020882,0,0.0,2018
용인시,용인시,41460,KR-41,4407024,0,0.0,2018
파주시,파주시,41480,KR-41,3126239,0,0.0,2018
이천시,이천시,41500,KR-41,1541213,0,0.0,2018
안성시,안성시,41550,KR-41,921990,0,0.0,2018
김포시,김포시,41570,KR-41,1596309,0,0.0,2018
화성시,화성시,41590,KR-41,3044960,0,0.0,2018
광주시,광주시,41610,KR-41,1423857,0,0.0,2018
양주시,양주시,41630,KR-41,795478,0,0.0,2018
포천시,포천시,41650,KR-41,1383181,0,0.0,2018
여주시,여주시,41670,KR-41,1293497,0,0.0,2018
연천군,연천군,41800,KR-41,307829,0,0.0,2018
가평군,가평군,41820,KR-41,1448230,0,0.0,2018
양평군,양평군,41830,KR-41,1377558,0,0.0,2018
청주시,청주시,43110,KR-43,2445623,0,0.0,2018
충주시,충주시,43130,KR-43,814471,0,0.0,2018
제천시,제천시,43150,KR-43,510163,0,0.0,2018
보은군,보은군,43720,KR-43,142737,0,0.0,2018
옥천군,옥천군,43730,KR-43,78587,0,0.0,2018
영동군,영동군,43740,KR-43,80679,0,0.0,2018
증평군,증평군,43745,KR-43,72729,0,0.0,2018
진천군,진천군,43750,KR-43,332555,0,0.0,2018
괴산군,괴산군,43760,KR-43,170382,0,0.0,2018
음성군,음성군,43770,KR-43,272699,0,0.0,2018
단양군,단양군,43800,KR-43,566524,0,0.0,2018
천안시,천안시,44130,KR-44,2302286,0,0.0,2018
공주시,공주시,44150,KR-44,623625,0,0.0,2018
보령시,보령시,44180,KR-44,815016,0,0.0,2018
아산시,아산시,44200,KR-44,1415191,0,0.0,2018
서산시,서산시,44210,KR-44,597214,0,0.0,2018
논산시,논산시,44230,KR-44,293548,0,0.0,2018
계룡시,계룡시,44250,KR-44,75680,0,0.0,2018
당진시,당진시,44270,KR-44,667359,0,0.0,2018
금산군,금산군,44710,KR-44,139462,0,0.0,2018
부여군,부여군,44760,KR-44,355689,0,0.0,2018
서천군,서천군,44770,KR-44,321084,0,0.0,2018
청양군,청양군,44790,KR-44,81897,0,0.0,2018
홍성군,홍성군,44800,KR-44,233823,0,0.0,2018
예산군,예산군,44810,KR-44,365185,0,0.0,2018
태안군,태안군,44825,KR-44,1109489,0,0.0,2018
포항시,포항시,47110,KR-47,1438267,0,0.0,2018
경주시,경주시,47130,KR-47,2616275,0,0.0,2018
김천시,김천시,47150,KR-47,318481,0,0.0,2018
안동시,안동시,47170,KR-47,430821,0,0.0,2018
구미시,구미시,47190,KR-47,567600,0,0.0,2018
영주시,영주시,47210,KR-47,241559,0,0.0,2018
영천시,영천시,47230,KR-47,205640,0,0.0,2018
상주시,상주시,47250,KR-47,142225,0,0.0,2018
문경시,문경시,47280,KR-47,277580,0,0.0,2018
경산시,경산시,47290,KR-47,280556,0,0.0,2018
의성군,의성군,47730,KR-47,62974,0,0.0,2018
청송군,청송군,47750,KR-47,131181,0,0.0,2018
영양군,영양군,47760,KR-47,6279,0,0.0,2018
영덕군,영덕군,47770,KR-47,352834,0,0.0,2018
청도군,청도군,47820,KR-47,267444,0,0.0,2018
고령군,고령군,47830,KR-47,45250,0,0.0,2018
성주군,성주군,47840,KR-47,56878,0,0.0,2018
칠곡군,칠곡군,47850,KR-47,207466,0,0.0,2018
예천군,예천군,47900,KR-47,108010,0,0.0,2018
봉화군,봉화군,47920,KR-47,67887,0,0.0,2018
울진군,울진군,47930,KR-47,345822,0,0.0,2018
울릉군,울릉군,47940,KR-47,16667,0,0.0,2018
창원시,창원시,48120,KR-48,2114395,0,0.0,2018
진주시,진주시,48170,KR-48,616201,0,0.0,2018
통영시,통영시,48220,KR-48,889473,0,0.0,2018
사천시,사천시,48240,KR-48,430621,0,0.0,2018
김해시,김해시,48250,KR-48,1160344,0,0.0,2018
밀양시,밀양시,48270,KR-48,311899,0,0.0,2018
거제시,거제시,48310,KR-48,987693,0,0.0,2018
양산시,양산시,48330,KR-48,850496,0,0.0,2018
의령군,의령군,48720,KR-48,65151,0,0.0,2018
함안군,함안군,48730,KR-48,107587,0,0.0,2018
창녕군,창녕군,48740,KR-48,152917,0,0.0,2018
고성군,고성군,48820,KR-48,135741,0,0.0,2018
남해군,남해군,48840,KR-48,463184,0,0.0,2018
하동군,하동군,48850,KR-48,194192,0,0.0,2018
산청군,산청군,48860,KR-48,98746,0,0.0,2018
함양군,함양군,48870,KR-48,79920,0,0.0,2018
거창군,거창군,48880,KR-48,70271,0,0.0,2018
합천군,합천군,48890,KR-48,151926,0,0.0,2018
제주시,제주시,50110,KR-50,4472905,0,0.0,2018
서귀포시,서귀포시,50130,KR-50,3580327,0,0.0,2018
춘천시,춘천시,51110,KR-51,1651673,0,0.0,2018
원주시,원주시,51130,KR-51,1346713,0,0.0,2018
강릉시,강릉시,51150,KR-51,3144642,0,0.0,2018
동해시,동해시,51170,KR-51,366828,0,0.0,2018
태백시,태백시,51190,KR-51,172507,0,0.0,2018
속초시,속초시,51210,KR-51,2578137,0,0.0,2018
삼척시,삼척시,51230,KR-51,734041,0,0.0,2018
홍천군,홍천군,51720,KR-51,946832,0,0.0,2018
횡성군,횡성군,51730,KR-51,389724,0,0.0,2018
영월군,영월군,51750,KR-51,275489,0,0.0,2018
평창군,평창군,51760,KR-51,1163189,0,0.0,2018
정선군,정선군,51770,KR-51,791980,0,0.0,2018
철원군,철원군,51780,KR-51,216281,0,0.0,2018
화천군,화천군,51790,KR-51,68661,0,0.0,2018
양구군,양구군,51800,KR-51,62594,0,0.0,2018
인제군,인제군,51810,KR-51,278541,0,0.0,2018
고성군,고성군,51820,KR-51,683747,0,0.0,2018
양양군,양양군,51830,KR-51,999931,0,0.0,2018
전주시,전주시,52110,KR-52,1880973,0,0.0,2018
군산시,군산시,52130,KR-52,1182783,0,0.0,2018
익산시,익산시,52140,KR-52,431462,0,0.0,2018
정읍시,정읍시,52180,KR-52,204884,0,0.0,2018
남원시,남원시,52190,KR-52,242498,0,0.0,2018
김제시,김제시,52210,KR-52,146454,0,0.0,2018
완주군,완주군,52710,KR-52,280045,0,0.0,2018
진안군,진안군,52720,KR-52,91574,0,0.0,2018
무주군,무주군,52730,KR-52,271090,0,0.0,2018
장수군,장수군,52740,KR-52,34925,0,0.0,2018
임실군,임실군,52750,KR-52,79359,0,0.0,2018
순창군,순창군,52770,KR-52,64236,0,0.0,2018
고창군,고창군,52790,KR-52,230710,0,0.0,2018
부안군,부안군,52800,KR-52,446309,0,0.0,2018
종로구,종로구,11110,KR-11,2373156,0,0.0,2019
중구,중구,11140,KR-11,3983577,0,0.0,2019
용산구,용산구,11170,KR-11,2877927,0,0.0,2019
성동구,성동구,11200,KR-11,846497,0,0.0,2019
광진구,광진구,11215,KR-11,1837930,0,0.0,2019
동대문구,동대문구,11230,KR-11,676701,0,0.0,2019
중랑구,중랑구,11260,KR-11,402895,0,0.0,2019
성북구,성북구,11290,KR-11,687715,0,0.0,2019
강북구,강북구,11305,KR-11,613717,0,0.0,2019
도봉구,도봉구,11320,KR-11,325313,0,0.0,2019
노원구,노원구,11350,KR-11,971586,0,0.0,2019
은평구,은평구,11380,KR-11,753500,0,0.0,2019
서대문구,서대문구,11410,KR-11,818725,0,0.0,2019
마포구,마포구,11440,KR-11,2203455,0,0.0,2019
양천구,양천구,11470,KR-11,976752,0,0.0,2019
강서구,강서구,11500,KR-11,3789569,0,0.0,2019
구로구,구로구,11530,KR-11,690063,0,0.0,2019
금천구,금천구,11545,KR-11,605691,0,0.0,2019
영등포구,영등포구,11560,KR-11,2991194,0,0.0,2019
동작구,동작구,11590,KR-11,705574,0,0.0,2019
관악구,관악구,11620,KR-11,630760,0,0.0,2019
서초구,서초구,11650,KR-11,3986391,0,0.0,2019
강남구,강남구,11680,KR-11,6913338,0,0.0,2019
