AREA_NM,SGG_NM,SGG_CD,PTL_SIDO_CD,SRCH_CNT,SPPY_SRCH_CNT,GROW_RATE_SPPY_SRCH_CNT
종로구,종로구,11110,KR-11,23490918,0,0.0
중구,중구,11140,KR-11,38412116,0,0.0
용산구,용산구,11170,KR-11,33756505,0,0.0
성동구,성동구,11200,KR-11,10425762,0,0.0
광진구,광진구,11215,KR-11,18644380,0,0.0
동대문구,동대문구,11230,KR-11,8404522,0,0.0
중랑구,중랑구,11260,KR-11,4866159,0,0.0
성북구,성북구,11290,KR-11,7881001,0,0.0
강북구,강북구,11305,KR-11,7490074,0,0.0
도봉구,도봉구,11320,KR-11,4249409,0,0.0
노원구,노원구,11350,KR-11,11419316,0,0.0
은평구,은평구,11380,KR-11,9554732,0,0.0
서대문구,서대문구,11410,KR-11,8312059,0,0.0
마포구,마포구,11440,KR-11,23085668,0,0.0
양천구,양천구,11470,KR-11,10867844,0,0.0
강서구,강서구,11500,KR-11,42680191,0,0.0
구로구,구로구,11530,KR-11,8401763,0,0.0
금천구,금천구,11545,KR-11,6481112,0,0.0
영등포구,영등포구,11560,KR-11,36819485,0,0.0
동작구,동작구,11590,KR-11,8557507,0,0.0
관악구,관악구,11620,KR-11,6363844,0,0.0
서초구,서초구,11650,KR-11,42247830,0,0.0
강남구,강남구,11680,KR-11,75058519,0,0.0
송파구,송파구,11710,KR-11,50746078,0,0.0
강동구,강동구,11740,KR-11,11354293,0,0.0
목포시,목포시,12110,KR-12,12040404,0,0.0
여수시,여수시,12130,KR-12,26103747,0,0.0
순천시,순천시,12150,KR-12,13866841,0,0.0
나주시,나주시,12170,KR-12,6278153,0,0.0
광양시,광양시,12190,KR-12,5352193,0,0.0
동구,동구,12210,KR-12,5575871,0,0.0
서구,서구,12240,KR-12,17002754,0,0.0
남구,남구,12270,KR-12,3778840,0,0.0
북구,북구,12300,KR-12,9616042,0,0.0
광산구,광산구,12330,KR-12,14207694,0,0.0
담양군,담양군,12710,KR-12,9118614,0,0.0
곡성군,곡성군,12720,KR-12,1713058,0,0.0
구례군,구례군,12730,KR-12,3475665,0,0.0
고흥군,고흥군,12740,KR-12,2933519,0,0.0
보성군,보성군,12750,KR-12,2729084,0,0.0
화순군,화순군,12760,KR-12,3789882,0,0.0
장흥군,장흥군,12770,KR-12,1400672,0,0.0
강진군,강진군,12780,KR-12,2137436,0,0.0
