BASE_DATE,SIDO_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,_YEAR
201801,전국,전체,12155117,0,2018
201802,전국,전체,11169462,0,2018
201803,전국,전체,13426214,0,2018
201804,전국,전체,14803895,0,2018
201805,전국,전체,17255956,0,2018
201806,전국,전체,15941140,0,2018
201807,전국,전체,17250482,0,2018
201808,전국,전체,19969559,0,2018
201809,전국,전체,17447318,0,2018
201810,전국,전체,18313872,0,2018
201811,전국,전체,15907019,0,2018
201812,전국,전체,17092297,0,2018
201801,전국,기타관광,1711268,0,2018
201801,전국,쇼핑,2111869,0,2018
201801,전국,숙박,1172337,0,2018
201801,전국,음식,3732027,0,2018
201801,전국,문화관광,1728410,0,2018
201801,전국,역사관광,397258,0,2018
201801,전국,자연관광,712692,0,2018
201801,전국,체험관광,117008,0,2018
201801,전국,레저스포츠,472248,0,2018
201802,전국,기타관광,1654361,0,2018
201802,전국,쇼핑,2068616,0,2018
201802,전국,숙박,1013697,0,2018
201802,전국,음식,3345470,0,2018
201802,전국,문화관광,1524508,0,2018
201802,전국,역사관광,384250,0,2018
201802,전국,자연관광,604435,0,2018
201802,전국,체험관광,106116,0,2018
201802,전국,레저스포츠,468009,0,2018
201803,전국,기타관광,1760311,0,2018
201803,전국,쇼핑,2309577,0,2018
201803,전국,숙박,1075908,0,2018
201803,전국,음식,4076138,0,2018
201803,전국,문화관광,1994190,0,2018
201803,전국,역사관광,490637,0,2018
201803,전국,자연관광,839033,0,2018
201803,전국,체험관광,114620,0,2018
201803,전국,레저스포츠,765800,0,2018
201804,전국,기타관광,1935667,0,2018
201804,전국,쇼핑,2224479,0,2018
201804,전국,숙박,1233119,0,2018
201804,전국,음식,4367210,0,2018
201804,전국,문화관광,2359729,0,2018
201804,전국,역사관광,624401,0,2018
201804,전국,자연관광,992978,0,2018
201804,전국,체험관광,106472,0,2018
201804,전국,레저스포츠,959840,0,2018
201805,전국,기타관광,2155786,0,2018
201805,전국,쇼핑,2445098,0,2018
201805,전국,숙박,1450469,0,2018
201805,전국,음식,5138371,0,2018
201805,전국,문화관광,2803165,0,2018
201805,전국,역사관광,782312,0,2018
201805,전국,자연관광,1247089,0,2018
201805,전국,체험관광,128452,0,2018
201805,전국,레저스포츠,1105214,0,2018
201806,전국,기타관광,1939888,0,2018
201806,전국,쇼핑,2261629,0,2018
201806,전국,숙박,1443192,0,2018
201806,전국,음식,4837686,0,2018
201806,전국,문화관광,2467325,0,2018
201806,전국,역사관광,536255,0,2018
201806,전국,자연관광,1228137,0,2018
201806,전국,체험관광,113065,0,2018
201806,전국,레저스포츠,1113963,0,2018
201807,전국,기타관광,1915135,0,2018
201807,전국,쇼핑,2408348,0,2018
201807,전국,숙박,1718237,0,2018
201807,전국,음식,5650156,0,2018
201807,전국,문화관광,2461544,0,2018
201807,전국,역사관광,492110,0,2018
201807,전국,자연관광,1506479,0,2018
201807,전국,체험관광,111588,0,2018
201807,전국,레저스포츠,986885,0,2018
201808,전국,기타관광,2176947,0,2018
201808,전국,쇼핑,2563593,0,2018
201808,전국,숙박,2102426,0,2018
201808,전국,음식,6374658,0,2018
201808,전국,문화관광,3075965,0,2018
201808,전국,역사관광,606453,0,2018
201808,전국,자연관광,1959238,0,2018
201808,전국,체험관광,136716,0,2018
201808,전국,레저스포츠,973563,0,2018
201809,전국,기타관광,2249789,0,2018
201809,전국,쇼핑,2678401,0,2018
201809,전국,숙박,1451485,0,2018
201809,전국,음식,5103375,0,2018
201809,전국,문화관광,2714357,0,2018
201809,전국,역사관광,699599,0,2018
201809,전국,자연관광,1319710,0,2018
201809,전국,체험관광,142391,0,2018
201809,전국,레저스포츠,1088211,0,2018
201810,전국,기타관광,2281971,0,2018
201810,전국,쇼핑,2705339,0,2018
201810,전국,숙박,1621123,0,2018
201810,전국,음식,5276440,0,2018
201810,전국,문화관광,3011091,0,2018
201810,전국,역사관광,820755,0,2018
201810,전국,자연관광,1262781,0,2018
201810,전국,체험관광,151042,0,2018
201810,전국,레저스포츠,1183330,0,2018
201811,전국,기타관광,2060536,0,2018
201811,전국,쇼핑,2606435,0,2018
201811,전국,숙박,1475495,0,2018
201811,전국,음식,4844844,0,2018
201811,전국,문화관광,2287762,0,2018
201811,전국,역사관광,635445,0,2018
201811,전국,자연관광,919577,0,2018
201811,전국,체험관광,107676,0,2018
201811,전국,레저스포츠,969249,0,2018
201812,전국,기타관광,2038827,0,2018
201812,전국,문화관광,2290040,0,2018
201812,전국,쇼핑,3062764,0,2018
201812,전국,숙박,1698639,0,2018
201812,전국,음식,5964946,0,2018
201812,전국,역사관광,473702,0,2018
201812,전국,자연관광,814758,0,2018
201812,전국,체험관광,141180,0,2018
201812,전국,레저스포츠,607441,0,2018
201901,전국,전체,15519276,0,2019
201902,전국,전체,15792715,0,2019
201903,전국,전체,19032264,0,2019
201904,전국,전체,18676275,0,2019
201905,전국,전체,23445128,0,2019
201906,전국,전체,23462862,0,2019
201907,전국,전체,24099571,0,2019
201908,전국,전체,31892853,0,2019
201909,전국,전체,23775143,0,2019
201910,전국,전체,28809514,0,2019
201911,전국,전체,26012285,0,2019
201912,전국,전체,25891944,0,2019
201901,전국,기타관광,1973024,0,2019
201901,전국,쇼핑,2673731,0,2019
201901,전국,숙박,1432163,0,2019
201901,전국,음식,5315805,0,2019
201901,전국,문화관광,2080792,0,2019
201901,전국,역사관광,486169,0,2019
201901,전국,자연관광,838625,0,2019
201901,전국,체험관광,137723,0,2019
201901,전국,레저스포츠,581244,0,2019
201902,전국,기타관광,2068952,0,2019
201902,전국,쇼핑,2682800,0,2019
201902,전국,숙박,1381496,0,2019
201902,전국,음식,5218274,0,2019
201902,전국,문화관광,2247464,0,2019
201902,전국,역사관광,567979,0,2019
201902,전국,자연관광,863899,0,2019
201902,전국,체험관광,140987,0,2019
201902,전국,레저스포츠,620864,0,2019
201903,전국,기타관광,2315319,0,2019
201903,전국,쇼핑,3107505,0,2019
201903,전국,숙박,1514815,0,2019
201903,전국,음식,6402726,0,2019
201903,전국,문화관광,2743565,0,2019
201903,전국,역사관광,696283,0,2019
201903,전국,자연관광,1090203,0,2019
201903,전국,체험관광,153701,0,2019
201903,전국,레저스포츠,1008147,0,2019
201904,전국,기타관광,2342078,0,2019
201904,전국,쇼핑,2725453,0,2019
201904,전국,숙박,1556547,0,2019
201904,전국,음식,5898616,0,2019
201904,전국,문화관광,2993529,0,2019
201904,전국,역사관광,763103,0,2019
201904,전국,자연관광,1108805,0,2019
201904,전국,체험관광,120557,0,2019
201904,전국,레저스포츠,1167587,0,2019
201905,전국,기타관광,2803983,0,2019
201905,전국,쇼핑,3230909,0,2019
201905,전국,숙박,2217994,0,2019
201905,전국,음식,7376179,0,2019
201905,전국,문화관광,3667921,0,2019
201905,전국,역사관광,987759,0,2019
201905,전국,자연관광,1524707,0,2019
201905,전국,체험관광,148626,0,2019
201905,전국,레저스포츠,1487050,0,2019
201906,전국,기타관광,2741488,0,2019
201906,전국,쇼핑,3142716,0,2019
201906,전국,숙박,2421997,0,2019
201906,전국,음식,7550952,0,2019
201906,전국,문화관광,3627273,0,2019
201906,전국,역사관광,777165,0,2019
201906,전국,자연관광,1562126,0,2019
201906,전국,체험관광,149168,0,2019
201906,전국,레저스포츠,1489977,0,2019
201907,전국,기타관광,2741528,0,2019
201907,전국,쇼핑,3215492,0,2019
201907,전국,숙박,2718802,0,2019
201907,전국,음식,8186414,0,2019
201907,전국,문화관광,3317557,0,2019
201907,전국,역사관광,693028,0,2019
201907,전국,자연관광,1688731,0,2019
201907,전국,체험관광,144600,0,2019
201907,전국,레저스포츠,1393419,0,2019
201908,전국,기타관광,3498059,0,2019
201908,전국,문화관광,4465543,0,2019
201908,전국,쇼핑,3821863,0,2019
201908,전국,숙박,3898392,0,2019
201908,전국,음식,10543008,0,2019
201908,전국,역사관광,992558,0,2019
201908,전국,자연관광,2823657,0,2019
201908,전국,체험관광,214704,0,2019
201908,전국,레저스포츠,1635069,0,2019
201909,전국,기타관광,3092126,0,2019
201909,전국,쇼핑,3691164,0,2019
201909,전국,숙박,2253478,0,2019
201909,전국,음식,7730656,0,2019
201909,전국,문화관광,3229098,0,2019
201909,전국,역사관광,808927,0,2019
201909,전국,자연관광,1442023,0,2019
201909,전국,체험관광,161843,0,2019
201909,전국,레저스포츠,1365828,0,2019
201910,전국,기타관광,3566613,0,2019
201910,전국,문화관광,4348583,0,2019
201910,전국,쇼핑,3964299,0,2019
201910,전국,숙박,2931802,0,2019
201910,전국,음식,9135111,0,2019
201910,전국,역사관광,1173367,0,2019
201910,전국,자연관광,1755611,0,2019
201910,전국,체험관광,196403,0,2019
201910,전국,레저스포츠,1737725,0,2019
201911,전국,기타관광,3330013,0,2019
201911,전국,문화관광,3380227,0,2019
201911,전국,쇼핑,3978272,0,2019
201911,전국,숙박,2707598,0,2019
201911,전국,음식,8660414,0,2019
201911,전국,역사관광,989609,0,2019
201911,전국,자연관광,1338629,0,2019
201911,전국,체험관광,167934,0,2019
201911,전국,레저스포츠,1459589,0,2019
201912,전국,기타관광,3089732,0,2019
