BASE_DATE,SIDO_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT
201807,전국,전체,17250482,0
201811,전국,전체,15907019,0
201903,전국,전체,19032264,0
201906,전국,전체,23462862,0
201908,전국,전체,31892853,0
201912,전국,전체,25891944,0
202002,전국,전체,17114900,0
202005,전국,전체,29343742,0
202006,전국,전체,27153989,0
202007,전국,전체,29921632,0
202008,전국,전체,33141340,0
202009,전국,전체,26068882,0
202011,전국,전체,25757908,0
202012,전국,전체,20512546,0
202102,전국,전체,25978251,0
202103,전국,전체,27242507,0
202104,전국,전체,30120707,0
202105,전국,전체,35194571,0
202106,전국,전체,32725153,0
202109,전국,전체,33688524,0
202202,전국,전체,26301883,0
202205,전국,전체,42946999,0
202209,전국,전체,38294482,0
202303,전국,전체,37267392,0
202304,전국,전체,38289810,0
202306,전국,전체,39293984,0
202307,전국,전체,40646135,0
202308,전국,전체,44659707,0
202309,전국,전체,42506622,0
202310,전국,전체,45660728,0
202311,전국,전체,36889491,0
202312,전국,전체,38842726,0
202401,전국,전체,33775060,0
202404,전국,전체,40388013,0
202406,전국,전체,45842350,0
202408,전국,전체,54684556,0
202410,전국,전체,48397388,0
202412,전국,전체,36570114,0
202503,전국,전체,36952552,0
202504,전국,전체,37386066,0
202507,전국,전체,41341751,0
202509,전국,전체,37099346,0
201809,전국,전체,17447318,0
201901,전국,전체,15519276,0
201904,전국,전체,18676275,0
201911,전국,전체,26012285,0
202003,전국,전체,18147054,0
202010,전국,전체,34830044,0
202108,전국,전체,36351292,0
202203,전국,전체,27564319,0
202204,전국,전체,37605617,0
202206,전국,전체,40486248,0
202207,전국,전체,43401298,0
202211,전국,전체,36891806,0
202508,전국,전체,46897672,0
202511,전국,전체,43060739,0
202601,전국,전체,33629089,0
202602,전국,전체,33454029,0
201810,전국,전체,18313872,0
202001,전국,전체,23655683,0
202004,전국,전체,22492737,0
202110,전국,전체,39857328,0
202111,전국,전체,34223595,0
202112,전국,전체,29002600,0
202212,전국,전체,35562692,0
202302,전국,전체,34007232,0
202407,전국,전체,49171271,0
202409,전국,전체,46922265,0
202501,전국,전체,34369650,0
202603,전국,전체,34707007,0
201801,전국,전체,12155117,0
201802,전국,전체,11169462,0
201803,전국,전체,13426214,0
201808,전국,전체,19969559,0
201905,전국,전체,23445128,0
201910,전국,전체,28809514,0
202201,전국,전체,25996594,0
202208,전국,전체,46240568,0
202301,전국,전체,33286877,0
202305,전국,전체,40399065,0
202403,전국,전체,40011069,0
202512,전국,전체,36015294,0
201804,전국,전체,14803895,0
201805,전국,전체,17255956,0
201907,전국,전체,24099571,0
202101,전국,전체,19668114,0
202107,전국,전체,33518983,0
202402,전국,전체,33870993,0
202405,전국,전체,46248820,0
202411,전국,전체,39599844,0
202502,전국,전체,30100923,0
202505,전국,전체,45095647,0
202510,전국,전체,68358813,0
201806,전국,전체,15941140,0
201909,전국,전체,23775143,0
202210,전국,전체,46213078,0
201812,전국,전체,17092297,0
201902,전국,전체,15792715,0
202506,전국,전체,40426087,0
202604,전국,전체,39201570,0
202605,전국,전체,47171584,0
202606,전국,전체,37995344,0
202607,전국,전체,41976477,0
202608,전국,전체,47145235,0
201807,전국,기타관광,1915135,0
201807,전국,쇼핑,2408348,0
201807,전국,숙박,1718237,0
201807,전국,음식,5650156,0
201807,전국,문화관광,2461544,0
201807,전국,역사관광,492110,0
201807,전국,자연관광,1506479,0
201807,전국,체험관광,111588,0
201807,전국,레저스포츠,986885,0
201811,전국,기타관광,2060536,0
201811,전국,쇼핑,2606435,0
201811,전국,숙박,1475495,0
201811,전국,음식,4844844,0
201811,전국,문화관광,2287762,0
201811,전국,역사관광,635445,0
201811,전국,자연관광,919577,0
201811,전국,체험관광,107676,0
201811,전국,레저스포츠,969249,0
201903,전국,기타관광,2315319,0
201903,전국,쇼핑,3107505,0
201903,전국,숙박,1514815,0
201903,전국,음식,6402726,0
201903,전국,문화관광,2743565,0
201903,전국,역사관광,696283,0
201903,전국,자연관광,1090203,0
201903,전국,체험관광,153701,0
201903,전국,레저스포츠,1008147,0
201906,전국,기타관광,2741488,0
201906,전국,쇼핑,3142716,0
201906,전국,숙박,2421997,0
201906,전국,음식,7550952,0
201906,전국,문화관광,3627273,0
201906,전국,역사관광,777165,0
201906,전국,자연관광,1562126,0
201906,전국,체험관광,149168,0
201906,전국,레저스포츠,1489977,0
201908,전국,기타관광,3498059,0
201908,전국,문화관광,4465543,0
201908,전국,쇼핑,3821863,0
201908,전국,숙박,3898392,0
201908,전국,음식,10543008,0
201908,전국,역사관광,992558,0
201908,전국,자연관광,2823657,0
201908,전국,체험관광,214704,0
201908,전국,레저스포츠,1635069,0
201912,전국,기타관광,3089732,0
201912,전국,쇼핑,4141840,0
201912,전국,숙박,2791100,0
201912,전국,음식,9887937,0
201912,전국,문화관광,3108806,0
201912,전국,역사관광,664409,0
201912,전국,자연관광,1096056,0
201912,전국,체험관광,187934,0
201912,전국,레저스포츠,924130,0
202002,전국,기타관광,2054749,0
202002,전국,문화관광,1762580,0
202002,전국,쇼핑,2638553,0
202002,전국,숙박,1676955,0
202002,전국,음식,6674257,0
202002,전국,역사관광,493632,0
202002,전국,자연관광,906560,0
202002,전국,체험관광,97357,0
202002,전국,레저스포츠,810257,0
202005,전국,기타관광,2862662,0
202005,전국,문화관광,3178836,0
202005,전국,쇼핑,4090003,0
202005,전국,숙박,2559582,0
202005,전국,음식,11415582,0
202005,전국,역사관광,1046263,0
202005,전국,자연관광,2215675,0
202005,전국,체험관광,155027,0
202005,전국,레저스포츠,1820112,0
202006,전국,기타관광,2628409,0
202006,전국,문화관광,2729891,0
202006,전국,쇼핑,3685440,0
202006,전국,숙박,2698507,0
202006,전국,음식,10664791,0
202006,전국,역사관광,782558,0
202006,전국,자연관광,2005983,0
202006,전국,체험관광,132349,0
202006,전국,레저스포츠,1826061,0
202007,전국,기타관광,2799679,0
202007,전국,문화관광,3066739,0
202007,전국,쇼핑,3847524,0
202007,전국,숙박,3259438,0
202007,전국,음식,11926650,0
202007,전국,역사관광,821665,0
202007,전국,자연관광,2239433,0
202007,전국,체험관광,142938,0
202007,전국,레저스포츠,1817566,0
202008,전국,기타관광,3157956,0
202008,전국,쇼핑,3966631,0
202008,전국,숙박,4270999,0
202008,전국,음식,12545384,0
202008,전국,문화관광,3260955,0
202008,전국,역사관광,1006851,0
202008,전국,자연관광,2993070,0
202008,전국,체험관광,153430,0
202008,전국,레저스포츠,1786064,0
202009,전국,기타관광,2602515,0
202009,전국,문화관광,2751919,0
202009,전국,쇼핑,3903986,0
202009,전국,숙박,2586904,0
202009,전국,음식,9340051,0
202009,전국,역사관광,858687,0
202009,전국,자연관광,2100102,0
202009,전국,체험관광,119293,0
202009,전국,레저스포츠,1805425,0
202011,전국,기타관광,2814890,0
202011,전국,문화관광,2826296,0
202011,전국,쇼핑,3977393,0
202011,전국,숙박,2747199,0
202011,전국,음식,9143262,0
202011,전국,역사관광,983300,0
202011,전국,자연관광,1537632,0
202011,전국,체험관광,116372,0
202011,전국,레저스포츠,1611564,0
202012,전국,기타관광,2186195,0
202012,전국,문화관광,1973406,0
202012,전국,쇼핑,3725151,0
202012,전국,숙박,2283204,0
202012,전국,음식,7277829,0
202012,전국,역사관광,633406,0
202012,전국,자연관광,1393100,0
202012,전국,체험관광,80668,0
202012,전국,레저스포츠,959587,0
202102,전국,기타관광,2628018,0
202102,전국,문화관광,2760091,0
202102,전국,쇼핑,4211766,0
202102,전국,숙박,2595284,0
202102,전국,음식,9803881,0
202102,전국,역사관광,946883,0
202102,전국,자연관광,1729823,0
202102,전국,체험관광,126308,0
202102,전국,레저스포츠,1176197,0
202103,전국,기타관광,2734744,0
202103,전국,쇼핑,4405143,0
202103,전국,숙박,2411994,0
202103,전국,음식,10573743,0
202103,전국,문화관광,2951526,0
202103,전국,역사관광,877051,0
202103,전국,자연관광,1535214,0
202103,전국,체험관광,128305,0
202103,전국,레저스포츠,1624787,0
202104,전국,기타관광,2990429,0
202104,전국,문화관광,3607860,0
202104,전국,쇼핑,4262882,0
202104,전국,숙박,2866458,0
202104,전국,음식,11242001,0
202104,전국,역사관광,1093380,0
202104,전국,자연관광,1933276,0
202104,전국,체험관광,135336,0
202104,전국,레저스포츠,1989085,0
202105,전국,기타관광,3340604,0
202105,전국,문화관광,4289401,0
202105,전국,쇼핑,4795443,0
202105,전국,숙박,3424676,0
202105,전국,음식,13334419,0
202105,전국,역사관광,1289105,0
202105,전국,자연관광,2349689,0
202105,전국,체험관광,160267,0
