AREA_NM,SIDO_NM,PTL_SIDO_CD,SRCH_CNT,SPPY_SRCH_CNT,GROW_RATE_SPPY_SRCH_CNT,_YEAR
서울특별시,서울특별시,KR-11,33102441,0,0.0,2018
전남광주통합특별시,전남광주통합특별시,KR-12,9188297,0,0.0,2018
부산광역시,부산광역시,KR-26,10091197,0,0.0,2018
대구광역시,대구광역시,KR-27,4715327,0,0.0,2018
인천광역시,인천광역시,KR-28,12571808,0,0.0,2018
대전광역시,대전광역시,KR-30,3537293,0,0.0,2018
울산광역시,울산광역시,KR-31,2397584,0,0.0,2018
세종특별자치시,세종특별자치시,KR-36,1078700,0,0.0,2018
경기도,경기도,KR-41,52585490,0,0.0,2018
충청북도,충청북도,KR-43,5487149,0,0.0,2018
충청남도,충청남도,KR-44,9396548,0,0.0,2018
경상북도,경상북도,KR-47,8187696,0,0.0,2018
경상남도,경상남도,KR-48,8880757,0,0.0,2018
제주특별자치도,제주특별자치도,KR-50,8053232,0,0.0,2018
강원특별자치도,강원특별자치도,KR-51,15871510,0,0.0,2018
전북특별자치도,전북특별자치도,KR-52,5587302,0,0.0,2018
서울특별시,서울특별시,KR-11,46010088,0,0.0,2019
전남광주통합특별시,전남광주통합특별시,KR-12,13714980,0,0.0,2019
부산광역시,부산광역시,KR-26,14744428,0,0.0,2019
대구광역시,대구광역시,KR-27,7149158,0,0.0,2019
인천광역시,인천광역시,KR-28,19091486,0,0.0,2019
대전광역시,대전광역시,KR-30,5212052,0,0.0,2019
울산광역시,울산광역시,KR-31,3677143,0,0.0,2019
세종특별자치시,세종특별자치시,KR-36,1637805,0,0.0,2019
경기도,경기도,KR-41,76278576,0,0.0,2019
충청북도,충청북도,KR-43,8189002,0,0.0,2019
충청남도,충청남도,KR-44,13852098,0,0.0,2019
경상북도,경상북도,KR-47,12172548,0,0.0,2019
경상남도,경상남도,KR-48,13203965,0,0.0,2019
제주특별자치도,제주특별자치도,KR-50,11718744,0,0.0,2019
강원특별자치도,강원특별자치도,KR-51,21765462,0,0.0,2019
전북특별자치도,전북특별자치도,KR-52,7992295,0,0.0,2019
서울특별시,서울특별시,KR-11,46299110,0,0.0,2020
전남광주통합특별시,전남광주통합특별시,KR-12,15528298,0,0.0,2020
부산광역시,부산광역시,KR-26,15650991,0,0.0,2020
대구광역시,대구광역시,KR-27,7466582,0,0.0,2020
인천광역시,인천광역시,KR-28,19619840,0,0.0,2020
대전광역시,대전광역시,KR-30,5611618,0,0.0,2020
울산광역시,울산광역시,KR-31,4192828,0,0.0,2020
세종특별자치시,세종특별자치시,KR-36,1958467,0,0.0,2020
경기도,경기도,KR-41,89849809,0,0.0,2020
충청북도,충청북도,KR-43,9225772,0,0.0,2020
충청남도,충청남도,KR-44,15480306,0,0.0,2020
경상북도,경상북도,KR-47,13095789,0,0.0,2020
경상남도,경상남도,KR-48,15548967,0,0.0,2020
제주특별자치도,제주특별자치도,KR-50,14000514,0,0.0,2020
강원특별자치도,강원특별자치도,KR-51,25880521,0,0.0,2020
전북특별자치도,전북특별자치도,KR-52,8731045,0,0.0,2020
서울특별시,서울특별시,KR-11,56509990,0,0.0,2021
전남광주통합특별시,전남광주통합특별시,KR-12,18160445,0,0.0,2021
부산광역시,부산광역시,KR-26,18863671,0,0.0,2021
대구광역시,대구광역시,KR-27,9794361,0,0.0,2021
인천광역시,인천광역시,KR-28,22774411,0,0.0,2021
대전광역시,대전광역시,KR-30,7268576,0,0.0,2021
울산광역시,울산광역시,KR-31,5116320,0,0.0,2021
세종특별자치시,세종특별자치시,KR-36,2451015,0,0.0,2021
경기도,경기도,KR-41,111095609,0,0.0,2021
