DPTR_REGN_NM,DPTR_REGN_DTL_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,_YEAR
가평군,기타관광,기타관광,205633,0,1448230,1203.0,0.8,205633,453.0,14.2,2018
가평군,레저스포츠,레저스포츠,259389,0,1448230,1203.0,0.8,259389,509.0,17.9,2018
가평군,문화관광,문화관광,240322,0,1448230,1203.0,0.8,240322,490.0,16.6,2018
가평군,쇼핑,쇼핑,2090,0,1448230,1203.0,0.8,2090,46.0,0.1,2018
가평군,숙박,숙박,299655,0,1448230,1203.0,0.8,299655,547.0,20.7,2018
가평군,역사관광,역사관광,6078,0,1448230,1203.0,0.8,6078,78.0,0.4,2018
가평군,음식,음식,299598,0,1448230,1203.0,0.8,299598,547.0,20.7,2018
가평군,자연관광,자연관광,135064,0,1448230,1203.0,0.8,135064,368.0,9.3,2018
가평군,체험관광,체험관광,401,0,1448230,1203.0,0.8,401,20.0,0.0,2018
강남구,기타관광,기타관광,334906,0,4919299,2218.0,2.6,334906,579.0,6.8,2018
강남구,레저스포츠,레저스포츠,20084,0,4919299,2218.0,2.6,20084,142.0,0.4,2018
강남구,문화관광,문화관광,1090493,0,4919299,2218.0,2.6,1090493,1044.0,22.2,2018
강남구,쇼핑,쇼핑,600735,0,4919299,2218.0,2.6,600735,775.0,12.2,2018
강남구,숙박,숙박,739692,0,4919299,2218.0,2.6,739692,860.0,15.0,2018
강남구,역사관광,역사관광,69390,0,4919299,2218.0,2.6,69390,263.0,1.4,2018
강남구,음식,음식,2063996,0,4919299,2218.0,2.6,2063996,1437.0,42.0,2018
강남구,체험관광,체험관광,3,0,4919299,2218.0,2.6,3,2.0,0.0,2018
강동구,기타관광,기타관광,3419,0,605819,778.0,0.3,3419,58.0,0.6,2018
강동구,레저스포츠,레저스포츠,2682,0,605819,778.0,0.3,2682,52.0,0.4,2018
강동구,문화관광,문화관광,142387,0,605819,778.0,0.3,142387,377.0,23.5,2018
강동구,쇼핑,쇼핑,178338,0,605819,778.0,0.3,178338,422.0,29.4,2018
강동구,숙박,숙박,19702,0,605819,778.0,0.3,19702,140.0,3.3,2018
강동구,역사관광,역사관광,19147,0,605819,778.0,0.3,19147,138.0,3.2,2018
강동구,음식,음식,239735,0,605819,778.0,0.3,239735,490.0,39.6,2018
강동구,자연관광,자연관광,9,0,605819,778.0,0.3,9,3.0,0.0,2018
강동구,체험관광,체험관광,400,0,605819,778.0,0.3,400,20.0,0.1,2018
