DPTR_REGN_NM,DPTR_REGN_DTL_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
가평군,기타관광,기타관광,2441507,0,26104441,5109.0,0.8,2441507,1563.0,9.4
가평군,레저스포츠,레저스포츠,3988539,0,26104441,5109.0,0.8,3988539,1997.0,15.3
가평군,문화관광,문화관광,2738519,0,26104441,5109.0,0.8,2738519,1655.0,10.5
가평군,쇼핑,쇼핑,66754,0,26104441,5109.0,0.8,66754,258.0,0.3
가평군,숙박,숙박,6620062,0,26104441,5109.0,0.8,6620062,2573.0,25.4
가평군,역사관광,역사관광,121881,0,26104441,5109.0,0.8,121881,349.0,0.5
가평군,음식,음식,8197540,0,26104441,5109.0,0.8,8197540,2863.0,31.4
가평군,자연관광,자연관광,1911304,0,26104441,5109.0,0.8,1911304,1382.0,7.3
가평군,체험관광,체험관광,18335,0,26104441,5109.0,0.8,18335,135.0,0.1
강남구,기타관광,기타관광,6610205,0,75058519,8664.0,2.2,6610205,2571.0,8.8
강남구,레저스포츠,레저스포츠,405859,0,75058519,8664.0,2.2,405859,637.0,0.5
강남구,문화관광,문화관광,12175436,0,75058519,8664.0,2.2,12175436,3489.0,16.2
강남구,쇼핑,쇼핑,8808970,0,75058519,8664.0,2.2,8808970,2968.0,11.7
강남구,숙박,숙박,10769297,0,75058519,8664.0,2.2,10769297,3282.0,14.3
강남구,역사관광,역사관광,979674,0,75058519,8664.0,2.2,979674,990.0,1.3
강남구,음식,음식,35232109,0,75058519,8664.0,2.2,35232109,5936.0,46.9
강남구,자연관광,자연관광,432,0,75058519,8664.0,2.2,432,21.0,0.0
강남구,체험관광,체험관광,76537,0,75058519,8664.0,2.2,76537,277.0,0.1
강동구,기타관광,기타관광,21777,0,11354293,3370.0,0.3,21777,148.0,0.2
강동구,레저스포츠,레저스포츠,135024,0,11354293,3370.0,0.3,135024,367.0,1.2
강동구,문화관광,문화관광,1694719,0,11354293,3370.0,0.3,1694719,1302.0,14.9
강동구,쇼핑,쇼핑,2408672,0,11354293,3370.0,0.3,2408672,1552.0,21.2
강동구,숙박,숙박,449137,0,11354293,3370.0,0.3,449137,670.0,4.0
강동구,역사관광,역사관광,220028,0,11354293,3370.0,0.3,220028,469.0,1.9
강동구,음식,음식,6402827,0,11354293,3370.0,0.3,6402827,2530.0,56.4
강동구,자연관광,자연관광,313,0,11354293,3370.0,0.3,313,18.0,0.0
강동구,체험관광,체험관광,21796,0,11354293,3370.0,0.3,21796,148.0,0.2
강릉시,기타관광,기타관광,2604459,0,46497286,6819.0,1.4,2604459,1614.0,5.6
강릉시,레저스포츠,레저스포츠,1077683,0,46497286,6819.0,1.4,1077683,1038.0,2.3
강릉시,문화관광,문화관광,3105596,0,46497286,6819.0,1.4,3105596,1762.0,6.7
강릉시,쇼핑,쇼핑,2844034,0,46497286,6819.0,1.4,2844034,1686.0,6.1
강릉시,숙박,숙박,8349602,0,46497286,6819.0,1.4,8349602,2890.0,18.0
강릉시,역사관광,역사관광,1344853,0,46497286,6819.0,1.4,1344853,1160.0,2.9
강릉시,음식,음식,18538413,0,46497286,6819.0,1.4,18538413,4306.0,39.9
강릉시,자연관광,자연관광,8541870,0,46497286,6819.0,1.4,8541870,2923.0,18.4
강릉시,체험관광,체험관광,90776,0,46497286,6819.0,1.4,90776,301.0,0.2
강북구,기타관광,기타관광,101282,0,7490074,2737.0,0.2,101282,318.0,1.4
강북구,레저스포츠,레저스포츠,56515,0,7490074,2737.0,0.2,56515,238.0,0.8
강북구,문화관광,문화관광,1412948,0,7490074,2737.0,0.2,1412948,1189.0,18.9
강북구,쇼핑,쇼핑,1413974,0,7490074,2737.0,0.2,1413974,1189.0,18.9
강북구,숙박,숙박,619545,0,7490074,2737.0,0.2,619545,787.0,8.3
강북구,역사관광,역사관광,937341,0,7490074,2737.0,0.2,937341,968.0,12.5
강북구,음식,음식,2902883,0,7490074,2737.0,0.2,2902883,1704.0,38.8
강북구,자연관광,자연관광,30984,0,7490074,2737.0,0.2,30984,176.0,0.4
강북구,체험관광,체험관광,14602,0,7490074,2737.0,0.2,14602,121.0,0.2
강서구,기타관광,기타관광,23831342,0,61443603,7839.0,1.8,23831342,4882.0,38.8
강서구,레저스포츠,레저스포츠,1425260,0,61443603,7839.0,1.8,1425260,1194.0,2.3
강서구,문화관광,문화관광,5609011,0,61443603,7839.0,1.8,5609011,2368.0,9.1
강서구,쇼핑,쇼핑,9037195,0,61443603,7839.0,1.8,9037195,3006.0,14.7
강서구,숙박,숙박,3327428,0,61443603,7839.0,1.8,3327428,1824.0,5.4
강서구,역사관광,역사관광,268606,0,61443603,7839.0,1.8,268606,518.0,0.4
강서구,음식,음식,16919567,0,61443603,7839.0,1.8,16919567,4113.0,27.5
강서구,자연관광,자연관광,936575,0,61443603,7839.0,1.8,936575,968.0,1.5
강서구,체험관광,체험관광,88619,0,61443603,7839.0,1.8,88619,298.0,0.1
강진군,기타관광,기타관광,328964,0,2137436,1462.0,0.1,328964,574.0,15.4
강진군,레저스포츠,레저스포츠,138920,0,2137436,1462.0,0.1,138920,373.0,6.5
강진군,문화관광,문화관광,280214,0,2137436,1462.0,0.1,280214,529.0,13.1
강진군,쇼핑,쇼핑,62512,0,2137436,1462.0,0.1,62512,250.0,2.9
강진군,숙박,숙박,170207,0,2137436,1462.0,0.1,170207,413.0,8.0
강진군,역사관광,역사관광,363258,0,2137436,1462.0,0.1,363258,603.0,17.0
강진군,음식,음식,515524,0,2137436,1462.0,0.1,515524,718.0,24.1
강진군,자연관광,자연관광,264665,0,2137436,1462.0,0.1,264665,514.0,12.4
강진군,체험관광,체험관광,13172,0,2137436,1462.0,0.1,13172,115.0,0.6
강화군,기타관광,기타관광,1585495,0,23089712,4805.0,0.7,1585495,1259.0,6.9
강화군,레저스포츠,레저스포츠,1333012,0,23089712,4805.0,0.7,1333012,1155.0,5.8
강화군,문화관광,문화관광,1164168,0,23089712,4805.0,0.7,1164168,1079.0,5.0
강화군,쇼핑,쇼핑,2172921,0,23089712,4805.0,0.7,2172921,1474.0,9.4
강화군,숙박,숙박,2836795,0,23089712,4805.0,0.7,2836795,1684.0,12.3
강화군,역사관광,역사관광,2646085,0,23089712,4805.0,0.7,2646085,1627.0,11.5
강화군,음식,음식,7412567,0,23089712,4805.0,0.7,7412567,2723.0,32.1
강화군,자연관광,자연관광,3552777,0,23089712,4805.0,0.7,3552777,1885.0,15.4
강화군,체험관광,체험관광,385892,0,23089712,4805.0,0.7,385892,621.0,1.7
거제시,기타관광,기타관광,1682429,0,17672221,4204.0,0.5,1682429,1297.0,9.5
거제시,레저스포츠,레저스포츠,610739,0,17672221,4204.0,0.5,610739,781.0,3.5
거제시,문화관광,문화관광,2367772,0,17672221,4204.0,0.5,2367772,1539.0,13.4
거제시,쇼핑,쇼핑,547575,0,17672221,4204.0,0.5,547575,740.0,3.1
거제시,숙박,숙박,3699817,0,17672221,4204.0,0.5,3699817,1923.0,20.9
거제시,역사관광,역사관광,1047101,0,17672221,4204.0,0.5,1047101,1023.0,5.9
거제시,음식,음식,4985208,0,17672221,4204.0,0.5,4985208,2233.0,28.2
거제시,자연관광,자연관광,2610527,0,17672221,4204.0,0.5,2610527,1616.0,14.8
거제시,체험관광,체험관광,121053,0,17672221,4204.0,0.5,121053,348.0,0.7
거창군,기타관광,기타관광,557108,0,2348882,1533.0,0.1,557108,746.0,23.7
거창군,레저스포츠,레저스포츠,200539,0,2348882,1533.0,0.1,200539,448.0,8.5
거창군,문화관광,문화관광,345638,0,2348882,1533.0,0.1,345638,588.0,14.7
거창군,쇼핑,쇼핑,70788,0,2348882,1533.0,0.1,70788,266.0,3.0
거창군,숙박,숙박,199483,0,2348882,1533.0,0.1,199483,447.0,8.5
거창군,역사관광,역사관광,66186,0,2348882,1533.0,0.1,66186,257.0,2.8
거창군,음식,음식,602571,0,2348882,1533.0,0.1,602571,776.0,25.7
거창군,자연관광,자연관광,172028,0,2348882,1533.0,0.1,172028,415.0,7.3
거창군,체험관광,체험관광,134541,0,2348882,1533.0,0.1,134541,367.0,5.7
검단구,기타관광,기타관광,6393,0,186481,432.0,0.0,6393,80.0,3.4
검단구,레저스포츠,레저스포츠,14213,0,186481,432.0,0.0,14213,119.0,7.6
검단구,문화관광,문화관광,26837,0,186481,432.0,0.0,26837,164.0,14.4
검단구,쇼핑,쇼핑,671,0,186481,432.0,0.0,671,26.0,0.4
검단구,숙박,숙박,10512,0,186481,432.0,0.0,10512,103.0,5.6
검단구,역사관광,역사관광,1021,0,186481,432.0,0.0,1021,32.0,0.5
검단구,음식,음식,125573,0,186481,432.0,0.0,125573,354.0,67.3
검단구,자연관광,자연관광,1175,0,186481,432.0,0.0,1175,34.0,0.6
검단구,체험관광,체험관광,86,0,186481,432.0,0.0,86,9.0,0.0
경산시,기타관광,기타관광,792249,0,7691333,2773.0,0.2,792249,890.0,10.3
경산시,레저스포츠,레저스포츠,597300,0,7691333,2773.0,0.2,597300,773.0,7.8
경산시,문화관광,문화관광,640531,0,7691333,2773.0,0.2,640531,800.0,8.3
경산시,쇼핑,쇼핑,417192,0,7691333,2773.0,0.2,417192,646.0,5.4
경산시,숙박,숙박,456289,0,7691333,2773.0,0.2,456289,675.0,5.9
경산시,역사관광,역사관광,432092,0,7691333,2773.0,0.2,432092,657.0,5.6
경산시,음식,음식,4094539,0,7691333,2773.0,0.2,4094539,2023.0,53.2
경산시,자연관광,자연관광,221745,0,7691333,2773.0,0.2,221745,471.0,2.9
경산시,체험관광,체험관광,39396,0,7691333,2773.0,0.2,39396,198.0,0.5
경주시,기타관광,기타관광,3484654,0,43686467,6610.0,1.3,3484654,1867.0,8.0
경주시,레저스포츠,레저스포츠,1965720,0,43686467,6610.0,1.3,1965720,1402.0,4.5
경주시,문화관광,문화관광,5615175,0,43686467,6610.0,1.3,5615175,2370.0,12.9
경주시,쇼핑,쇼핑,797491,0,43686467,6610.0,1.3,797491,893.0,1.8
경주시,숙박,숙박,7814503,0,43686467,6610.0,1.3,7814503,2795.0,17.9
경주시,역사관광,역사관광,7919198,0,43686467,6610.0,1.3,7919198,2814.0,18.1
경주시,음식,음식,14764522,0,43686467,6610.0,1.3,14764522,3842.0,33.8
경주시,자연관광,자연관광,1227736,0,43686467,6610.0,1.3,1227736,1108.0,2.8
경주시,체험관광,체험관광,97468,0,43686467,6610.0,1.3,97468,312.0,0.2
계룡시,기타관광,기타관광,229659,0,1787824,1337.0,0.1,229659,479.0,12.8
계룡시,레저스포츠,레저스포츠,426161,0,1787824,1337.0,0.1,426161,653.0,23.8
계룡시,문화관광,문화관광,75820,0,1787824,1337.0,0.1,75820,275.0,4.2
계룡시,쇼핑,쇼핑,138766,0,1787824,1337.0,0.1,138766,373.0,7.8
계룡시,숙박,숙박,136161,0,1787824,1337.0,0.1,136161,369.0,7.6
계룡시,역사관광,역사관광,24275,0,1787824,1337.0,0.1,24275,156.0,1.4
계룡시,음식,음식,730138,0,1787824,1337.0,0.1,730138,854.0,40.8
계룡시,자연관광,자연관광,25657,0,1787824,1337.0,0.1,25657,160.0,1.4
계룡시,체험관광,체험관광,1187,0,1787824,1337.0,0.1,1187,34.0,0.1
계양구,기타관광,기타관광,148239,0,8452328,2907.0,0.2,148239,385.0,1.8
계양구,레저스포츠,레저스포츠,197480,0,8452328,2907.0,0.2,197480,444.0,2.3
계양구,문화관광,문화관광,1673043,0,8452328,2907.0,0.2,1673043,1293.0,19.8
계양구,쇼핑,쇼핑,574304,0,8452328,2907.0,0.2,574304,758.0,6.8
계양구,숙박,숙박,430628,0,8452328,2907.0,0.2,430628,656.0,5.1
계양구,역사관광,역사관광,40748,0,8452328,2907.0,0.2,40748,202.0,0.5
계양구,음식,음식,4986876,0,8452328,2907.0,0.2,4986876,2233.0,59.0
계양구,자연관광,자연관광,290664,0,8452328,2907.0,0.2,290664,539.0,3.4
계양구,체험관광,체험관광,110346,0,8452328,2907.0,0.2,110346,332.0,1.3
고령군,기타관광,기타관광,141806,0,1331973,1154.0,0.0,141806,377.0,10.6
고령군,레저스포츠,레저스포츠,430388,0,1331973,1154.0,0.0,430388,656.0,32.3
고령군,문화관광,문화관광,242642,0,1331973,1154.0,0.0,242642,493.0,18.2
고령군,쇼핑,쇼핑,78991,0,1331973,1154.0,0.0,78991,281.0,5.9
고령군,숙박,숙박,87244,0,1331973,1154.0,0.0,87244,295.0,6.5
고령군,역사관광,역사관광,26740,0,1331973,1154.0,0.0,26740,164.0,2.0
고령군,음식,음식,275914,0,1331973,1154.0,0.0,275914,525.0,20.7
고령군,자연관광,자연관광,28256,0,1331973,1154.0,0.0,28256,168.0,2.1
고령군,체험관광,체험관광,19992,0,1331973,1154.0,0.0,19992,141.0,1.5
고성군,기타관광,기타관광,833559,0,18513727,4303.0,0.5,833559,913.0,4.5
고성군,레저스포츠,레저스포츠,1090952,0,18513727,4303.0,0.5,1090952,1044.0,5.9
고성군,문화관광,문화관광,1686615,0,18513727,4303.0,0.5,1686615,1299.0,9.1
고성군,쇼핑,쇼핑,245225,0,18513727,4303.0,0.5,245225,495.0,1.3
고성군,숙박,숙박,5576960,0,18513727,4303.0,0.5,5576960,2362.0,30.1
고성군,역사관광,역사관광,948019,0,18513727,4303.0,0.5,948019,974.0,5.1
고성군,음식,음식,4923548,0,18513727,4303.0,0.5,4923548,2219.0,26.6
고성군,자연관광,자연관광,3119491,0,18513727,4303.0,0.5,3119491,1766.0,16.8
고성군,체험관광,체험관광,89358,0,18513727,4303.0,0.5,89358,299.0,0.5
고양시,기타관광,기타관광,3933137,0,90681073,9523.0,2.7,3933137,1983.0,4.3
