DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,_YEAR
강원특별자치도,강릉시,15871510,3984.0,8.3,3144642,1773.0,19.8,2018
강원특별자치도,고성군,15871510,3984.0,8.3,683747,827.0,4.3,2018
강원특별자치도,동해시,15871510,3984.0,8.3,366828,606.0,2.3,2018
강원특별자치도,삼척시,15871510,3984.0,8.3,734041,857.0,4.6,2018
강원특별자치도,속초시,15871510,3984.0,8.3,2578137,1606.0,16.2,2018
강원특별자치도,양구군,15871510,3984.0,8.3,62594,250.0,0.4,2018
강원특별자치도,양양군,15871510,3984.0,8.3,999931,1000.0,6.3,2018
강원특별자치도,영월군,15871510,3984.0,8.3,275489,525.0,1.7,2018
강원특별자치도,원주시,15871510,3984.0,8.3,1346713,1160.0,8.5,2018
강원특별자치도,인제군,15871510,3984.0,8.3,278541,528.0,1.8,2018
강원특별자치도,정선군,15871510,3984.0,8.3,791980,890.0,5.0,2018
강원특별자치도,철원군,15871510,3984.0,8.3,216281,465.0,1.4,2018
강원특별자치도,춘천시,15871510,3984.0,8.3,1651673,1285.0,10.4,2018
강원특별자치도,태백시,15871510,3984.0,8.3,172507,415.0,1.1,2018
강원특별자치도,평창군,15871510,3984.0,8.3,1163189,1079.0,7.3,2018
강원특별자치도,홍천군,15871510,3984.0,8.3,946832,973.0,6.0,2018
강원특별자치도,화천군,15871510,3984.0,8.3,68661,262.0,0.4,2018
강원특별자치도,횡성군,15871510,3984.0,8.3,389724,624.0,2.5,2018
경기도,가평군,52585490,7252.0,27.6,1448230,1203.0,2.8,2018
경기도,고양시,52585490,7252.0,27.6,5620452,2371.0,10.7,2018
경기도,과천시,52585490,7252.0,27.6,683317,827.0,1.3,2018
경기도,광명시,52585490,7252.0,27.6,1046446,1023.0,2.0,2018
경기도,광주시,52585490,7252.0,27.6,1423857,1193.0,2.7,2018
경기도,구리시,52585490,7252.0,27.6,872344,934.0,1.7,2018
경기도,군포시,52585490,7252.0,27.6,250690,501.0,0.5,2018
경기도,김포시,52585490,7252.0,27.6,1596309,1263.0,3.0,2018
경기도,남양주시,52585490,7252.0,27.6,2327678,1526.0,4.4,2018
경기도,동두천시,52585490,7252.0,27.6,163982,405.0,0.3,2018
경기도,부천시,52585490,7252.0,27.6,1697179,1303.0,3.2,2018
경기도,성남시,52585490,7252.0,27.6,3468593,1862.0,6.6,2018
경기도,수원시,52585490,7252.0,27.6,4262623,2065.0,8.1,2018
경기도,시흥시,52585490,7252.0,27.6,1567108,1252.0,3.0,2018
경기도,안산시,52585490,7252.0,27.6,1676172,1295.0,3.2,2018
경기도,안성시,52585490,7252.0,27.6,921990,960.0,1.8,2018
경기도,안양시,52585490,7252.0,27.6,1192121,1092.0,2.3,2018
경기도,양주시,52585490,7252.0,27.6,795478,892.0,1.5,2018
경기도,양평군,52585490,7252.0,27.6,1377558,1174.0,2.6,2018
경기도,여주시,52585490,7252.0,27.6,1293497,1137.0,2.5,2018
경기도,연천군,52585490,7252.0,27.6,307829,555.0,0.6,2018
경기도,오산시,52585490,7252.0,27.6,478347,692.0,0.9,2018
경기도,용인시,52585490,7252.0,27.6,4407024,2099.0,8.4,2018
경기도,의왕시,52585490,7252.0,27.6,571061,756.0,1.1,2018
경기도,의정부시,52585490,7252.0,27.6,910352,954.0,1.7,2018
경기도,이천시,52585490,7252.0,27.6,1541213,1241.0,2.9,2018
경기도,파주시,52585490,7252.0,27.6,3126239,1768.0,5.9,2018
경기도,평택시,52585490,7252.0,27.6,1108778,1053.0,2.1,2018
경기도,포천시,52585490,7252.0,27.6,1383181,1176.0,2.6,2018
경기도,하남시,52585490,7252.0,27.6,2020882,1422.0,3.8,2018
경기도,화성시,52585490,7252.0,27.6,3044960,1745.0,5.8,2018
경상남도,거제시,8880757,2980.0,4.7,987693,994.0,11.1,2018
경상남도,거창군,8880757,2980.0,4.7,70271,265.0,0.8,2018
경상남도,고성군,8880757,2980.0,4.7,135741,368.0,1.5,2018
경상남도,김해시,8880757,2980.0,4.7,1160344,1077.0,13.1,2018
경상남도,남해군,8880757,2980.0,4.7,463184,681.0,5.2,2018
경상남도,밀양시,8880757,2980.0,4.7,311899,558.0,3.5,2018
경상남도,사천시,8880757,2980.0,4.7,430621,656.0,4.8,2018
경상남도,산청군,8880757,2980.0,4.7,98746,314.0,1.1,2018
경상남도,양산시,8880757,2980.0,4.7,850496,922.0,9.6,2018
경상남도,의령군,8880757,2980.0,4.7,65151,255.0,0.7,2018
경상남도,진주시,8880757,2980.0,4.7,616201,785.0,6.9,2018
경상남도,창녕군,8880757,2980.0,4.7,152917,391.0,1.7,2018
경상남도,창원시,8880757,2980.0,4.7,2114395,1454.0,23.8,2018
경상남도,통영시,8880757,2980.0,4.7,889473,943.0,10.0,2018
경상남도,하동군,8880757,2980.0,4.7,194192,441.0,2.2,2018
경상남도,함안군,8880757,2980.0,4.7,107587,328.0,1.2,2018
경상남도,함양군,8880757,2980.0,4.7,79920,283.0,0.9,2018
경상남도,합천군,8880757,2980.0,4.7,151926,390.0,1.7,2018
경상북도,경산시,8187696,2861.0,4.3,280556,530.0,3.4,2018
경상북도,경주시,8187696,2861.0,4.3,2616275,1617.0,32.0,2018
경상북도,고령군,8187696,2861.0,4.3,45250,213.0,0.6,2018
경상북도,구미시,8187696,2861.0,4.3,567600,753.0,6.9,2018
경상북도,김천시,8187696,2861.0,4.3,318481,564.0,3.9,2018
경상북도,문경시,8187696,2861.0,4.3,277580,527.0,3.4,2018
경상북도,봉화군,8187696,2861.0,4.3,67887,261.0,0.8,2018
경상북도,상주시,8187696,2861.0,4.3,142225,377.0,1.7,2018
경상북도,성주군,8187696,2861.0,4.3,56878,238.0,0.7,2018
경상북도,안동시,8187696,2861.0,4.3,430821,656.0,5.3,2018
경상북도,영덕군,8187696,2861.0,4.3,352834,594.0,4.3,2018
경상북도,영양군,8187696,2861.0,4.3,6279,79.0,0.1,2018
경상북도,영주시,8187696,2861.0,4.3,241559,491.0,3.0,2018
경상북도,영천시,8187696,2861.0,4.3,205640,453.0,2.5,2018
경상북도,예천군,8187696,2861.0,4.3,108010,329.0,1.3,2018
경상북도,울릉군,8187696,2861.0,4.3,16667,129.0,0.2,2018
경상북도,울진군,8187696,2861.0,4.3,345822,588.0,4.2,2018
경상북도,의성군,8187696,2861.0,4.3,62974,251.0,0.8,2018
경상북도,청도군,8187696,2861.0,4.3,267444,517.0,3.3,2018
경상북도,청송군,8187696,2861.0,4.3,131181,362.0,1.6,2018
경상북도,칠곡군,8187696,2861.0,4.3,207466,455.0,2.5,2018
경상북도,포항시,8187696,2861.0,4.3,1438267,1199.0,17.6,2018
대구광역시,군위군,4715327,2171.0,2.5,97800,313.0,2.1,2018
대구광역시,남구,4715327,2171.0,2.5,271943,521.0,5.8,2018
대구광역시,달서구,4715327,2171.0,2.5,661947,814.0,14.0,2018
대구광역시,달성군,4715327,2171.0,2.5,395988,629.0,8.4,2018
대구광역시,동구,4715327,2171.0,2.5,1115560,1056.0,23.7,2018
대구광역시,북구,4715327,2171.0,2.5,536697,733.0,11.4,2018
대구광역시,서구,4715327,2171.0,2.5,134143,366.0,2.8,2018
대구광역시,수성구,4715327,2171.0,2.5,878947,938.0,18.6,2018
대구광역시,중구,4715327,2171.0,2.5,622302,789.0,13.2,2018
대전광역시,대덕구,3537293,1881.0,1.9,259533,509.0,7.3,2018
대전광역시,동구,3537293,1881.0,1.9,597952,773.0,16.9,2018
대전광역시,서구,3537293,1881.0,1.9,948924,974.0,26.8,2018
대전광역시,유성구,3537293,1881.0,1.9,1166035,1080.0,33.0,2018
대전광역시,중구,3537293,1881.0,1.9,564849,752.0,16.0,2018
부산광역시,강서구,10091197,3177.0,5.3,899740,949.0,8.9,2018
부산광역시,금정구,10091197,3177.0,5.3,347996,590.0,3.4,2018
부산광역시,기장군,10091197,3177.0,5.3,1877322,1370.0,18.6,2018
부산광역시,남구,10091197,3177.0,5.3,349255,591.0,3.5,2018
부산광역시,동구,10091197,3177.0,5.3,413499,643.0,4.1,2018
부산광역시,동래구,10091197,3177.0,5.3,461681,679.0,4.6,2018
부산광역시,부산진구,10091197,3177.0,5.3,795165,892.0,7.9,2018
부산광역시,북구,10091197,3177.0,5.3,195256,442.0,1.9,2018
부산광역시,사상구,10091197,3177.0,5.3,368370,607.0,3.7,2018
부산광역시,사하구,10091197,3177.0,5.3,359043,599.0,3.6,2018
부산광역시,서구,10091197,3177.0,5.3,221037,470.0,2.2,2018
부산광역시,수영구,10091197,3177.0,5.3,546295,739.0,5.4,2018
부산광역시,연제구,10091197,3177.0,5.3,138970,373.0,1.4,2018
부산광역시,영도구,10091197,3177.0,5.3,282257,531.0,2.8,2018
부산광역시,중구,10091197,3177.0,5.3,557239,746.0,5.5,2018
부산광역시,해운대구,10091197,3177.0,5.3,2278072,1509.0,22.6,2018
서울특별시,강남구,33102441,5753.0,17.4,4919299,2218.0,14.9,2018
서울특별시,강동구,33102441,5753.0,17.4,605819,778.0,1.8,2018
서울특별시,강북구,33102441,5753.0,17.4,428990,655.0,1.3,2018
서울특별시,강서구,33102441,5753.0,17.4,2673596,1635.0,8.1,2018
서울특별시,관악구,33102441,5753.0,17.4,446704,668.0,1.3,2018
서울특별시,광진구,33102441,5753.0,17.4,1381127,1175.0,4.2,2018
서울특별시,구로구,33102441,5753.0,17.4,525038,725.0,1.6,2018
서울특별시,금천구,33102441,5753.0,17.4,469871,685.0,1.4,2018
서울특별시,노원구,33102441,5753.0,17.4,676516,823.0,2.0,2018
서울특별시,도봉구,33102441,5753.0,17.4,231625,481.0,0.7,2018
서울특별시,동대문구,33102441,5753.0,17.4,489101,699.0,1.5,2018
서울특별시,동작구,33102441,5753.0,17.4,529613,728.0,1.6,2018
서울특별시,마포구,33102441,5753.0,17.4,1600871,1265.0,4.8,2018
서울특별시,서대문구,33102441,5753.0,17.4,585278,765.0,1.8,2018
서울특별시,서초구,33102441,5753.0,17.4,2876283,1696.0,8.7,2018
서울특별시,성동구,33102441,5753.0,17.4,561641,749.0,1.7,2018
서울특별시,성북구,33102441,5753.0,17.4,497381,705.0,1.5,2018
서울특별시,송파구,33102441,5753.0,17.4,3254223,1804.0,9.8,2018
서울특별시,양천구,33102441,5753.0,17.4,743700,862.0,2.2,2018
서울특별시,영등포구,33102441,5753.0,17.4,2168405,1473.0,6.6,2018
서울특별시,용산구,33102441,5753.0,17.4,1865943,1366.0,5.6,2018
서울특별시,은평구,33102441,5753.0,17.4,528446,727.0,1.6,2018
서울특별시,종로구,33102441,5753.0,17.4,1763016,1328.0,5.3,2018
서울특별시,중구,33102441,5753.0,17.4,3009485,1735.0,9.1,2018
서울특별시,중랑구,33102441,5753.0,17.4,270470,520.0,0.8,2018
세종특별자치시,세종특별자치시,1078700,1039.0,0.6,1078700,1039.0,100.0,2018
울산광역시,남구,2397584,1548.0,1.3,848284,921.0,35.4,2018
울산광역시,동구,2397584,1548.0,1.3,217486,466.0,9.1,2018
울산광역시,북구,2397584,1548.0,1.3,294153,542.0,12.3,2018
울산광역시,울주군,2397584,1548.0,1.3,841710,917.0,35.1,2018
울산광역시,중구,2397584,1548.0,1.3,195951,443.0,8.2,2018
인천광역시,강화군,12571808,3546.0,6.6,1421816,1192.0,11.3,2018
인천광역시,계양구,12571808,3546.0,6.6,449015,670.0,3.6,2018
인천광역시,남동구,12571808,3546.0,6.6,1438163,1199.0,11.4,2018
인천광역시,동구,12571808,3546.0,6.6,87403,296.0,0.7,2018
인천광역시,미추홀구,12571808,3546.0,6.6,696774,835.0,5.5,2018
