DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
강원특별자치도,강릉시,256713009,16022.0,7.6,46497286,6819.0,18.1
강원특별자치도,고성군,256713009,16022.0,7.6,15614460,3952.0,6.1
강원특별자치도,동해시,256713009,16022.0,7.6,6980467,2642.0,2.7
강원특별자치도,삼척시,256713009,16022.0,7.6,10191265,3192.0,4.0
강원특별자치도,속초시,256713009,16022.0,7.6,40730539,6382.0,15.9
강원특별자치도,양구군,256713009,16022.0,7.6,1111043,1054.0,0.4
강원특별자치도,양양군,256713009,16022.0,7.6,18538099,4306.0,7.2
강원특별자치도,영월군,256713009,16022.0,7.6,4882101,2210.0,1.9
강원특별자치도,원주시,256713009,16022.0,7.6,23014529,4797.0,9.0
강원특별자치도,인제군,256713009,16022.0,7.6,4260630,2064.0,1.7
강원특별자치도,정선군,256713009,16022.0,7.6,9864309,3141.0,3.8
강원특별자치도,철원군,256713009,16022.0,7.6,4683003,2164.0,1.8
강원특별자치도,춘천시,256713009,16022.0,7.6,27909137,5283.0,10.9
강원특별자치도,태백시,256713009,16022.0,7.6,2794826,1672.0,1.1
강원특별자치도,평창군,256713009,16022.0,7.6,17817210,4221.0,6.9
강원특별자치도,홍천군,256713009,16022.0,7.6,13681126,3699.0,5.3
강원특별자치도,화천군,256713009,16022.0,7.6,1370929,1171.0,0.5
강원특별자치도,횡성군,256713009,16022.0,7.6,6772050,2602.0,2.6
경기도,가평군,1005432947,31709.0,29.6,26104441,5109.0,2.6
경기도,고양시,1005432947,31709.0,29.6,90681073,9523.0,9.0
경기도,과천시,1005432947,31709.0,29.6,10493386,3239.0,1.0
경기도,광명시,1005432947,31709.0,29.6,22503357,4744.0,2.2
경기도,광주시,1005432947,31709.0,29.6,26873341,5184.0,2.7
경기도,구리시,1005432947,31709.0,29.6,13930342,3732.0,1.4
경기도,군포시,1005432947,31709.0,29.6,5393198,2322.0,0.5
경기도,김포시,1005432947,31709.0,29.6,34975665,5914.0,3.5
경기도,남양주시,1005432947,31709.0,29.6,53848993,7338.0,5.4
경기도,동두천시,1005432947,31709.0,29.6,3745784,1935.0,0.4
경기도,부천시,1005432947,31709.0,29.6,27700384,5263.0,2.8
경기도,성남시,1005432947,31709.0,29.6,58503930,7649.0,5.8
경기도,수원시,1005432947,31709.0,29.6,81849696,9047.0,8.1
경기도,시흥시,1005432947,31709.0,29.6,32738384,5722.0,3.3
경기도,안산시,1005432947,31709.0,29.6,30946808,5563.0,3.1
경기도,안성시,1005432947,31709.0,29.6,22319086,4724.0,2.2
경기도,안양시,1005432947,31709.0,29.6,20723695,4552.0,2.1
경기도,양주시,1005432947,31709.0,29.6,19218233,4384.0,1.9
경기도,양평군,1005432947,31709.0,29.6,21233076,4608.0,2.1
경기도,여주시,1005432947,31709.0,29.6,24675527,4967.0,2.5
경기도,연천군,1005432947,31709.0,29.6,6246056,2499.0,0.6
경기도,오산시,1005432947,31709.0,29.6,11522750,3395.0,1.1
경기도,용인시,1005432947,31709.0,29.6,88355474,9400.0,8.8
경기도,의왕시,1005432947,31709.0,29.6,14847520,3853.0,1.5
경기도,의정부시,1005432947,31709.0,29.6,17896972,4230.0,1.8
경기도,이천시,1005432947,31709.0,29.6,24439869,4944.0,2.4
경기도,파주시,1005432947,31709.0,29.6,56011505,7484.0,5.6
경기도,평택시,1005432947,31709.0,29.6,29804518,5459.0,3.0
경기도,포천시,1005432947,31709.0,29.6,26050740,5104.0,2.6
경기도,하남시,1005432947,31709.0,29.6,37306005,6108.0,3.7
경기도,화성시,1005432947,31709.0,29.6,64493139,8031.0,6.4
경상남도,거제시,165941102,12882.0,4.9,17672221,4204.0,10.6
경상남도,거창군,165941102,12882.0,4.9,2348882,1533.0,1.4
경상남도,고성군,165941102,12882.0,4.9,2899267,1703.0,1.7
경상남도,김해시,165941102,12882.0,4.9,22906199,4786.0,13.8
경상남도,남해군,165941102,12882.0,4.9,7711472,2777.0,4.6
경상남도,밀양시,165941102,12882.0,4.9,7206477,2684.0,4.3
경상남도,사천시,165941102,12882.0,4.9,7524374,2743.0,4.5
경상남도,산청군,165941102,12882.0,4.9,2274056,1508.0,1.4
경상남도,양산시,165941102,12882.0,4.9,17082041,4133.0,10.3
경상남도,의령군,165941102,12882.0,4.9,1441110,1200.0,0.9
경상남도,진주시,165941102,12882.0,4.9,10883854,3299.0,6.6
경상남도,창녕군,165941102,12882.0,4.9,2930824,1712.0,1.8
경상남도,창원시,165941102,12882.0,4.9,40761133,6384.0,24.6
경상남도,통영시,165941102,12882.0,4.9,11322231,3365.0,6.8
경상남도,하동군,165941102,12882.0,4.9,4102753,2026.0,2.5
경상남도,함안군,165941102,12882.0,4.9,2452295,1566.0,1.5
경상남도,함양군,165941102,12882.0,4.9,1592420,1262.0,1.0
경상남도,합천군,165941102,12882.0,4.9,2829493,1682.0,1.7
경상북도,경산시,153245881,12379.0,4.5,7691333,2773.0,5.0
경상북도,경주시,153245881,12379.0,4.5,43686467,6610.0,28.5
경상북도,고령군,153245881,12379.0,4.5,1331973,1154.0,0.9
경상북도,구미시,153245881,12379.0,4.5,12224314,3496.0,8.0
경상북도,김천시,153245881,12379.0,4.5,5708039,2389.0,3.7
경상북도,문경시,153245881,12379.0,4.5,5032317,2243.0,3.3
경상북도,봉화군,153245881,12379.0,4.5,1120539,1059.0,0.7
경상북도,상주시,153245881,12379.0,4.5,2989812,1729.0,2.0
경상북도,성주군,153245881,12379.0,4.5,1281459,1132.0,0.8
경상북도,안동시,153245881,12379.0,4.5,8011984,2831.0,5.2
경상북도,영덕군,153245881,12379.0,4.5,5751380,2398.0,3.8
경상북도,영양군,153245881,12379.0,4.5,205582,453.0,0.1
경상북도,영주시,153245881,12379.0,4.5,4063395,2016.0,2.7
경상북도,영천시,153245881,12379.0,4.5,4090941,2023.0,2.7
경상북도,예천군,153245881,12379.0,4.5,1863683,1365.0,1.2
경상북도,울릉군,153245881,12379.0,4.5,600050,775.0,0.4
경상북도,울진군,153245881,12379.0,4.5,5792001,2407.0,3.8
경상북도,의성군,153245881,12379.0,4.5,1239873,1113.0,0.8
경상북도,청도군,153245881,12379.0,4.5,5063613,2250.0,3.3
경상북도,청송군,153245881,12379.0,4.5,1667501,1291.0,1.1
경상북도,칠곡군,153245881,12379.0,4.5,5140732,2267.0,3.4
경상북도,포항시,153245881,12379.0,4.5,28688893,5356.0,18.7
대구광역시,군위군,94584077,9725.0,2.8,2418159,1555.0,2.6
대구광역시,남구,94584077,9725.0,2.8,5036264,2244.0,5.3
대구광역시,달서구,94584077,9725.0,2.8,12980054,3603.0,13.7
대구광역시,달성군,94584077,9725.0,2.8,8887362,2981.0,9.4
대구광역시,동구,94584077,9725.0,2.8,22681557,4763.0,24.0
대구광역시,북구,94584077,9725.0,2.8,11682108,3418.0,12.4
대구광역시,서구,94584077,9725.0,2.8,3194597,1787.0,3.4
대구광역시,수성구,94584077,9725.0,2.8,17586023,4194.0,18.6
대구광역시,중구,94584077,9725.0,2.8,10117953,3181.0,10.7
대전광역시,대덕구,72567148,8519.0,2.1,5310723,2305.0,7.3
대전광역시,동구,72567148,8519.0,2.1,11593725,3405.0,16.0
대전광역시,서구,72567148,8519.0,2.1,16958122,4118.0,23.4
대전광역시,유성구,72567148,8519.0,2.1,28496699,5338.0,39.3
대전광역시,중구,72567148,8519.0,2.1,10207879,3195.0,14.1
부산광역시,강서구,177089930,13308.0,5.2,18763412,4332.0,10.6
부산광역시,금정구,177089930,13308.0,5.2,7225712,2688.0,4.1
부산광역시,기장군,177089930,13308.0,5.2,32680204,5717.0,18.5
부산광역시,남구,177089930,13308.0,5.2,7392107,2719.0,4.2
부산광역시,동구,177089930,13308.0,5.2,6605834,2570.0,3.7
부산광역시,동래구,177089930,13308.0,5.2,8113112,2848.0,4.6
부산광역시,부산진구,177089930,13308.0,5.2,13361836,3655.0,7.5
부산광역시,북구,177089930,13308.0,5.2,4513556,2125.0,2.5
부산광역시,사상구,177089930,13308.0,5.2,6924599,2631.0,3.9
부산광역시,사하구,177089930,13308.0,5.2,6161958,2482.0,3.5
부산광역시,서구,177089930,13308.0,5.2,3499362,1871.0,2.0
부산광역시,수영구,177089930,13308.0,5.2,9942117,3153.0,5.6
부산광역시,연제구,177089930,13308.0,5.2,3261122,1806.0,1.8
부산광역시,영도구,177089930,13308.0,5.2,5509868,2347.0,3.1
부산광역시,중구,177089930,13308.0,5.2,6929930,2632.0,3.9
부산광역시,해운대구,177089930,13308.0,5.2,36205201,6017.0,20.4
서울특별시,강남구,509571087,22574.0,15.0,75058519,8664.0,14.7
서울특별시,강동구,509571087,22574.0,15.0,11354293,3370.0,2.2
서울특별시,강북구,509571087,22574.0,15.0,7490074,2737.0,1.5
