DPTR_REGN_NM,DPTR_REGN_DTL_NM,SRCH_CNT,SPPY_SRCH_CNT,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,ORD,_YEAR
자연관광,자연관광,13406907,0,13406907,3662.0,7.0,13406907,3662.0,100.0,2,2018
역사관광,역사관광,6943177,0,6943177,2635.0,3.6,6943177,2635.0,100.0,3,2018
체험관광,체험관광,1476326,0,1476326,1215.0,0.8,1476326,1215.0,100.0,4,2018
문화관광,문화관광,28718086,0,28718086,5359.0,15.1,28718086,5359.0,100.0,5,2018
레저스포츠,레저스포츠,10693753,0,10693753,3270.0,5.6,10693753,3270.0,100.0,6,2018
쇼핑,쇼핑,29446148,0,29446148,5426.0,15.4,29446148,5426.0,100.0,7,2018
음식,음식,58711321,0,58711321,7662.0,30.8,58711321,7662.0,100.0,8,2018
숙박,숙박,17456127,0,17456127,4178.0,9.2,17456127,4178.0,100.0,9,2018
기타관광,기타관광,23880486,0,23880486,4887.0,12.5,23880486,4887.0,100.0,99,2018
자연관광,자연관광,17133072,0,17133072,4139.0,6.2,17133072,4139.0,100.0,2,2019
역사관광,역사관광,9600356,0,9600356,3098.0,3.5,9600356,3098.0,100.0,3,2019
체험관광,체험관광,1924180,0,1924180,1387.0,0.7,1924180,1387.0,100.0,4,2019
문화관광,문화관광,39210358,0,39210358,6262.0,14.2,39210358,6262.0,100.0,5,2019
레저스포츠,레저스포츠,14870629,0,14870629,3856.0,5.4,14870629,3856.0,100.0,6,2019
쇼핑,쇼핑,40376044,0,40376044,6354.0,14.6,40376044,6354.0,100.0,7,2019
음식,음식,91906092,0,91906092,9587.0,33.2,91906092,9587.0,100.0,8,2019
숙박,숙박,27826184,0,27826184,5275.0,10.1,27826184,5275.0,100.0,9,2019
기타관광,기타관광,33562915,0,33562915,5793.0,12.1,33562915,5793.0,100.0,99,2019
자연관광,자연관광,22453543,0,22453543,4739.0,7.3,22453543,4739.0,100.0,2,2020
역사관광,역사관광,10341635,0,10341635,3216.0,3.4,10341635,3216.0,100.0,3,2020
체험관광,체험관광,1612765,0,1612765,1270.0,0.5,1612765,1270.0,100.0,4,2020
문화관광,문화관광,33204018,0,33204018,5762.0,10.8,33204018,5762.0,100.0,5,2020
레저스포츠,레저스포츠,18133139,0,18133139,4258.0,5.9,18133139,4258.0,100.0,6,2020
쇼핑,쇼핑,44410910,0,44410910,6664.0,14.4,44410910,6664.0,100.0,7,2020
음식,음식,114987993,0,114987993,10723.0,37.3,114987993,10723.0,100.0,8,2020
숙박,숙박,31110596,0,31110596,5578.0,10.1,31110596,5578.0,100.0,9,2020
기타관광,기타관광,31885858,0,31885858,5647.0,10.3,31885858,5647.0,100.0,99,2020
자연관광,자연관광,25120333,0,25120333,5012.0,6.7,25120333,5012.0,100.0,2,2021
역사관광,역사관광,12206549,0,12206549,3494.0,3.2,12206549,3494.0,100.0,3,2021
체험관광,체험관광,1711845,0,1711845,1308.0,0.5,1711845,1308.0,100.0,4,2021
문화관광,문화관광,42076804,0,42076804,6487.0,11.1,42076804,6487.0,100.0,5,2021
레저스포츠,레저스포츠,21750069,0,21750069,4664.0,5.8,21750069,4664.0,100.0,6,2021
쇼핑,쇼핑,54340749,0,54340749,7372.0,14.4,54340749,7372.0,100.0,7,2021
