BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
201801,전국,관광총소비,0000,13232128560.0,0.0
201802,전국,관광총소비,0000,12752615573.0,0.0
201803,전국,관광총소비,0000,14202852577.0,0.0
201804,전국,관광총소비,0000,14102245188.0,0.0
201805,전국,관광총소비,0000,15347206242.0,0.0
201806,전국,관광총소비,0000,14563654072.0,0.0
201807,전국,관광총소비,0000,15173328529.0,0.0
201808,전국,관광총소비,0000,15249449371.0,0.0
201809,전국,관광총소비,0000,15503764581.0,0.0
201810,전국,관광총소비,0000,15268485580.0,0.0
201811,전국,관광총소비,0000,14562781584.0,0.0
201812,전국,관광총소비,0000,15690768192.0,0.0
201901,전국,관광총소비,0000,14386993008.0,13232128560.0
201902,전국,관광총소비,0000,13059277297.0,12752615573.0
201903,전국,관광총소비,0000,15254637111.0,14202852577.0
201904,전국,관광총소비,0000,14452501805.0,14102245188.0
201905,전국,관광총소비,0000,16000420273.0,15347206242.0
201906,전국,관광총소비,0000,15128471261.0,14563654072.0
201907,전국,관광총소비,0000,15190707592.0,15173328529.0
201908,전국,관광총소비,0000,16162604279.0,15249449371.0
201909,전국,관광총소비,0000,14850269867.0,15503764581.0
201910,전국,관광총소비,0000,15940795869.0,15268485580.0
201911,전국,관광총소비,0000,15599747148.0,14562781584.0
201912,전국,관광총소비,0000,16316385424.0,15690768192.0
202001,전국,관광총소비,0000,14944752766.0,14386993008.0
202002,전국,관광총소비,0000,11220667226.0,13059277297.0
202003,전국,관광총소비,0000,10564408791.0,15254637111.0
202004,전국,관광총소비,0000,11752619700.0,14452501805.0
202005,전국,관광총소비,0000,13922049940.0,16000420273.0
202006,전국,관광총소비,0000,13093590094.0,15128471261.0
202007,전국,관광총소비,0000,13613768492.0,15190707592.0
202008,전국,관광총소비,0000,13372536815.0,16162604279.0
202009,전국,관광총소비,0000,12703983633.0,14850269867.0
202010,전국,관광총소비,0000,13889252604.0,15940795869.0
202011,전국,관광총소비,0000,13056520321.0,15599747148.0
202012,전국,관광총소비,0000,11052918806.0,16316385424.0
202101,전국,관광총소비,0000,10861246406.0,14944752766.0
202102,전국,관광총소비,0000,11553863758.0,11220667226.0
202103,전국,관광총소비,0000,13239747742.0,10564408791.0
202104,전국,관광총소비,0000,13470779485.0,11752619700.0
202105,전국,관광총소비,0000,14379257069.0,13922049940.0
202106,전국,관광총소비,0000,13750915003.0,13093590094.0
202107,전국,관광총소비,0000,13723086413.0,13613768492.0
202108,전국,관광총소비,0000,13442094802.0,13372536815.0
202109,전국,관광총소비,0000,14230803431.0,12703983633.0
202110,전국,관광총소비,0000,15830452352.0,13889252604.0
202111,전국,관광총소비,0000,15419544594.0,13056520321.0
202112,전국,관광총소비,0000,14703350287.0,11052918806.0
202201,전국,관광총소비,0000,14395767286.0,10861246406.0
202202,전국,관광총소비,0000,11446144774.0,11553863758.0
202203,전국,관광총소비,0000,14008853153.0,13239747742.0
202204,전국,관광총소비,0000,16254359122.0,13470779485.0
202205,전국,관광총소비,0000,18204907154.0,14379257069.0
202206,전국,관광총소비,0000,16775136056.0,13750915003.0
202207,전국,관광총소비,0000,17735176019.0,13723086413.0
202208,전국,관광총소비,0000,17082442910.0,13442094802.0
202209,전국,관광총소비,0000,16713630964.0,14230803431.0
202210,전국,관광총소비,0000,18694407779.0,15830452352.0
202211,전국,관광총소비,0000,16839647666.0,15419544594.0
202212,전국,관광총소비,0000,17644809495.0,14703350287.0
202301,전국,관광총소비,0000,16185643679.0,14395767286.0
202302,전국,관광총소비,0000,15143481959.0,11446144774.0
202303,전국,관광총소비,0000,16887205816.0,14008853153.0
202304,전국,관광총소비,0000,16922408129.0,16254359122.0
202305,전국,관광총소비,0000,17736682784.0,18204907154.0
202306,전국,관광총소비,0000,16690416177.0,16775136056.0
202307,전국,관광총소비,0000,17365100062.0,17735176019.0
202308,전국,관광총소비,0000,17425948597.0,17082442910.0
202309,전국,관광총소비,0000,17891251598.0,16713630964.0
202310,전국,관광총소비,0000,17859423328.0,18694407779.0
202311,전국,관광총소비,0000,16639658709.0,16839647666.0
202312,전국,관광총소비,0000,17833017375.0,17644809495.0
202401,전국,관광총소비,0000,16212886282.0,16185643679.0
202402,전국,관광총소비,0000,15887796563.0,15143481959.0
202403,전국,관광총소비,0000,17773244791.0,16887205816.0
202404,전국,관광총소비,0000,17167167622.0,16922408129.0
202405,전국,관광총소비,0000,18453016851.0,17736682784.0
202406,전국,관광총소비,0000,17591232242.0,16690416177.0
202407,전국,관광총소비,0000,17329048807.0,17365100062.0
202408,전국,관광총소비,0000,18191053645.0,17425948597.0
202409,전국,관광총소비,0000,17412229822.0,17891251598.0
202410,전국,관광총소비,0000,18087535476.0,17859423328.0
202411,전국,관광총소비,0000,17254302955.0,16639658709.0
202412,전국,관광총소비,0000,17820743812.0,17833017375.0
202501,전국,관광총소비,0000,16462363208.0,16212886282.0
202502,전국,관광총소비,0000,14636419132.0,15887796563.0
202503,전국,관광총소비,0000,16968738272.0,17773244791.0
202504,전국,관광총소비,0000,16199113840.0,17167167622.0
202505,전국,관광총소비,0000,18190698339.0,18453016851.0
202506,전국,관광총소비,0000,16251289329.0,17591232242.0
202507,전국,관광총소비,0000,17306781284.0,17329048807.0
202508,전국,관광총소비,0000,17660947144.0,18191053645.0
202509,전국,관광총소비,0000,16544511968.0,17412229822.0
202510,전국,관광총소비,0000,18396086402.0,18087535476.0
202511,전국,관광총소비,0000,17939387713.0,17254302955.0
202512,전국,관광총소비,0000,18348644781.0,17820743812.0
202601,전국,관광총소비,0000,17470372482.0,16462363208.0
202602,전국,관광총소비,0000,16691821849.0,14636419132.0
202603,전국,관광총소비,0000,18324471934.0,16968738272.0
202604,전국,관광총소비,0000,17829577666.0,16199113840.0
202605,전국,관광총소비,0000,19624777920.0,18190698339.0
202606,전국,관광총소비,0000,17635741858.0,16251289329.0
202607,전국,관광총소비,0000,18254188127.0,17306781284.0
201801,전국,호텔,11,110163270.0,0.0
201801,전국,캠핑장/펜션,13,9504186.0,0.0
201801,전국,기타숙박,14,115810273.0,0.0
201801,전국,여행업,21,199800339.0,0.0
201801,전국,항공운송,33,594844203.0,0.0
201801,전국,면세점,41,187578390.0,0.0
201801,전국,레저용품쇼핑,43,263268770.0,0.0
201801,전국,기타관광쇼핑,44,1988337409.0,0.0
201801,전국,기타레저,55,146240581.0,0.0
201801,전국,문화서비스,56,171238836.0,0.0
201801,전국,육상운송,31,2973859172.0,0.0
201801,전국,수상운송,32,7853610.0,0.0
201801,전국,렌터카,34,16359742.0,0.0
201801,전국,대형쇼핑몰,42,2658920106.0,0.0
201801,전국,골프장,53,59219671.0,0.0
201801,전국,뷰티,62,286824363.0,0.0
201801,전국,일반외식업,71,2924986440.0,0.0
201801,전국,제과음료업,72,413677176.0,0.0
201801,전국,콘도,12,66297291.0,0.0
201801,전국,관광유원시설,52,26413109.0,0.0
201801,전국,스키장,54,10931622.0,0.0
201802,전국,호텔,11,91749998.0,0.0
201802,전국,캠핑장/펜션,13,8489176.0,0.0
201802,전국,기타숙박,14,105689359.0,0.0
201802,전국,여행업,21,154643158.0,0.0
201802,전국,항공운송,33,438042077.0,0.0
201802,전국,면세점,41,170889662.0,0.0
201802,전국,레저용품쇼핑,43,255224049.0,0.0
201802,전국,기타관광쇼핑,44,2084695972.0,0.0
201802,전국,기타레저,55,139487176.0,0.0
201802,전국,문화서비스,56,131242036.0,0.0
201802,전국,육상운송,31,2769574639.0,0.0
201802,전국,수상운송,32,8271373.0,0.0
201802,전국,대형쇼핑몰,42,2832722423.0,0.0
201802,전국,골프장,53,82915285.0,0.0
201802,전국,뷰티,62,289079303.0,0.0
201802,전국,일반외식업,71,2689179235.0,0.0
201802,전국,제과음료업,72,401924937.0,0.0
201802,전국,콘도,12,45903482.0,0.0
201802,전국,렌터카,34,16394378.0,0.0
201802,전국,관광유원시설,52,29036992.0,0.0
201802,전국,스키장,54,7460862.0,0.0
201803,전국,호텔,11,97099935.0,0.0
201803,전국,캠핑장/펜션,13,9968656.0,0.0
201803,전국,기타숙박,14,123162211.0,0.0
201803,전국,여행업,21,134607487.0,0.0
201803,전국,항공운송,33,476632468.0,0.0
201803,전국,면세점,41,153836616.0,0.0
201803,전국,레저용품쇼핑,43,357415306.0,0.0
201803,전국,기타관광쇼핑,44,2181408430.0,0.0
201803,전국,기타레저,55,158503847.0,0.0
201803,전국,문화서비스,56,116674655.0,0.0
201803,전국,육상운송,31,3033270330.0,0.0
201803,전국,수상운송,32,11173908.0,0.0
201803,전국,렌터카,34,18333371.0,0.0
201803,전국,대형쇼핑몰,42,2996228627.0,0.0
201803,전국,골프장,53,215872008.0,0.0
201803,전국,뷰티,62,324877031.0,0.0
201803,전국,일반외식업,71,3248678477.0,0.0
201803,전국,제과음료업,72,482594454.0,0.0
201803,전국,콘도,12,21861523.0,0.0
201803,전국,관광유원시설,52,39529421.0,0.0
201803,전국,스키장,54,1123814.0,0.0
201804,전국,호텔,11,98282402.0,0.0
201804,전국,캠핑장/펜션,13,10238249.0,0.0
201804,전국,기타숙박,14,124079795.0,0.0
201804,전국,여행업,21,144285041.0,0.0
201804,전국,항공운송,33,487527459.0,0.0
201804,전국,면세점,41,181589444.0,0.0
201804,전국,레저용품쇼핑,43,362546130.0,0.0
201804,전국,기타관광쇼핑,44,2153966535.0,0.0
201804,전국,기타레저,55,155420688.0,0.0
201804,전국,문화서비스,56,137577458.0,0.0
201804,전국,육상운송,31,2991836393.0,0.0
201804,전국,수상운송,32,14871959.0,0.0
201804,전국,렌터카,34,18448653.0,0.0
201804,전국,대형쇼핑몰,42,2831794343.0,0.0
201804,전국,골프장,53,270013770.0,0.0
201804,전국,뷰티,62,298137641.0,0.0
201804,전국,일반외식업,71,3255531098.0,0.0
201804,전국,제과음료업,72,490686138.0,0.0
201804,전국,콘도,12,25568734.0,0.0
201804,전국,관광유원시설,52,49791491.0,0.0
201804,전국,스키장,54,51766.0,0.0
201805,전국,호텔,11,113708688.0,0.0
201805,전국,캠핑장/펜션,13,11528011.0,0.0
201805,전국,기타숙박,14,132254812.0,0.0
201805,전국,여행업,21,156531663.0,0.0
201805,전국,항공운송,33,521669738.0,0.0
201805,전국,면세점,41,185742847.0,0.0
201805,전국,레저용품쇼핑,43,392282163.0,0.0
201805,전국,기타관광쇼핑,44,2336618424.0,0.0
201805,전국,기타레저,55,173259588.0,0.0
201805,전국,문화서비스,56,150968862.0,0.0
201805,전국,육상운송,31,3183671114.0,0.0
201805,전국,수상운송,32,16762364.0,0.0
201805,전국,대형쇼핑몰,42,3121167976.0,0.0
201805,전국,골프장,53,309952639.0,0.0
201805,전국,뷰티,62,322926390.0,0.0
201805,전국,일반외식업,71,3571495145.0,0.0
201805,전국,제과음료업,72,527196627.0,0.0
201805,전국,콘도,12,33786257.0,0.0
201805,전국,렌터카,34,19928032.0,0.0
201805,전국,관광유원시설,52,65605327.0,0.0
201805,전국,스키장,54,149572.0,0.0
201806,전국,호텔,11,105031876.0,0.0
201806,전국,캠핑장/펜션,13,10986614.0,0.0
201806,전국,기타숙박,14,128482147.0,0.0
201806,전국,여행업,21,151068066.0,0.0
201806,전국,항공운송,33,546739856.0,0.0
201806,전국,면세점,41,185249753.0,0.0
201806,전국,레저용품쇼핑,43,340680191.0,0.0
201806,전국,기타관광쇼핑,44,2243894398.0,0.0
