BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
201801,전국,관광총소비,00,475549648.0,0.0
201802,전국,관광총소비,00,490762247.0,0.0
201803,전국,관광총소비,00,594044159.0,0.0
201804,전국,관광총소비,00,653762926.0,0.0
201805,전국,관광총소비,00,675805620.0,0.0
201806,전국,관광총소비,00,619263920.0,0.0
201807,전국,관광총소비,00,616195932.0,0.0
201808,전국,관광총소비,00,616852370.0,0.0
201809,전국,관광총소비,00,591228719.0,0.0
201810,전국,관광총소비,00,663845225.0,0.0
201811,전국,관광총소비,00,702776326.0,0.0
201812,전국,관광총소비,00,707951668.0,0.0
201901,전국,관광총소비,00,540828028.0,475549648.0
201902,전국,관광총소비,00,527090702.0,490762247.0
201903,전국,관광총소비,00,673538375.0,594044159.0
201904,전국,관광총소비,00,769591189.0,653762926.0
201905,전국,관광총소비,00,788814955.0,675805620.0
201906,전국,관광총소비,00,731400602.0,619263920.0
201907,전국,관광총소비,00,708841146.0,616195932.0
201908,전국,관광총소비,00,744930743.0,616852370.0
201909,전국,관광총소비,00,712098485.0,591228719.0
201910,전국,관광총소비,00,864347794.0,663845225.0
201911,전국,관광총소비,00,792263716.0,702776326.0
201912,전국,관광총소비,00,830013193.0,707951668.0
202001,전국,관광총소비,00,613187481.0,540828028.0
202002,전국,관광총소비,00,355558236.0,527090702.0
202003,전국,관광총소비,00,99171901.0,673538375.0
202004,전국,관광총소비,00,76892609.0,769591189.0
202005,전국,관광총소비,00,91915291.0,788814955.0
202006,전국,관광총소비,00,101214363.0,731400602.0
202007,전국,관광총소비,00,124125952.0,708841146.0
202008,전국,관광총소비,00,124243888.0,744930743.0
202009,전국,관광총소비,00,109182501.0,712098485.0
202010,전국,관광총소비,00,122957717.0,864347794.0
202011,전국,관광총소비,00,119003388.0,792263716.0
202012,전국,관광총소비,00,108774003.0,830013193.0
202101,전국,관광총소비,00,91345004.0,613187481.0
202102,전국,관광총소비,00,95288249.0,355558236.0
202103,전국,관광총소비,00,116421052.0,99171901.0
202104,전국,관광총소비,00,114578190.0,76892609.0
202105,전국,관광총소비,00,130526035.0,91915291.0
202106,전국,관광총소비,00,127921266.0,101214363.0
202107,전국,관광총소비,00,138899992.0,124125952.0
202108,전국,관광총소비,00,139319122.0,124243888.0
202109,전국,관광총소비,00,132349498.0,109182501.0
202110,전국,관광총소비,00,160494375.0,122957717.0
202111,전국,관광총소비,00,157169390.0,119003388.0
202112,전국,관광총소비,00,149552639.0,108774003.0
202201,전국,관광총소비,00,112513364.0,91345004.0
202202,전국,관광총소비,00,115913231.0,95288249.0
202203,전국,관광총소비,00,139705597.0,116421052.0
202204,전국,관광총소비,00,199298151.0,114578190.0
202205,전국,관광총소비,00,273634406.0,130526035.0
202206,전국,관광총소비,00,307912549.0,127921266.0
202207,전국,관광총소비,00,375863703.0,138899992.0
202208,전국,관광총소비,00,378764728.0,139319122.0
202209,전국,관광총소비,00,424369266.0,132349498.0
202210,전국,관광총소비,00,583266252.0,160494375.0
202211,전국,관광총소비,00,524399389.0,157169390.0
202212,전국,관광총소비,00,581047268.0,149552639.0
202301,전국,관광총소비,00,455952571.0,112513364.0
202302,전국,관광총소비,00,440629273.0,115913231.0
202303,전국,관광총소비,00,629073697.0,139705597.0
202304,전국,관광총소비,00,774106668.0,199298151.0
202305,전국,관광총소비,00,779846144.0,273634406.0
202306,전국,관광총소비,00,784091231.0,307912549.0
