BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
202603,전국,관광총소비,0000,15602543395.0,14544020427.0
202604,전국,관광총소비,0000,15140637142.0,13917494364.0
202605,전국,관광총소비,0000,16652747176.0,15655951457.0
202606,전국,관광총소비,0000,14979016318.0,13974168923.0
201801,전국,관광총소비,0000,11387774442.0,0.0
201802,전국,관광총소비,0000,10936359696.0,0.0
201803,전국,관광총소비,0000,12127690202.0,0.0
201804,전국,관광총소비,0000,12079685041.0,0.0
201805,전국,관광총소비,0000,13160718700.0,0.0
201806,전국,관광총소비,0000,12502791290.0,0.0
201807,전국,관광총소비,0000,13054855207.0,0.0
201808,전국,관광총소비,0000,13157382113.0,0.0
201809,전국,관광총소비,0000,13292297168.0,0.0
201810,전국,관광총소비,0000,13087160196.0,0.0
201811,전국,관광총소비,0000,12478529902.0,0.0
201812,전국,관광총소비,0000,13441752655.0,0.0
201901,전국,관광총소비,0000,12389135824.0,11387774442.0
201902,전국,관광총소비,0000,11242731228.0,10936359696.0
201903,전국,관광총소비,0000,13073038211.0,12127690202.0
201904,전국,관광총소비,0000,12462619388.0,12079685041.0
201905,전국,관광총소비,0000,13792360650.0,13160718700.0
201906,전국,관광총소비,0000,13051062492.0,12502791290.0
201907,전국,관광총소비,0000,13143617625.0,13054855207.0
201908,전국,관광총소비,0000,13980015352.0,13157382113.0
201909,전국,관광총소비,0000,12758917361.0,13292297168.0
201910,전국,관광총소비,0000,13716741616.0,13087160196.0
201911,전국,관광총소비,0000,13400050026.0,12478529902.0
201912,전국,관광총소비,0000,14044143572.0,13441752655.0
202001,전국,관광총소비,0000,12897344171.0,12389135824.0
202002,전국,관광총소비,0000,9614625751.0,11242731228.0
202003,전국,관광총소비,0000,8990319384.0,13073038211.0
202004,전국,관광총소비,0000,9985599492.0,12462619388.0
202005,전국,관광총소비,0000,11853203992.0,13792360650.0
202006,전국,관광총소비,0000,11177217612.0,13051062492.0
202007,전국,관광총소비,0000,11669766020.0,13143617625.0
202008,전국,관광총소비,0000,11493119075.0,13980015352.0
202009,전국,관광총소비,0000,10832071305.0,12758917361.0
202010,전국,관광총소비,0000,11892367312.0,13716741616.0
202011,전국,관광총소비,0000,11174645833.0,13400050026.0
202012,전국,관광총소비,0000,9420973700.0,14044143572.0
202101,전국,관광총소비,0000,9234697754.0,12897344171.0
202102,전국,관광총소비,0000,9871930035.0,9614625751.0
202103,전국,관광총소비,0000,11311051287.0,8990319384.0
202104,전국,관광총소비,0000,11544257618.0,9985599492.0
202105,전국,관광총소비,0000,12304215667.0,11853203992.0
202106,전국,관광총소비,0000,11809689637.0,11177217612.0
202107,전국,관광총소비,0000,11776951882.0,11669766020.0
202108,전국,관광총소비,0000,11577161438.0,11493119075.0
202109,전국,관광총소비,0000,12225289493.0,10832071305.0
202110,전국,관광총소비,0000,13630593422.0,11892367312.0
202111,전국,관광총소비,0000,13279274052.0,11174645833.0
202112,전국,관광총소비,0000,12631742209.0,9420973700.0
202201,전국,관광총소비,0000,12384084468.0,9234697754.0
202202,전국,관광총소비,0000,9856367402.0,9871930035.0
202203,전국,관광총소비,0000,12029765436.0,11311051287.0
202204,전국,관광총소비,0000,14006422958.0,11544257618.0
