AREA_NM,SIDO_NM,PTL_SIDO_CD,CNSM_AMT,SPPY_CNSM_AMT,GROW_RATE_CNSM_AMT
서울특별시,서울특별시,KR-11,49557278629.0,49557278629.0,0.0
부산광역시,부산광역시,KR-26,15539129624.0,15539129624.0,0.0
대구광역시,대구광역시,KR-27,8699212751.0,8699212751.0,0.0
인천광역시,인천광역시,KR-28,7845343372.0,7845343372.0,0.0
광주광역시,광주광역시,KR-29,4415706202.0,4415706202.0,0.0
대전광역시,대전광역시,KR-30,7116026641.0,7116026641.0,0.0
울산광역시,울산광역시,KR-31,2539846123.0,2539846123.0,0.0
세종특별자치시,세종특별자치시,KR-36,384391085.0,384391085.0,0.0
경기도,경기도,KR-41,37056072793.0,37056072793.0,0.0
충청북도,충청북도,KR-43,3852418849.0,3852418849.0,0.0
충청남도,충청남도,KR-44,5113498591.0,5113498591.0,0.0
전라남도,전라남도,KR-46,4359076806.0,4359076806.0,0.0
경상북도,경상북도,KR-47,5857058590.0,5857058590.0,0.0
경상남도,경상남도,KR-48,7373040942.0,7373040942.0,0.0
제주특별자치도,제주특별자치도,KR-50,4437822414.0,4437822414.0,0.0
강원특별자치도,강원특별자치도,KR-51,5140117088.0,5140117088.0,0.0
전북특별자치도,전북특별자치도,KR-52,3777588413.0,3777588413.0,0.0
