AREA_NM,SIDO_NM,PTL_SIDO_CD,CNSM_AMT,SPPY_CNSM_AMT,GROW_RATE_CNSM_AMT
서울특별시,서울특별시,KR-11,39129696300.0,29147385809.0,34.2
전남광주통합특별시,전남광주통합특별시,KR-12,252361356.0,202884553.0,24.4
부산광역시,부산광역시,KR-26,4084250842.0,2985018790.0,36.8
대구광역시,대구광역시,KR-27,419275793.0,341693952.0,22.7
인천광역시,인천광역시,KR-28,3813181654.0,2873704823.0,32.7
대전광역시,대전광역시,KR-30,289780587.0,231656460.0,25.1
울산광역시,울산광역시,KR-31,121789882.0,97127935.0,25.4
세종특별자치시,세종특별자치시,KR-36,23081127.0,15965040.0,44.6
경기도,경기도,KR-41,4573203130.0,3631725133.0,25.9
충청북도,충청북도,KR-43,152024681.0,116874462.0,30.1
충청남도,충청남도,KR-44,219106694.0,173319217.0,26.4
경상북도,경상북도,KR-47,312276123.0,239109973.0,30.6
경상남도,경상남도,KR-48,338623651.0,271943975.0,24.5
제주특별자치도,제주특별자치도,KR-50,1904629202.0,1430593281.0,33.1
강원특별자치도,강원특별자치도,KR-51,326979085.0,259416994.0,26.0
전북특별자치도,전북특별자치도,KR-52,204061630.0,163920815.0,24.5
온라인 소비액,온라인 소비액,KR-00,15902652755.0,11997927654.0,32.5
