AREA_NM,SIDO_NM,PTL_SIDO_CD,CNSM_AMT,SPPY_CNSM_AMT,GROW_RATE_CNSM_AMT
서울특별시,서울특별시,KR-11,391235070318.0,346170037053.0,13.0
전남광주통합특별시,전남광주통합특별시,KR-12,55798497714.0,48968237430.0,13.9
부산광역시,부산광역시,KR-26,78970158419.0,69091923994.0,14.3
대구광역시,대구광역시,KR-27,47417193347.0,41596211603.0,14.0
인천광역시,인천광역시,KR-28,66905640444.0,58781191645.0,13.8
대전광역시,대전광역시,KR-30,40448444290.0,35568476359.0,13.7
울산광역시,울산광역시,KR-31,19371501236.0,16985507889.0,14.0
세종특별자치시,세종특별자치시,KR-36,3952708765.0,3482982620.0,13.5
경기도,경기도,KR-41,317525454616.0,279643760626.0,13.5
충청북도,충청북도,KR-43,45705212990.0,40266436883.0,13.5
충청남도,충청남도,KR-44,44701816155.0,39240596999.0,13.9
경상북도,경상북도,KR-47,44912476394.0,39414849422.0,13.9
경상남도,경상남도,KR-48,48333580635.0,42550931409.0,13.6
제주특별자치도,제주특별자치도,KR-50,25458749859.0,22865260986.0,11.3
강원특별자치도,강원특별자치도,KR-51,41767976726.0,36946083413.0,13.1
전북특별자치도,전북특별자치도,KR-52,27698930900.0,24289668214.0,14.0
온라인 소비액,온라인 소비액,KR-00,89800396747.0,75707840636.0,18.6
