DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
강원특별자치도,강릉시,5140117088.0,916709.0,3.0,840354739.0,917.0,16.3
강원특별자치도,고성군,5140117088.0,440977.0,3.0,194460688.0,441.0,3.8
강원특별자치도,동해시,5140117088.0,434500.0,3.0,188790036.0,434.0,3.7
강원특별자치도,삼척시,5140117088.0,472183.0,3.0,222956384.0,472.0,4.3
강원특별자치도,속초시,5140117088.0,834159.0,3.0,695821352.0,834.0,13.5
강원특별자치도,양구군,5140117088.0,160701.0,3.0,25824962.0,161.0,0.5
강원특별자치도,양양군,5140117088.0,470837.0,3.0,221687668.0,471.0,4.3
강원특별자치도,영월군,5140117088.0,244990.0,3.0,60020076.0,245.0,1.2
강원특별자치도,원주시,5140117088.0,820348.0,3.0,672971421.0,820.0,13.1
강원특별자치도,인제군,5140117088.0,274837.0,3.0,75535215.0,275.0,1.5
강원특별자치도,정선군,5140117088.0,378409.0,3.0,143193008.0,378.0,2.8
강원특별자치도,철원군,5140117088.0,281692.0,3.0,79350567.0,282.0,1.5
강원특별자치도,춘천시,5140117088.0,839449.0,3.0,704675320.0,839.0,13.7
강원특별자치도,태백시,5140117088.0,291445.0,3.0,84940000.0,291.0,1.7
강원특별자치도,평창군,5140117088.0,570620.0,3.0,325606733.0,571.0,6.3
강원특별자치도,홍천군,5140117088.0,621587.0,3.0,386369872.0,622.0,7.5
강원특별자치도,화천군,5140117088.0,193115.0,3.0,37293268.0,193.0,0.7
강원특별자치도,횡성군,5140117088.0,424577.0,3.0,180265779.0,425.0,3.5
경기도,가평군,37056072793.0,634156.0,21.4,402154328.0,634.0,1.1
경기도,고양시 덕양구,37056072793.0,1123626.0,21.4,1262535312.0,1124.0,3.4
경기도,고양시 일산동구,37056072793.0,1044270.0,21.4,1090500719.0,1044.0,2.9
경기도,고양시 일산서구,37056072793.0,847967.0,21.4,719047445.0,848.0,1.9
경기도,과천시,37056072793.0,442804.0,21.4,196075396.0,443.0,0.5
경기도,광명시,37056072793.0,843505.0,21.4,711500992.0,844.0,1.9
경기도,광주시,37056072793.0,842251.0,21.4,709387582.0,842.0,1.9
경기도,구리시,37056072793.0,728457.0,21.4,530650322.0,728.0,1.4
경기도,군포시,37056072793.0,697872.0,21.4,487026003.0,698.0,1.3
경기도,김포시,37056072793.0,1128952.0,21.4,1274532781.0,1129.0,3.4
경기도,남양주시,37056072793.0,1122353.0,21.4,1259676968.0,1122.0,3.4
경기도,동두천시,37056072793.0,377522.0,21.4,142522846.0,378.0,0.4
경기도,부천시,37056072793.0,789509.0,21.4,623323751.0,790.0,1.7
경기도,부천시 소사구,37056072793.0,321411.0,21.4,103304717.0,321.0,0.3
경기도,부천시 오정구,37056072793.0,220483.0,21.4,48612580.0,220.0,0.1
경기도,부천시 원미구,37056072793.0,530592.0,21.4,281527488.0,531.0,0.8
경기도,성남시 분당구,37056072793.0,1617406.0,21.4,2616001802.0,1617.0,7.1
경기도,성남시 수정구,37056072793.0,800658.0,21.4,641053901.0,801.0,1.7
경기도,성남시 중원구,37056072793.0,632381.0,21.4,399906035.0,632.0,1.1
경기도,수원시 권선구,37056072793.0,871982.0,21.4,760353101.0,872.0,2.1
경기도,수원시 영통구,37056072793.0,1097124.0,21.4,1203681505.0,1097.0,3.2
경기도,수원시 장안구,37056072793.0,691030.0,21.4,477522070.0,691.0,1.3
경기도,수원시 팔달구,37056072793.0,1324840.0,21.4,1755200521.0,1325.0,4.7
경기도,시흥시,37056072793.0,1125516.0,21.4,1266787312.0,1126.0,3.4
경기도,안산시 단원구,37056072793.0,1138066.0,21.4,1295195205.0,1138.0,3.5
경기도,안산시 상록구,37056072793.0,753694.0,21.4,568053919.0,754.0,1.5
경기도,안성시,37056072793.0,892413.0,21.4,796400383.0,892.0,2.1
경기도,안양시 동안구,37056072793.0,1208758.0,21.4,1461095896.0,1209.0,3.9
경기도,안양시 만안구,37056072793.0,664625.0,21.4,441726367.0,665.0,1.2
경기도,양주시,37056072793.0,701743.0,21.4,492442955.0,702.0,1.3
경기도,양평군,37056072793.0,574644.0,21.4,330215424.0,575.0,0.9
경기도,여주시,37056072793.0,1038151.0,21.4,1077756876.0,1038.0,2.9
경기도,연천군,37056072793.0,296499.0,21.4,87911529.0,296.0,0.2
경기도,오산시,37056072793.0,706707.0,21.4,499434081.0,707.0,1.3
경기도,용인시 기흥구,37056072793.0,1101388.0,21.4,1213055133.0,1101.0,3.3
경기도,용인시 수지구,37056072793.0,900930.0,21.4,811674664.0,901.0,2.2
경기도,용인시 처인구,37056072793.0,1006285.0,21.4,1012609599.0,1006.0,2.7
경기도,의왕시,37056072793.0,676509.0,21.4,457664290.0,677.0,1.2
경기도,의정부시,37056072793.0,903097.0,21.4,815584411.0,903.0,2.2
경기도,이천시,37056072793.0,960878.0,21.4,923287365.0,961.0,2.5
경기도,파주시,37056072793.0,1066537.0,21.4,1137501000.0,1067.0,3.1
경기도,평택시,37056072793.0,1012593.0,21.4,1025343778.0,1013.0,2.8
경기도,포천시,37056072793.0,808002.0,21.4,652866567.0,808.0,1.8
경기도,하남시,37056072793.0,1130748.0,21.4,1278590185.0,1131.0,3.5
