DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
강원특별자치도,강릉시,326979085.0,238035.0,0.6,56660767.0,238.0,17.3
강원특별자치도,고성군,326979085.0,78849.0,0.6,6217224.0,79.0,1.9
강원특별자치도,동해시,326979085.0,85012.0,0.6,7227094.0,85.0,2.2
강원특별자치도,삼척시,326979085.0,62928.0,0.6,3959970.0,63.0,1.2
강원특별자치도,속초시,326979085.0,211032.0,0.6,44534402.0,211.0,13.6
강원특별자치도,양구군,326979085.0,22290.0,0.6,496823.0,22.0,0.2
강원특별자치도,양양군,326979085.0,131063.0,0.6,17177637.0,131.0,5.3
강원특별자치도,영월군,326979085.0,35274.0,0.6,1244274.0,35.0,0.4
강원특별자치도,원주시,326979085.0,163728.0,0.6,26806846.0,164.0,8.2
강원특별자치도,인제군,326979085.0,49591.0,0.6,2459253.0,50.0,0.8
강원특별자치도,정선군,326979085.0,112321.0,0.6,12615926.0,112.0,3.9
강원특별자치도,철원군,326979085.0,34777.0,0.6,1209452.0,35.0,0.4
강원특별자치도,춘천시,326979085.0,226304.0,0.6,51213503.0,226.0,15.7
강원특별자치도,태백시,326979085.0,44131.0,0.6,1947541.0,44.0,0.6
강원특별자치도,평창군,326979085.0,260140.0,0.6,67672901.0,260.0,20.7
강원특별자치도,홍천군,326979085.0,144603.0,0.6,20910040.0,145.0,6.4
강원특별자치도,화천군,326979085.0,21339.0,0.6,455347.0,21.0,0.1
강원특별자치도,횡성군,326979085.0,64576.0,0.6,4170085.0,65.0,1.3
경기도,가평군,4573203130.0,177013.0,8.1,31333771.0,177.0,0.7
경기도,고양시,4573203130.0,593806.0,8.1,352605818.0,594.0,7.7
경기도,과천시,4573203130.0,128763.0,8.1,16579999.0,129.0,0.4
경기도,광명시,4573203130.0,173674.0,8.1,30162612.0,174.0,0.7
경기도,광주시,4573203130.0,155074.0,8.1,24047859.0,155.0,0.5
경기도,구리시,4573203130.0,146401.0,8.1,21433237.0,146.0,0.5
경기도,군포시,4573203130.0,141330.0,8.1,19974035.0,141.0,0.4
경기도,김포시,4573203130.0,374464.0,8.1,140223210.0,374.0,3.1
경기도,남양주시,4573203130.0,242467.0,8.1,58790061.0,242.0,1.3
경기도,동두천시,4573203130.0,369390.0,8.1,136449007.0,369.0,3.0
경기도,부천시,4573203130.0,500316.0,8.1,250316509.0,500.0,5.5
경기도,성남시,4573203130.0,934283.0,8.1,872885498.0,934.0,19.1
경기도,수원시,4573203130.0,706213.0,8.1,498737187.0,706.0,10.9
경기도,시흥시,4573203130.0,231196.0,8.1,53451805.0,231.0,1.2
경기도,안산시,4573203130.0,284656.0,8.1,81029022.0,285.0,1.8
경기도,안성시,4573203130.0,256839.0,8.1,65966136.0,257.0,1.4
경기도,안양시,4573203130.0,306736.0,8.1,94087234.0,307.0,2.1
경기도,양주시,4573203130.0,167909.0,8.1,28193565.0,168.0,0.6
경기도,양평군,4573203130.0,108268.0,8.1,11722015.0,108.0,0.3
경기도,여주시,4573203130.0,377029.0,8.1,142150491.0,377.0,3.1
경기도,연천군,4573203130.0,44913.0,8.1,2017136.0,45.0,0.0
경기도,오산시,4573203130.0,157131.0,8.1,24690051.0,157.0,0.5
경기도,용인시,4573203130.0,507945.0,8.1,258008411.0,508.0,5.6
경기도,의왕시,4573203130.0,213992.0,8.1,45792463.0,214.0,1.0
경기도,의정부시,4573203130.0,228624.0,8.1,52269124.0,229.0,1.1
경기도,이천시,4573203130.0,210031.0,8.1,44112840.0,210.0,1.0
경기도,파주시,4573203130.0,442700.0,8.1,195983663.0,443.0,4.3
경기도,평택시,4573203130.0,888247.0,8.1,788981863.0,888.0,17.3
경기도,포천시,4573203130.0,146636.0,8.1,21502090.0,147.0,0.5
경기도,하남시,4573203130.0,214392.0,8.1,45964017.0,214.0,1.0
경기도,화성시,4573203130.0,404651.0,8.1,163742399.0,405.0,3.6
경상남도,거제시,338623651.0,245139.0,0.6,60093079.0,245.0,17.7
경상남도,거창군,338623651.0,34901.0,0.6,1218086.0,35.0,0.4
경상남도,고성군,338623651.0,39618.0,0.6,1569579.0,40.0,0.5
경상남도,김해시,338623651.0,233226.0,0.6,54394504.0,233.0,16.1
경상남도,남해군,338623651.0,82134.0,0.6,6745930.0,82.0,2.0
경상남도,밀양시,338623651.0,53351.0,0.6,2846306.0,53.0,0.8
경상남도,사천시,338623651.0,105263.0,0.6,11080350.0,105.0,3.3
경상남도,산청군,338623651.0,34057.0,0.6,1159850.0,34.0,0.3
경상남도,양산시,338623651.0,138749.0,0.6,19251172.0,139.0,5.7
경상남도,의령군,338623651.0,16135.0,0.6,260344.0,16.0,0.1
경상남도,진주시,338623651.0,150837.0,0.6,22751677.0,151.0,6.7
