DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,DTL_TOU_NUM_RATE2
강원특별자치도,강릉시,41767976726.0,2519095.0,3.2,6345838297.0,2519.0,15.2,15.2
강원특별자치도,고성군,41767976726.0,1159223.0,3.2,1343797522.0,1159.0,3.2,3.2
강원특별자치도,동해시,41767976726.0,1274421.0,3.2,1624148383.0,1274.0,3.9,3.9
강원특별자치도,삼척시,41767976726.0,1238497.0,3.2,1533875575.0,1238.0,3.7,3.7
강원특별자치도,속초시,41767976726.0,2163114.0,3.2,4679063217.0,2163.0,11.2,11.2
강원특별자치도,양구군,41767976726.0,514014.0,3.2,264210369.0,514.0,0.6,0.6
강원특별자치도,양양군,41767976726.0,1288898.0,3.2,1661257912.0,1289.0,4.0,4.0
강원특별자치도,영월군,41767976726.0,882579.0,3.2,778946163.0,883.0,1.9,1.9
강원특별자치도,원주시,41767976726.0,2531384.0,3.2,6407905219.0,2531.0,15.3,15.3
강원특별자치도,인제군,41767976726.0,977478.0,3.2,955462658.0,977.0,2.3,2.3
강원특별자치도,정선군,41767976726.0,1081468.0,3.2,1169572162.0,1081.0,2.8,2.8
강원특별자치도,철원군,41767976726.0,764164.0,3.2,583946574.0,764.0,1.4,1.4
강원특별자치도,춘천시,41767976726.0,2271088.0,3.2,5157840636.0,2271.0,12.3,12.3
강원특별자치도,태백시,41767976726.0,887262.0,3.2,787232988.0,887.0,1.9,1.9
강원특별자치도,평창군,41767976726.0,1593049.0,3.2,2537806415.0,1593.0,6.1,6.1
강원특별자치도,홍천군,41767976726.0,1909813.0,3.2,3647384265.0,1910.0,8.7,8.7
강원특별자치도,화천군,41767976726.0,592982.0,3.2,351627769.0,593.0,0.8,0.8
강원특별자치도,횡성군,41767976726.0,1392142.0,3.2,1938060600.0,1392.0,4.6,4.6
경기도,가평군,317525454616.0,1906697.0,24.4,3635493653.0,1907.0,1.1,1.1
경기도,고양시,317525454616.0,5447170.0,24.4,29671658788.0,5447.0,9.3,9.3
경기도,과천시,317525454616.0,1167401.0,24.4,1362825560.0,1167.0,0.4,0.4
경기도,광명시,317525454616.0,2195569.0,24.4,4820524585.0,2196.0,1.5,1.5
경기도,광주시,317525454616.0,2619427.0,24.4,6861396145.0,2619.0,2.2,2.2
경기도,구리시,317525454616.0,2252004.0,24.4,5071520476.0,2252.0,1.6,1.6
경기도,군포시,317525454616.0,1732198.0,24.4,3000509326.0,1732.0,0.9,0.9
경기도,김포시,317525454616.0,3249164.0,24.4,10557069470.0,3249.0,3.3,3.3
경기도,남양주시,317525454616.0,3278007.0,24.4,10745332564.0,3278.0,3.4,3.4
경기도,동두천시,317525454616.0,1034219.0,24.4,1069608954.0,1034.0,0.3,0.3
경기도,부천시,317525454616.0,3656172.0,24.4,13367595883.0,3656.0,4.2,4.2
경기도,성남시,317525454616.0,5454816.0,24.4,29755020464.0,5455.0,9.4,9.4
경기도,수원시,317525454616.0,5639447.0,24.4,31803359701.0,5639.0,10.0,10.0
경기도,시흥시,317525454616.0,3219092.0,24.4,10362552417.0,3219.0,3.3,3.3
경기도,안산시,317525454616.0,3633219.0,24.4,13200277066.0,3633.0,4.2,4.2
경기도,안성시,317525454616.0,2810950.0,24.4,7901438643.0,2811.0,2.5,2.5
경기도,안양시,317525454616.0,3562606.0,24.4,12692160607.0,3563.0,4.0,4.0
경기도,양주시,317525454616.0,2176093.0,24.4,4735382036.0,2176.0,1.5,1.5
경기도,양평군,317525454616.0,1760117.0,24.4,3098012556.0,1760.0,1.0,1.0
경기도,여주시,317525454616.0,2864060.0,24.4,8202837504.0,2864.0,2.6,2.6
경기도,연천군,317525454616.0,845379.0,24.4,714664892.0,845.0,0.2,0.2
