DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
쇼핑업,관광기념품,52053646188.0,7214821.0,30.1,302629507.0,550118.0,0.6
쇼핑업,대형쇼핑몰,52053646188.0,7214821.0,30.1,38818979917.0,6230488.0,74.6
쇼핑업,레저용품쇼핑,52053646188.0,7214821.0,30.1,10887443249.0,3299613.0,20.9
쇼핑업,면세점,52053646188.0,7214821.0,30.1,2044593515.0,1429893.0,3.9
숙박업,기타숙박,6392251224.0,2528290.0,3.7,3366050719.0,1834680.0,52.7
숙박업,캠핑장/펜션,6392251224.0,2528290.0,3.7,32107941.0,179187.0,0.5
숙박업,콘도,6392251224.0,2528290.0,3.7,963343296.0,981501.0,15.1
숙박업,호텔,6392251224.0,2528290.0,3.7,2030749269.0,1425044.0,31.8
식음료업,식음료,89528913921.0,9461972.0,51.7,89528913921.0,9461972.0,100.0
여가서비스업,골프장,13410970367.0,3662099.0,7.7,8340742556.0,2888034.0,62.2
여가서비스업,관광유원시설,13410970367.0,3662099.0,7.7,301372699.0,548974.0,2.2
여가서비스업,기타레저,13410970367.0,3662099.0,7.7,2730862210.0,1652532.0,20.4
여가서비스업,문화서비스,13410970367.0,3662099.0,7.7,1985695058.0,1409147.0,14.8
여가서비스업,스키장,13410970367.0,3662099.0,7.7,52291968.0,228674.0,0.4
여가서비스업,카지노,13410970367.0,3662099.0,7.7,5876.0,2424.0,0.0
여행업,여행업,810644654.0,900358.0,0.5,810644654.0,900358.0,100.0
운송업,렌터카,10867202560.0,3296544.0,6.3,524402408.0,724156.0,4.8
운송업,수상운송,10867202560.0,3296544.0,6.3,384441303.0,620033.0,3.5
운송업,육상운송,10867202560.0,3296544.0,6.3,5803344267.0,2409013.0,53.4
운송업,항공운송,10867202560.0,3296544.0,6.3,4155014583.0,2038385.0,38.2
