DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
쇼핑업,기타관광쇼핑,24958826662.0,4995881.0,44.4,8809387959.0,2968061.0,35.3
쇼핑업,대형쇼핑몰,24958826662.0,4995881.0,44.4,11765896771.0,3430145.0,47.1
쇼핑업,레저용품쇼핑,24958826662.0,4995881.0,44.4,974755828.0,987297.0,3.9
쇼핑업,면세점,24958826662.0,4995881.0,44.4,3408786104.0,1846290.0,13.7
숙박업,기타숙박,10371909209.0,3220545.0,18.5,1990732631.0,1410933.0,19.2
숙박업,캠핑장/펜션,10371909209.0,3220545.0,18.5,34062567.0,184560.0,0.3
숙박업,콘도,10371909209.0,3220545.0,18.5,249364860.0,499364.0,2.4
숙박업,호텔,10371909209.0,3220545.0,18.5,8097749150.0,2845654.0,78.1
식음료업,일반외식업,7704308561.0,2775664.0,13.7,6363732443.0,2522644.0,82.6
식음료업,제과음료업,7704308561.0,2775664.0,13.7,1340576118.0,1157833.0,17.4
여가서비스업,골프장,3389927713.0,1841176.0,6.0,144482897.0,380109.0,4.3
여가서비스업,관광유원시설,3389927713.0,1841176.0,6.0,64659289.0,254282.0,1.9
여가서비스업,기타레저,3389927713.0,1841176.0,6.0,246774436.0,496764.0,7.3
여가서비스업,문화서비스,3389927713.0,1841176.0,6.0,195276853.0,441901.0,5.8
여가서비스업,스키장,3389927713.0,1841176.0,6.0,1477208.0,38434.0,0.0
여가서비스업,카지노,3389927713.0,1841176.0,6.0,2737257032.0,1654466.0,80.7
여행업,여행업,65480601.0,255892.0,0.1,65480601.0,255892.0,100.0
운송업,렌터카,1541729388.0,1241664.0,2.7,153994454.0,392421.0,10.0
운송업,수상운송,1541729388.0,1241664.0,2.7,6787275.0,82385.0,0.4
운송업,육상운송,1541729388.0,1241664.0,2.7,1248178937.0,1117219.0,81.0
운송업,항공운송,1541729388.0,1241664.0,2.7,132768721.0,364374.0,8.6
의료웰니스업,뷰티,8132139604.0,2851691.0,14.5,3027674105.0,1740021.0,37.2
의료웰니스업,의료관광,8132139604.0,2851691.0,14.5,5104465498.0,2259306.0,62.8
