DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,DTL_TOU_NUM_RATE2
쇼핑업,기타관광쇼핑,517738913133.0,22753877.0,39.8,218137679290.0,14769485.0,42.1,16.8
쇼핑업,대형쇼핑몰,517738913133.0,22753877.0,39.8,261577767297.0,16173366.0,50.5,20.1
쇼핑업,레저용품쇼핑,517738913133.0,22753877.0,39.8,27839300302.0,5276296.0,5.4,2.1
쇼핑업,면세점,517738913133.0,22753877.0,39.8,10184166243.0,3191264.0,2.0,0.8
숙박업,기타숙박,29233105103.0,5406765.0,2.2,11373622848.0,3372480.0,38.9,0.9
숙박업,캠핑장/펜션,29233105103.0,5406765.0,2.2,780827475.0,883644.0,2.7,0.1
숙박업,콘도,29233105103.0,5406765.0,2.2,4155763675.0,2038569.0,14.2,0.3
숙박업,호텔,29233105103.0,5406765.0,2.2,12922891105.0,3594842.0,44.2,1.0
식음료업,일반외식업,386397765720.0,19657003.0,29.7,327826211896.0,18105972.0,84.8,25.2
식음료업,제과음료업,386397765720.0,19657003.0,29.7,58571553824.0,7653205.0,15.2,4.5
여가서비스업,골프장,54023507444.0,7350069.0,4.2,27689727085.0,5262103.0,51.3,2.1
여가서비스업,관광유원시설,54023507444.0,7350069.0,4.2,3566024937.0,1888392.0,6.6,0.3
여가서비스업,기타레저,54023507444.0,7350069.0,4.2,14134757352.0,3759622.0,26.2,1.1
여가서비스업,문화서비스,54023507444.0,7350069.0,4.2,8438318521.0,2904878.0,15.6,0.6
여가서비스업,스키장,54023507444.0,7350069.0,4.2,194679548.0,441225.0,0.4,0.0
여행업,여행업,3954380988.0,1988563.0,0.3,3954380988.0,1988563.0,100.0,0.3
운송업,렌터카,281958960636.0,16791634.0,21.7,2304847164.0,1518172.0,0.8,0.2
운송업,수상운송,281958960636.0,16791634.0,21.7,965371927.0,982533.0,0.3,0.1
운송업,육상운송,281958960636.0,16791634.0,21.7,257506710713.0,16047016.0,91.3,19.8
운송업,항공운송,281958960636.0,16791634.0,21.7,21182030833.0,4602394.0,7.5,1.6
의료웰니스업,뷰티,26896779784.0,5186211.0,2.1,26896779784.0,5186211.0,100.0,2.1
