SIDO_NM,PTL_SIDO_CD,TOU_NUM,SPPY_TOU_NUM
서울특별시,KR-11,4993771024.0,0.0
부산광역시,KR-26,1249445806.0,0.0
대구광역시,KR-27,877860018.0,0.0
인천광역시,KR-28,1418267246.0,0.0
광주광역시,KR-29,544453940.0,0.0
대전광역시,KR-30,697788259.0,0.0
울산광역시,KR-31,411105040.0,0.0
세종특별자치시,KR-36,230055388.0,0.0
경기도,KR-41,5293344438.0,0.0
충청북도,KR-43,935226008.0,0.0
충청남도,KR-44,1361688174.0,0.0
전라남도,KR-46,1032006326.0,0.0
경상북도,KR-47,1498136402.0,0.0
경상남도,KR-48,1314742054.0,0.0
제주특별자치도,KR-50,494636750.0,0.0
강원특별자치도,KR-51,1243879252.0,0.0
전북특별자치도,KR-52,803676608.0,0.0
전남광주통합특별시,KR-12,22224580.0,0.0
