SIDO_NM,PTL_SIDO_CD,TOU_NUM,SPPY_TOU_NUM
서울특별시,KR-11,14010636213.0,0.0
부산광역시,KR-26,4457518068.0,0.0
대구광역시,KR-27,3671674436.0,0.0
인천광역시,KR-28,3905562143.0,0.0
광주광역시,KR-29,2185543556.0,0.0
대전광역시,KR-30,2249504537.0,0.0
울산광역시,KR-31,1652710350.0,0.0
세종특별자치시,KR-36,509570358.0,0.0
경기도,KR-41,18892404612.0,0.0
충청북도,KR-43,2434944306.0,0.0
충청남도,KR-44,3278641264.0,0.0
전라남도,KR-46,2825941811.0,0.0
경상북도,KR-47,4278663400.0,0.0
경상남도,KR-48,5002402920.0,0.0
제주특별자치도,KR-50,1645077976.0,0.0
강원특별자치도,KR-51,2976604508.0,0.0
전북특별자치도,KR-52,3037756970.0,0.0
전남광주통합특별시,KR-12,109618866.0,0.0
