SIDO_CD,SIDO_NM,TOU_NUM,TOU_NUM_RATE
11,서울특별시,4993771024.0,20.4
26,부산광역시,1249445806.0,5.1
27,대구광역시,877860018.0,3.6
28,인천광역시,1418267246.0,5.8
29,광주광역시,556511030.0,2.3
30,대전광역시,697788259.0,2.9
31,울산광역시,411105040.0,1.7
36,세종특별자치시,230055388.0,0.9
41,경기도,5293344438.0,21.6
43,충청북도,935226008.0,3.8
44,충청남도,1361688174.0,5.6
46,전라남도,1054317538.0,4.3
47,경상북도,1498136402.0,6.1
48,경상남도,1314742054.0,5.4
50,제주특별자치도,494636750.0,2.0
51,강원특별자치도,1243879252.0,5.1
52,전북특별자치도,803676608.0,3.3
12,전남광주통합특별시,22224580.0,0.1
