SIDO_CD,SIDO_NM,TOU_NUM,TOU_NUM_RATE
11,서울특별시,14010636213.0,18.1
26,부산광역시,4457518068.0,5.8
27,대구광역시,3671674436.0,4.8
28,인천광역시,3905562143.0,5.1
29,광주광역시,2230630556.0,2.9
30,대전광역시,2249504537.0,2.9
31,울산광역시,1652710350.0,2.1
36,세종특별자치시,509570358.0,0.7
41,경기도,18892404612.0,24.5
43,충청북도,2434944306.0,3.2
44,충청남도,3278641264.0,4.2
46,전라남도,2890858394.0,3.7
47,경상북도,4278663400.0,5.5
48,경상남도,5002402920.0,6.5
50,제주특별자치도,1645077976.0,2.1
51,강원특별자치도,2976604508.0,3.9
52,전북특별자치도,3037756970.0,3.9
12,전남광주통합특별시,109618866.0,0.1
