R:기초단체,R:광역단체,R:기준연월,C:숙박일수,C:방문자유형별,V:관광객수,V:숙박자수,V:숙박체류시간
가평군,경기도,202608,1박,외국인(c),871.0,3.2,25406.8
가평군,경기도,202608,1박,외지인(b),456519.0,2.27,10966536.34
가평군,경기도,202608,2박,외국인(c),541.0,3.2,27441.67
가평군,경기도,202608,2박,외지인(b),94151.0,2.27,4463420.05
가평군,경기도,202608,3박,외국인(c),167.0,3.2,23720.49
가평군,경기도,202608,3박,외지인(b),10272.0,2.27,1919949.83
가평군,경기도,202608,4박,외국인(c),109.0,3.2,30805.45
가평군,경기도,202608,4박,외지인(b),3201.0,2.27,1437975.46
가평군,경기도,202608,5박,외국인(c),93.0,3.2,39859.69
가평군,경기도,202608,5박,외지인(b),1637.0,2.27,1326112.73
가평군,경기도,202608,6박,외국인(c),36.0,3.2,25368.16
가평군,경기도,202608,6박,외지인(b),695.0,2.27,848478.05
가평군,경기도,202608,7박이상,외국인(c),89.0,3.2,99371.52
가평군,경기도,202608,7박이상,외지인(b),3124.0,2.27,6357948.04
가평군,경기도,202608,무박,외국인(c),11108.0,0.0,41831.63
가평군,경기도,202608,무박,외지인(b),1934229.0,0.0,9990607.42
강남구,서울특별시,202608,1박,외국인(c),14966.0,3.3,352614.72
강남구,서울특별시,202608,1박,외지인(b),381916.0,2.86,20671172.95
강남구,서울특별시,202608,2박,외국인(c),10255.0,3.3,369519.79
강남구,서울특별시,202608,2박,외지인(b),77764.0,2.86,7317682.52
강남구,서울특별시,202608,3박,외국인(c),6337.0,3.3,648412.86
강남구,서울특별시,202608,3박,외지인(b),32928.0,2.86,8708580.15
강남구,서울특별시,202608,4박,외국인(c),3398.0,3.3,693168.02
강남구,서울특별시,202608,4박,외지인(b),18068.0,2.86,8853951.76
강남구,서울특별시,202608,5박,외국인(c),1486.0,3.3,531567.7
강남구,서울특별시,202608,5박,외지인(b),11884.0,2.86,9191311.9
강남구,서울특별시,202608,6박,외국인(c),693.0,3.3,394384.13
강남구,서울특별시,202608,6박,외지인(b),8172.0,2.86,8746533.86
강남구,서울특별시,202608,7박이상,외국인(c),1233.0,3.3,1306870.42
강남구,서울특별시,202608,7박이상,외지인(b),33412.0,2.86,64340032.38
강남구,서울특별시,202608,무박,외국인(c),225100.0,0.0,841725.12
강남구,서울특별시,202608,무박,외지인(b),16943939.0,0.0,42962783.98
강동구,서울특별시,202608,1박,외국인(c),1006.0,3.65,35965.1
강동구,서울특별시,202608,1박,외지인(b),168647.0,3.11,10673790.15
강동구,서울특별시,202608,2박,외국인(c),564.0,3.65,28804.4
강동구,서울특별시,202608,2박,외지인(b),42435.0,3.11,4415835.3
강동구,서울특별시,202608,3박,외국인(c),365.0,3.65,51180.65
강동구,서울특별시,202608,3박,외지인(b),19538.0,3.11,5424853.74
강동구,서울특별시,202608,4박,외국인(c),284.0,3.65,63627.67
강동구,서울특별시,202608,4박,외지인(b),10678.0,3.11,5515558.09
강동구,서울특별시,202608,5박,외국인(c),149.0,3.65,59329.2
강동구,서울특별시,202608,5박,외지인(b),7074.0,3.11,5526142.84
강동구,서울특별시,202608,6박,외국인(c),83.0,3.65,50582.41
강동구,서울특별시,202608,6박,외지인(b),5003.0,3.11,5481508.96
강동구,서울특별시,202608,7박이상,외국인(c),207.0,3.65,235233.36
강동구,서울특별시,202608,7박이상,외지인(b),23123.0,3.11,43240482.96
강동구,서울특별시,202608,무박,외국인(c),10133.0,0.0,62569.04
강동구,서울특별시,202608,무박,외지인(b),4012527.0,0.0,11294919.53
강릉시,강원특별자치도,202608,1박,외국인(c),1402.0,2.72,31367.41
강릉시,강원특별자치도,202608,1박,외지인(b),479971.0,2.55,12039349.38
강릉시,강원특별자치도,202608,2박,외국인(c),643.0,2.72,28913.61
강릉시,강원특별자치도,202608,2박,외지인(b),219518.0,2.55,9501542.71
강릉시,강원특별자치도,202608,3박,외국인(c),191.0,2.72,25545.66
강릉시,강원특별자치도,202608,3박,외지인(b),38257.0,2.55,5900501.39
강릉시,강원특별자치도,202608,4박,외국인(c),75.0,2.72,21864.03
강릉시,강원특별자치도,202608,4박,외지인(b),10612.0,2.55,3917522.89
강릉시,강원특별자치도,202608,5박,외국인(c),19.0,2.72,9464.35
강릉시,강원특별자치도,202608,5박,외지인(b),4789.0,2.55,3434001.66
강릉시,강원특별자치도,202608,6박,외국인(c),14.0,2.72,8701.81
강릉시,강원특별자치도,202608,6박,외지인(b),2921.0,2.55,2949075.07
강릉시,강원특별자치도,202608,7박이상,외국인(c),54.0,2.72,71026.67
강릉시,강원특별자치도,202608,7박이상,외지인(b),9729.0,2.55,19728202.2
강릉시,강원특별자치도,202608,무박,외국인(c),7460.0,0.0,46568.92
강릉시,강원특별자치도,202608,무박,외지인(b),2015420.0,0.0,11911772.92
강북구,서울특별시,202608,1박,외국인(c),846.0,3.56,26716.06
강북구,서울특별시,202608,1박,외지인(b),119395.0,2.94,6498198.71
강북구,서울특별시,202608,2박,외국인(c),415.0,3.56,19120.02
강북구,서울특별시,202608,2박,외지인(b),26000.0,2.94,2669724.49
강북구,서울특별시,202608,3박,외국인(c),336.0,3.56,37397.21
강북구,서울특별시,202608,3박,외지인(b),11224.0,2.94,3078990.42
강북구,서울특별시,202608,4박,외국인(c),230.0,3.56,48749.76
강북구,서울특별시,202608,4박,외지인(b),6140.0,2.94,3126358.38
강북구,서울특별시,202608,5박,외국인(c),109.0,3.56,40963.96
강북구,서울특별시,202608,5박,외지인(b),3969.0,2.94,2987292.79
강북구,서울특별시,202608,6박,외국인(c),68.0,3.56,42666.79
강북구,서울특별시,202608,6박,외지인(b),2826.0,2.94,2888407.34
강북구,서울특별시,202608,7박이상,외국인(c),129.0,3.56,140976.57
강북구,서울특별시,202608,7박이상,외지인(b),12327.0,2.94,21633801.84
강북구,서울특별시,202608,무박,외국인(c),5823.0,0.0,38756.93
강북구,서울특별시,202608,무박,외지인(b),2368602.0,0.0,6087541.34
강서구,부산광역시,202608,1박,외국인(c),8978.0,3.37,322097.24
강서구,부산광역시,202608,1박,외지인(b),88678.0,2.84,4402330.89
강서구,부산광역시,202608,2박,외국인(c),3029.0,3.37,201288.23
강서구,부산광역시,202608,2박,외지인(b),20859.0,2.84,1827582.82
강서구,부산광역시,202608,3박,외국인(c),1608.0,3.37,277922.51
강서구,부산광역시,202608,3박,외지인(b),8152.0,2.84,1917142.89
강서구,부산광역시,202608,4박,외국인(c),871.0,3.37,290892.72
강서구,부산광역시,202608,4박,외지인(b),4146.0,2.84,1934339.26
강서구,부산광역시,202608,5박,외국인(c),650.0,3.37,328133.12
강서구,부산광역시,202608,5박,외지인(b),2853.0,2.84,2276661.92
강서구,부산광역시,202608,6박,외국인(c),499.0,3.37,374173.9
강서구,부산광역시,202608,6박,외지인(b),1596.0,2.84,1872429.91
강서구,부산광역시,202608,7박이상,외국인(c),1598.0,3.37,2083267.76
강서구,부산광역시,202608,7박이상,외지인(b),7251.0,2.84,14575148.54
강서구,부산광역시,202608,무박,외국인(c),211956.0,0.0,702703.13
강서구,부산광역시,202608,무박,외지인(b),3452524.0,0.0,7897024.89
강서구,서울특별시,202608,1박,외국인(c),6466.0,3.07,129443.61
강서구,서울특별시,202608,1박,외지인(b),227666.0,2.93,12132643.97
강서구,서울특별시,202608,2박,외국인(c),2784.0,3.07,96717.56
강서구,서울특별시,202608,2박,외지인(b),51028.0,2.93,4986316.99
강서구,서울특별시,202608,3박,외국인(c),1543.0,3.07,147854.38
강서구,서울특별시,202608,3박,외지인(b),21297.0,2.93,5783411.34
강서구,서울특별시,202608,4박,외국인(c),839.0,3.07,166402.92
강서구,서울특별시,202608,4박,외지인(b),11431.0,2.93,5802741.16
강서구,서울특별시,202608,5박,외국인(c),314.0,3.07,117895.8
강서구,서울특별시,202608,5박,외지인(b),7582.0,2.93,6027552.39
강서구,서울특별시,202608,6박,외국인(c),210.0,3.07,123535.39
강서구,서울특별시,202608,6박,외지인(b),5474.0,2.93,5905010.37
강서구,서울특별시,202608,7박이상,외국인(c),470.0,3.07,540185.88
강서구,서울특별시,202608,7박이상,외지인(b),22998.0,2.93,44383500.88
강서구,서울특별시,202608,무박,외국인(c),128525.0,0.0,288318.01
강서구,서울특별시,202608,무박,외지인(b),7210454.0,0.0,17133064.47
강진군,전남광주통합특별시,202608,1박,외국인(c),33.0,3.64,1387.95
강진군,전남광주통합특별시,202608,1박,외지인(b),32665.0,2.69,1091247.88
강진군,전남광주통합특별시,202608,2박,외국인(c),9.0,3.64,855.43
강진군,전남광주통합특별시,202608,2박,외지인(b),8909.0,2.69,523553.77
강진군,전남광주통합특별시,202608,3박,외국인(c),1.0,3.64,136.29
강진군,전남광주통합특별시,202608,3박,외지인(b),3079.0,2.69,630899.71
강진군,전남광주통합특별시,202608,4박,외국인(c),5.0,3.64,1650.51
강진군,전남광주통합특별시,202608,4박,외지인(b),1196.0,2.69,527352.0
강진군,전남광주통합특별시,202608,5박,외국인(c),4.0,3.64,2127.18
