SIDO_NM,SGG_CD,PTL_SIDO_CD,TOU_NUM,SPPY_TOU_NUM
종로구,11110,KR-11110,1136317924.0,0.0
중구,11140,KR-11140,1154117710.0,0.0
용산구,11170,KR-11170,856712476.0,0.0
성동구,11200,KR-11200,526097782.0,0.0
광진구,11215,KR-11215,598306054.0,0.0
동대문구,11230,KR-11230,467735303.0,0.0
중랑구,11260,KR-11260,308707518.0,0.0
성북구,11290,KR-11290,442605086.0,0.0
강북구,11305,KR-11305,280043561.0,0.0
도봉구,11320,KR-11320,265255372.0,0.0
노원구,11350,KR-11350,487513688.0,0.0
은평구,11380,KR-11380,315627190.0,0.0
서대문구,11410,KR-11410,708397907.0,0.0
마포구,11440,KR-11440,987195482.0,0.0
양천구,11470,KR-11470,334897286.0,0.0
강서구,11500,KR-11500,655013334.0,0.0
구로구,11530,KR-11530,526871716.0,0.0
금천구,11545,KR-11545,248298120.0,0.0
영등포구,11560,KR-11560,923972357.0,0.0
동작구,11590,KR-11590,496745798.0,0.0
관악구,11620,KR-11620,503411352.0,0.0
서초구,11650,KR-11650,1390842072.0,0.0
강남구,11680,KR-11680,1805139248.0,0.0
송파구,11710,KR-11710,1021214534.0,0.0
강동구,11740,KR-11740,444893757.0,0.0
중구,26110,KR-26110,331387364.0,0.0
서구,26140,KR-26140,175512698.0,0.0
동구,26170,KR-26170,278204535.0,0.0
영도구,26200,KR-26200,149572108.0,0.0
부산진구,26230,KR-26230,603988252.0,0.0
동래구,26260,KR-26260,318037828.0,0.0
남구,26290,KR-26290,258295674.0,0.0
북구,26320,KR-26320,199148376.0,0.0
해운대구,26350,KR-26350,572244225.0,0.0
사하구,26380,KR-26380,203211348.0,0.0
금정구,26410,KR-26410,251008688.0,0.0
강서구,26440,KR-26440,319977273.0,0.0
연제구,26470,KR-26470,245082380.0,0.0
수영구,26500,KR-26500,315733782.0,0.0
사상구,26530,KR-26530,243716578.0,0.0
기장군,26710,KR-26710,338619099.0,0.0
중구,27110,KR-27110,560095462.0,0.0
동구,27140,KR-27140,495882289.0,0.0
서구,27170,KR-27170,180483734.0,0.0
남구,27200,KR-27200,236082424.0,0.0
북구,27230,KR-27230,419928212.0,0.0
수성구,27260,KR-27260,417723103.0,0.0
달서구,27290,KR-27290,465908762.0,0.0
달성군,27710,KR-27710,253926323.0,0.0
군위군,27720,KR-27720,62533261.0,0.0
중구,28110,KR-28110,598723570.0,0.0
동구,28140,KR-28140,77878804.0,0.0
미추홀구,28177,KR-28177,381476662.0,0.0
연수구,28185,KR-28185,380293900.0,0.0
남동구,28200,KR-28200,456286243.0,0.0
부평구,28237,KR-28237,421247740.0,0.0
계양구,28245,KR-28245,247722202.0,0.0
서구,28260,KR-28260,432472068.0,0.0
강화군,28710,KR-28710,139772784.0,0.0
옹진군,28720,KR-28720,51815180.0,0.0
동구,12210,KR-12210,289880841.0,0.0
서구,12240,KR-12240,426413149.0,0.0
남구,12270,KR-12270,178091356.0,0.0
북구,12300,KR-12300,396703610.0,0.0
광산구,12330,KR-12330,381844745.0,0.0
동구,30110,KR-30110,315246407.0,0.0
중구,30140,KR-30140,371433510.0,0.0
서구,30170,KR-30170,509298962.0,0.0
유성구,30200,KR-30200,488790494.0,0.0
대덕구,30230,KR-30230,217019985.0,0.0
중구,31110,KR-31110,212102244.0,0.0
남구,31140,KR-31140,376694118.0,0.0
동구,31170,KR-31170,110675712.0,0.0
북구,31200,KR-31200,197708536.0,0.0
울주군,31710,KR-31710,284150874.0,0.0
수원시,41110,KR-41110,1487954220.0,0.0
수원시 장안구,41111,KR-41111,330317250.0,0.0
수원시 권선구,41113,KR-41113,368948430.0,0.0
수원시 팔달구,41115,KR-41115,557637122.0,0.0
수원시 영통구,41117,KR-41117,479882788.0,0.0
성남시,41130,KR-41130,1216614536.0,0.0
성남시 수정구,41131,KR-41131,346791081.0,0.0
성남시 중원구,41133,KR-41133,228018532.0,0.0
성남시 분당구,41135,KR-41135,742383134.0,0.0
의정부시,41150,KR-41150,362744305.0,0.0
안양시,41170,KR-41170,576109488.0,0.0
안양시 만안구,41171,KR-41171,270219120.0,0.0
안양시 동안구,41173,KR-41173,355249730.0,0.0
부천시,41190,KR-41190,706377724.0,0.0
광명시,41210,KR-41210,346488681.0,0.0
평택시,41220,KR-41220,396993986.0,0.0
동두천시,41250,KR-41250,82752674.0,0.0
안산시,41270,KR-41270,639533608.0,0.0
안산시 상록구,41271,KR-41271,247972896.0,0.0
안산시 단원구,41273,KR-41273,448773213.0,0.0
고양시,41280,KR-41280,1172874720.0,0.0
고양시 덕양구,41281,KR-41281,528615885.0,0.0
고양시 일산동구,41285,KR-41285,509566176.0,0.0
고양시 일산서구,41287,KR-41287,360048798.0,0.0
과천시,41290,KR-41290,169551291.0,0.0
구리시,41310,KR-41310,383207100.0,0.0
남양주시,41360,KR-41360,597726770.0,0.0
오산시,41370,KR-41370,238238074.0,0.0
시흥시,41390,KR-41390,457583354.0,0.0
군포시,41410,KR-41410,219608774.0,0.0
의왕시,41430,KR-41430,236636491.0,0.0
하남시,41450,KR-41450,460323266.0,0.0
용인시,41460,KR-41460,1108773323.0,0.0
용인시 처인구,41461,KR-41461,397419855.0,0.0
용인시 기흥구,41463,KR-41463,497756886.0,0.0
용인시 수지구,41465,KR-41465,305867698.0,0.0
파주시,41480,KR-41480,439819296.0,0.0
이천시,41500,KR-41500,321336348.0,0.0
안성시,41550,KR-41550,297871014.0,0.0
김포시,41570,KR-41570,430898328.0,0.0
화성시,41590,KR-41590,831405852.0,0.0
광주시,41610,KR-41610,400164166.0,0.0
양주시,41630,KR-41630,276246302.0,0.0
포천시,41650,KR-41650,239690706.0,0.0
여주시,41670,KR-41670,219662306.0,0.0
연천군,41800,KR-41800,74039612.0,0.0
가평군,41820,KR-41820,223206232.0,0.0
양평군,41830,KR-41830,264388194.0,0.0
청주시,43110,KR-43110,919844796.0,0.0
청주시 상당구,43111,KR-43111,259215159.0,0.0
청주시 서원구,43112,KR-43112,260895390.0,0.0
청주시 흥덕구,43113,KR-43113,314919644.0,0.0
청주시 청원구,43114,KR-43114,229380746.0,0.0
충주시,43130,KR-43130,220644501.0,0.0
제천시,43150,KR-43150,123560188.0,0.0
보은군,43720,KR-43720,60138456.0,0.0
옥천군,43730,KR-43730,93315971.0,0.0
영동군,43740,KR-43740,55566962.0,0.0
증평군,43745,KR-43745,49308962.0,0.0
진천군,43750,KR-43750,106999112.0,0.0
괴산군,43760,KR-43760,86933878.0,0.0
음성군,43770,KR-43770,147981988.0,0.0
단양군,43800,KR-43800,74198240.0,0.0
천안시,44130,KR-44130,666905498.0,0.0
천안시 동남구,44131,KR-44131,384331006.0,0.0
천안시 서북구,44133,KR-44133,333462829.0,0.0
공주시,44150,KR-44150,219613908.0,0.0
보령시,44180,KR-44180,144728850.0,0.0
아산시,44200,KR-44200,301575365.0,0.0
서산시,44210,KR-44210,155393735.0,0.0
논산시,44230,KR-44230,136687974.0,0.0
계룡시,44250,KR-44250,43071550.0,0.0
당진시,44270,KR-44270,180552785.0,0.0
금산군,44710,KR-44710,85772099.0,0.0
부여군,44760,KR-44760,91389172.0,0.0
서천군,44770,KR-44770,84932953.0,0.0
청양군,44790,KR-44790,40121904.0,0.0
홍성군,44800,KR-44800,105085970.0,0.0
예산군,44810,KR-44810,124936704.0,0.0
태안군,44825,KR-44825,143641491.0,0.0
목포시,12110,KR-12110,215254880.0,0.0
여수시,12130,KR-12130,220465126.0,0.0
순천시,12150,KR-12150,213350243.0,0.0
나주시,12170,KR-12170,135290340.0,0.0
광양시,12190,KR-12190,114246469.0,0.0
담양군,12710,KR-12710,128696930.0,0.0
곡성군,12720,KR-12720,45611331.0,0.0
구례군,12730,KR-12730,50207103.0,0.0
고흥군,12740,KR-12740,54945126.0,0.0
보성군,12750,KR-12750,58599853.0,0.0
화순군,12760,KR-12760,104546655.0,0.0
장흥군,12770,KR-12770,43727461.0,0.0
강진군,12780,KR-12780,47851899.0,0.0
해남군,12790,KR-12790,74095697.0,0.0
영암군,12800,KR-12800,85846469.0,0.0
무안군,12810,KR-12810,126518182.0,0.0
함평군,12820,KR-12820,51209482.0,0.0
영광군,12830,KR-12830,60720355.0,0.0
장성군,12840,KR-12840,83903916.0,0.0
완도군,12850,KR-12850,51348564.0,0.0
진도군,12860,KR-12860,40425554.0,0.0
신안군,12870,KR-12870,56942123.0,0.0
포항시,47110,KR-47110,452964088.0,0.0
포항시 남구,47111,KR-47111,248161140.0,0.0
포항시 북구,47113,KR-47113,254084803.0,0.0
