SIDO_NM,SGG_CD,PTL_SIDO_CD,TOU_NUM,SPPY_TOU_NUM
종로구,11110,KR-11110,472070876.0,0.0
중구,11140,KR-11140,463083422.0,0.0
용산구,11170,KR-11170,486176688.0,0.0
성동구,11200,KR-11200,507351744.0,0.0
광진구,11215,KR-11215,640528850.0,0.0
동대문구,11230,KR-11230,551426656.0,0.0
중랑구,11260,KR-11260,553980854.0,0.0
성북구,11290,KR-11290,708819492.0,0.0
강북구,11305,KR-11305,430405944.0,0.0
도봉구,11320,KR-11320,394695528.0,0.0
노원구,11350,KR-11350,888302786.0,0.0
은평구,11380,KR-11380,627118832.0,0.0
서대문구,11410,KR-11410,532204757.0,0.0
마포구,11440,KR-11440,784331149.0,0.0
양천구,11470,KR-11470,536974326.0,0.0
강서구,11500,KR-11500,791283696.0,0.0
구로구,11530,KR-11530,582382990.0,0.0
금천구,11545,KR-11545,280502884.0,0.0
영등포구,11560,KR-11560,816867244.0,0.0
동작구,11590,KR-11590,550414326.0,0.0
관악구,11620,KR-11620,693236754.0,0.0
서초구,11650,KR-11650,996859640.0,0.0
강남구,11680,KR-11680,1543455532.0,0.0
송파구,11710,KR-11710,1292639663.0,0.0
강동구,11740,KR-11740,836694862.0,0.0
중구,26110,KR-26110,115592057.0,0.0
서구,26140,KR-26140,154616553.0,0.0
동구,26170,KR-26170,137611740.0,0.0
영도구,26200,KR-26200,182736480.0,0.0
부산진구,26230,KR-26230,608690450.0,0.0
동래구,26260,KR-26260,399694446.0,0.0
남구,26290,KR-26290,425379353.0,0.0
북구,26320,KR-26320,442712994.0,0.0
해운대구,26350,KR-26350,724928446.0,0.0
사하구,26380,KR-26380,433435037.0,0.0
금정구,26410,KR-26410,374918915.0,0.0
강서구,26440,KR-26440,226623411.0,0.0
연제구,26470,KR-26470,238162452.0,0.0
수영구,26500,KR-26500,279890804.0,0.0
사상구,26530,KR-26530,279024652.0,0.0
기장군,26710,KR-26710,271849036.0,0.0
중구,27110,KR-27110,219471906.0,0.0
동구,27140,KR-27140,552362786.0,0.0
서구,27170,KR-27170,199274523.0,0.0
남구,27200,KR-27200,215829512.0,0.0
북구,27230,KR-27230,782384732.0,0.0
수성구,27260,KR-27260,748665365.0,0.0
달서구,27290,KR-27290,948092184.0,0.0
달성군,27710,KR-27710,362259751.0,0.0
군위군,27720,KR-27720,31155106.0,0.0
중구,28110,KR-28110,309506810.0,0.0
동구,28140,KR-28140,73599134.0,0.0
미추홀구,28177,KR-28177,581790594.0,0.0
연수구,28185,KR-28185,624762285.0,0.0
남동구,28200,KR-28200,683786138.0,0.0
부평구,28237,KR-28237,688267181.0,0.0
계양구,28245,KR-28245,385568442.0,0.0
서구,28260,KR-28260,923413561.0,0.0
강화군,28710,KR-28710,148344164.0,0.0
옹진군,28720,KR-28720,29808706.0,0.0
동구,12210,KR-12210,209967366.0,0.0
서구,12240,KR-12240,538569871.0,0.0
남구,12270,KR-12270,259649666.0,0.0
북구,12300,KR-12300,762073392.0,0.0
광산구,12330,KR-12330,714114835.0,0.0
동구,30110,KR-30110,311137718.0,0.0
중구,30140,KR-30140,377097556.0,0.0
서구,30170,KR-30170,823238311.0,0.0
유성구,30200,KR-30200,705024786.0,0.0
대덕구,30230,KR-30230,252463858.0,0.0
중구,31110,KR-31110,336601370.0,0.0
남구,31140,KR-31140,606023201.0,0.0
동구,31170,KR-31170,268160473.0,0.0
북구,31200,KR-31200,327612397.0,0.0
울주군,31710,KR-31710,376474518.0,0.0
수원시,41110,KR-41110,1729220518.0,0.0
수원시 장안구,41111,KR-41111,431358686.0,0.0
수원시 권선구,41113,KR-41113,439346260.0,0.0
수원시 팔달구,41115,KR-41115,331957241.0,0.0
수원시 영통구,41117,KR-41117,561436211.0,0.0
성남시,41130,KR-41130,1686534794.0,0.0
성남시 수정구,41131,KR-41131,334136754.0,0.0
성남시 중원구,41133,KR-41133,267434450.0,0.0
성남시 분당구,41135,KR-41135,1114597463.0,0.0
의정부시,41150,KR-41150,753812570.0,0.0
안양시,41170,KR-41170,843653370.0,0.0
안양시 만안구,41171,KR-41171,352134986.0,0.0
안양시 동안구,41173,KR-41173,514640049.0,0.0
부천시,41190,KR-41190,1400041184.0,0.0
광명시,41210,KR-41210,426604854.0,0.0
평택시,41220,KR-41220,885591567.0,0.0
동두천시,41250,KR-41250,152012175.0,0.0
안산시,41270,KR-41270,939692565.0,0.0
안산시 상록구,41271,KR-41271,413394740.0,0.0
안산시 단원구,41273,KR-41273,564029221.0,0.0
고양시,41280,KR-41280,1650435983.0,0.0
고양시 덕양구,41281,KR-41281,735349188.0,0.0
고양시 일산동구,41285,KR-41285,582688662.0,0.0
고양시 일산서구,41287,KR-41287,465365050.0,0.0
과천시,41290,KR-41290,169511412.0,0.0
구리시,41310,KR-41310,405474174.0,0.0
남양주시,41360,KR-41360,1126519166.0,0.0
오산시,41370,KR-41370,366447186.0,0.0
시흥시,41390,KR-41390,628877921.0,0.0
군포시,41410,KR-41410,447328637.0,0.0
의왕시,41430,KR-41430,204097887.0,0.0
하남시,41450,KR-41450,525328489.0,0.0
용인시,41460,KR-41460,1655951325.0,0.0
용인시 처인구,41461,KR-41461,463610049.0,0.0
용인시 기흥구,41463,KR-41463,700162634.0,0.0
용인시 수지구,41465,KR-41465,520016402.0,0.0
파주시,41480,KR-41480,686510290.0,0.0
이천시,41500,KR-41500,424404743.0,0.0
안성시,41550,KR-41550,353190772.0,0.0
김포시,41570,KR-41570,838714534.0,0.0
화성시,41590,KR-41590,1354229114.0,0.0
광주시,41610,KR-41610,613629012.0,0.0
양주시,41630,KR-41630,398420550.0,0.0
포천시,41650,KR-41650,281171520.0,0.0
여주시,41670,KR-41670,231195114.0,0.0
연천군,41800,KR-41800,81288092.0,0.0
가평군,41820,KR-41820,125289115.0,0.0
양평군,41830,KR-41830,224003752.0,0.0
청주시,43110,KR-43110,1193031315.0,0.0
청주시 상당구,43111,KR-43111,284780692.0,0.0
청주시 서원구,43112,KR-43112,263059198.0,0.0
청주시 흥덕구,43113,KR-43113,388933052.0,0.0
청주시 청원구,43114,KR-43114,283458140.0,0.0
충주시,43130,KR-43130,483303163.0,0.0
제천시,43150,KR-43150,198480779.0,0.0
보은군,43720,KR-43720,56164608.0,0.0
옥천군,43730,KR-43730,105800446.0,0.0
영동군,43740,KR-43740,94120208.0,0.0
증평군,43745,KR-43745,79000229.0,0.0
진천군,43750,KR-43750,136672256.0,0.0
괴산군,43760,KR-43760,54012966.0,0.0
음성군,43770,KR-43770,185188084.0,0.0
단양군,43800,KR-43800,51757878.0,0.0
천안시,44130,KR-44130,814561265.0,0.0
천안시 동남구,44131,KR-44131,406277288.0,0.0
천안시 서북구,44133,KR-44133,420596404.0,0.0
공주시,44150,KR-44150,155910556.0,0.0
보령시,44180,KR-44180,226623586.0,0.0
아산시,44200,KR-44200,536163698.0,0.0
서산시,44210,KR-44210,319236760.0,0.0
논산시,44230,KR-44230,215979564.0,0.0
계룡시,44250,KR-44250,75766198.0,0.0
당진시,44270,KR-44270,339081610.0,0.0
금산군,44710,KR-44710,108832192.0,0.0
부여군,44760,KR-44760,147698050.0,0.0
서천군,44770,KR-44770,110298520.0,0.0
청양군,44790,KR-44790,48426326.0,0.0
홍성군,44800,KR-44800,169363778.0,0.0
예산군,44810,KR-44810,152999980.0,0.0
