_조회_시도,_조회_시군구,_조회_SGG_CD,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
서울특별시,노원구,11350,월계1동,월계1동,180462.0,425.0,7.7,180462.0,425.0,100.0
서울특별시,노원구,11350,월계2동,월계2동,62126.0,249.0,2.6,62126.0,249.0,100.0
서울특별시,노원구,11350,월계3동,월계3동,110921.0,333.0,4.7,110921.0,333.0,100.0
서울특별시,노원구,11350,공릉1동,공릉1동,269701.0,519.0,11.5,269701.0,519.0,100.0
서울특별시,노원구,11350,공릉2동,공릉2동,301895.0,549.0,12.9,301895.0,549.0,100.0
서울특별시,노원구,11350,하계1동,하계1동,161394.0,402.0,6.9,161394.0,402.0,100.0
서울특별시,노원구,11350,하계2동,하계2동,41385.0,203.0,1.8,41385.0,203.0,100.0
서울특별시,노원구,11350,중계본동,중계본동,49248.0,222.0,2.1,49248.0,222.0,100.0
서울특별시,노원구,11350,중계1동,중계1동,54447.0,233.0,2.3,54447.0,233.0,100.0
서울특별시,노원구,11350,중계4동,중계4동,53804.0,232.0,2.3,53804.0,232.0,100.0
서울특별시,노원구,11350,중계2.3동,중계2.3동,113073.0,336.0,4.8,113073.0,336.0,100.0
서울특별시,노원구,11350,상계1동,상계1동,154237.0,393.0,6.6,154237.0,393.0,100.0
서울특별시,노원구,11350,상계2동,상계2동,179259.0,423.0,7.6,179259.0,423.0,100.0
서울특별시,노원구,11350,상계3.4동,상계3.4동,67009.0,259.0,2.9,67009.0,259.0,100.0
서울특별시,노원구,11350,상계5동,상계5동,58044.0,241.0,2.5,58044.0,241.0,100.0
서울특별시,노원구,11350,상계6.7동,상계6.7동,267071.0,517.0,11.4,267071.0,517.0,100.0
서울특별시,노원구,11350,상계8동,상계8동,45924.0,214.0,2.0,45924.0,214.0,100.0
서울특별시,노원구,11350,상계9동,상계9동,46557.0,216.0,2.0,46557.0,216.0,100.0
서울특별시,노원구,11350,상계10동,상계10동,129186.0,359.0,5.5,129186.0,359.0,100.0
서울특별시,도봉구,11320,창1동,창1동,134188.0,366.0,11.8,134188.0,366.0,100.0
서울특별시,도봉구,11320,창2동,창2동,57850.0,241.0,5.1,57850.0,241.0,100.0
서울특별시,도봉구,11320,창3동,창3동,35250.0,188.0,3.1,35250.0,188.0,100.0
서울특별시,도봉구,11320,창4동,창4동,109991.0,332.0,9.7,109991.0,332.0,100.0
서울특별시,도봉구,11320,창5동,창5동,116187.0,341.0,10.2,116187.0,341.0,100.0
서울특별시,도봉구,11320,도봉1동,도봉1동,76758.0,277.0,6.7,76758.0,277.0,100.0
서울특별시,도봉구,11320,도봉2동,도봉2동,99319.0,315.0,8.7,99319.0,315.0,100.0
서울특별시,도봉구,11320,쌍문1동,쌍문1동,96804.0,311.0,8.5,96804.0,311.0,100.0
서울특별시,도봉구,11320,쌍문2동,쌍문2동,75537.0,275.0,6.6,75537.0,275.0,100.0
서울특별시,도봉구,11320,쌍문3동,쌍문3동,66788.0,258.0,5.9,66788.0,258.0,100.0
서울특별시,도봉구,11320,쌍문4동,쌍문4동,46102.0,215.0,4.0,46102.0,215.0,100.0
서울특별시,도봉구,11320,방학1동,방학1동,141518.0,376.0,12.4,141518.0,376.0,100.0
서울특별시,도봉구,11320,방학2동,방학2동,35325.0,188.0,3.1,35325.0,188.0,100.0
서울특별시,도봉구,11320,방학3동,방학3동,46885.0,217.0,4.1,46885.0,217.0,100.0
서울특별시,동대문구,11230,신설동,신설동,283608.0,533.0,3.6,283608.0,533.0,100.0
서울특별시,동대문구,11230,용두동,용두동,83417.0,289.0,1.0,83417.0,289.0,100.0
