DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
가평군,가평군,223206232.0,14940.0,0.3,223206232.0,14940.0,100.0
강남구,강남구,1805139248.0,42487.0,2.4,1805139248.0,42487.0,100.0
강동구,강동구,444893757.0,21093.0,0.6,444893757.0,21093.0,100.0
강릉시,강릉시,286686904.0,16932.0,0.4,286686904.0,16932.0,100.0
강북구,강북구,280043561.0,16735.0,0.4,280043561.0,16735.0,100.0
강서구,강서구,974990608.0,31225.0,1.3,655013334.0,25593.0,67.2
강서구,강서구,974990608.0,31225.0,1.3,319977273.0,17888.0,32.8
강진군,강진군,47851899.0,6918.0,0.1,47851899.0,6918.0,100.0
강화군,강화군,139772784.0,11823.0,0.2,139772784.0,11823.0,100.0
거제시,거제시,195140302.0,13969.0,0.3,195140302.0,13969.0,100.0
거창군,거창군,57198365.0,7563.0,0.1,57198365.0,7563.0,100.0
검단구,검단구,4389598.0,2095.0,0.0,4389598.0,2095.0,100.0
경산시,경산시,261274248.0,16164.0,0.3,261274248.0,16164.0,100.0
경주시,경주시,382191848.0,19550.0,0.5,382191848.0,19550.0,100.0
계룡시,계룡시,43071550.0,6563.0,0.1,43071550.0,6563.0,100.0
계양구,계양구,247722202.0,15739.0,0.3,247722202.0,15739.0,100.0
고령군,고령군,50818694.0,7129.0,0.1,50818694.0,7129.0,100.0
고성군,고성군,184966355.0,13600.0,0.2,81851357.0,9047.0,44.3
고성군,고성군,184966355.0,13600.0,0.2,103114998.0,10155.0,55.7
고양시,고양시,1172874720.0,34247.0,1.5,1172874720.0,34247.0,100.0
고양시 덕양구,고양시 덕양구,528615885.0,22992.0,0.7,528615885.0,22992.0,100.0
고양시 일산동구,고양시 일산동구,509566176.0,22574.0,0.7,509566176.0,22574.0,100.0
고양시 일산서구,고양시 일산서구,360048798.0,18975.0,0.5,360048798.0,18975.0,100.0
고창군,고창군,82111676.0,9062.0,0.1,82111676.0,9062.0,100.0
고흥군,고흥군,54945126.0,7412.0,0.1,54945126.0,7412.0,100.0
곡성군,곡성군,45611331.0,6754.0,0.1,45611331.0,6754.0,100.0
공주시,공주시,219613908.0,14819.0,0.3,219613908.0,14819.0,100.0
과천시,과천시,169551291.0,13021.0,0.2,169551291.0,13021.0,100.0
관악구,관악구,503411352.0,22437.0,0.7,503411352.0,22437.0,100.0
광명시,광명시,346488681.0,18614.0,0.5,346488681.0,18614.0,100.0
광산구,광산구,381844745.0,19541.0,0.5,381844745.0,19541.0,100.0
광양시,광양시,114246469.0,10689.0,0.1,114246469.0,10689.0,100.0
광주시,광주시,400164166.0,20004.0,0.5,400164166.0,20004.0,100.0
광진구,광진구,598306054.0,24460.0,0.8,598306054.0,24460.0,100.0
괴산군,괴산군,86933878.0,9324.0,0.1,86933878.0,9324.0,100.0
구례군,구례군,50207103.0,7086.0,0.1,50207103.0,7086.0,100.0
구로구,구로구,526871716.0,22954.0,0.7,526871716.0,22954.0,100.0
구리시,구리시,383207100.0,19576.0,0.5,383207100.0,19576.0,100.0
구미시,구미시,221369365.0,14878.0,0.3,221369365.0,14878.0,100.0
군산시,군산시,210530067.0,14510.0,0.3,210530067.0,14510.0,100.0
군위군,군위군,62533261.0,7908.0,0.1,62533261.0,7908.0,100.0
군포시,군포시,219608774.0,14819.0,0.3,219608774.0,14819.0,100.0
금산군,금산군,85772099.0,9261.0,0.1,85772099.0,9261.0,100.0
금정구,금정구,251008688.0,15843.0,0.3,251008688.0,15843.0,100.0
금천구,금천구,248298120.0,15757.0,0.3,248298120.0,15757.0,100.0
기장군,기장군,338619099.0,18402.0,0.4,338619099.0,18402.0,100.0
김제시,김제시,100481018.0,10024.0,0.1,100481018.0,10024.0,100.0
김천시,김천시,113197914.0,10639.0,0.1,113197914.0,10639.0,100.0
김포시,김포시,430898328.0,20758.0,0.6,430898328.0,20758.0,100.0
김해시,김해시,365066832.0,19107.0,0.5,365066832.0,19107.0,100.0
나주시,나주시,135290340.0,11631.0,0.2,135290340.0,11631.0,100.0
남구,남구,1049163572.0,32391.0,1.4,258295674.0,16072.0,24.6
남구,남구,1049163572.0,32391.0,1.4,236082424.0,15365.0,22.5
남구,남구,1049163572.0,32391.0,1.4,178091356.0,13345.0,17.0
남구,남구,1049163572.0,32391.0,1.4,376694118.0,19409.0,35.9
남동구,남동구,456286243.0,21361.0,0.6,456286243.0,21361.0,100.0
남양주시,남양주시,597726770.0,24448.0,0.8,597726770.0,24448.0,100.0
남원시,남원시,85455098.0,9244.0,0.1,85455098.0,9244.0,100.0
남해군,남해군,72971598.0,8542.0,0.1,72971598.0,8542.0,100.0
노원구,노원구,487513688.0,22080.0,0.6,487513688.0,22080.0,100.0
논산시,논산시,136687974.0,11691.0,0.2,136687974.0,11691.0,100.0
단양군,단양군,74198240.0,8614.0,0.1,74198240.0,8614.0,100.0
달서구,달서구,465908762.0,21585.0,0.6,465908762.0,21585.0,100.0
달성군,달성군,253926323.0,15935.0,0.3,253926323.0,15935.0,100.0
담양군,담양군,128696930.0,11344.0,0.2,128696930.0,11344.0,100.0
당진시,당진시,180552785.0,13437.0,0.2,180552785.0,13437.0,100.0
대덕구,대덕구,217019985.0,14732.0,0.3,217019985.0,14732.0,100.0
도봉구,도봉구,265255372.0,16287.0,0.3,265255372.0,16287.0,100.0
동구,동구,1567768589.0,39595.0,2.1,278204535.0,16679.0,17.7
동구,동구,1567768589.0,39595.0,2.1,495882289.0,22268.0,31.6
동구,동구,1567768589.0,39595.0,2.1,77878804.0,8825.0,5.0
동구,동구,1567768589.0,39595.0,2.1,289880841.0,17026.0,18.5
