DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
가평군,가평군,125289115.0,11193.0,0.1,125289115.0,11193.0,100.0
강남구,강남구,1543455532.0,39287.0,1.5,1543455532.0,39287.0,100.0
강동구,강동구,836694862.0,28926.0,0.8,836694862.0,28926.0,100.0
강릉시,강릉시,537476947.0,23184.0,0.5,537476947.0,23184.0,100.0
강북구,강북구,430405944.0,20746.0,0.4,430405944.0,20746.0,100.0
강서구,강서구,1017907107.0,31905.0,1.0,791283696.0,28130.0,77.7
강서구,강서구,1017907107.0,31905.0,1.0,226623411.0,15054.0,22.3
강진군,강진군,66541464.0,8157.0,0.1,66541464.0,8157.0,100.0
강화군,강화군,148344164.0,12180.0,0.1,148344164.0,12180.0,100.0
거제시,거제시,701304282.0,26482.0,0.7,701304282.0,26482.0,100.0
거창군,거창군,109759342.0,10477.0,0.1,109759342.0,10477.0,100.0
검단구,검단구,7214396.0,2686.0,0.0,7214396.0,2686.0,100.0
경산시,경산시,454377693.0,21316.0,0.4,454377693.0,21316.0,100.0
경주시,경주시,531204894.0,23048.0,0.5,531204894.0,23048.0,100.0
계룡시,계룡시,75766198.0,8704.0,0.1,75766198.0,8704.0,100.0
계양구,계양구,385568442.0,19636.0,0.4,385568442.0,19636.0,100.0
고령군,고령군,44317546.0,6657.0,0.0,44317546.0,6657.0,100.0
고성군,고성군,147300545.0,12137.0,0.1,81415523.0,9023.0,55.3
고성군,고성군,147300545.0,12137.0,0.1,65885022.0,8117.0,44.7
고양시,고양시,1650435983.0,40626.0,1.6,1650435983.0,40626.0,100.0
고양시 덕양구,고양시 덕양구,735349188.0,27117.0,0.7,735349188.0,27117.0,100.0
고양시 일산동구,고양시 일산동구,582688662.0,24139.0,0.6,582688662.0,24139.0,100.0
고양시 일산서구,고양시 일산서구,465365050.0,21572.0,0.5,465365050.0,21572.0,100.0
고창군,고창군,96831385.0,9840.0,0.1,96831385.0,9840.0,100.0
고흥군,고흥군,79361712.0,8909.0,0.1,79361712.0,8909.0,100.0
곡성군,곡성군,41415640.0,6435.0,0.0,41415640.0,6435.0,100.0
공주시,공주시,155910556.0,12486.0,0.2,155910556.0,12486.0,100.0
과천시,과천시,169511412.0,13020.0,0.2,169511412.0,13020.0,100.0
관악구,관악구,693236754.0,26329.0,0.7,693236754.0,26329.0,100.0
광명시,광명시,426604854.0,20654.0,0.4,426604854.0,20654.0,100.0
광산구,광산구,714114835.0,26723.0,0.7,714114835.0,26723.0,100.0
광양시,광양시,223225824.0,14941.0,0.2,223225824.0,14941.0,100.0
광주시,광주시,613629012.0,24772.0,0.6,613629012.0,24772.0,100.0
광진구,광진구,640528850.0,25309.0,0.6,640528850.0,25309.0,100.0
괴산군,괴산군,54012966.0,7349.0,0.1,54012966.0,7349.0,100.0
구례군,구례군,41893526.0,6473.0,0.0,41893526.0,6473.0,100.0
구로구,구로구,582382990.0,24133.0,0.6,582382990.0,24133.0,100.0
구리시,구리시,405474174.0,20136.0,0.4,405474174.0,20136.0,100.0
구미시,구미시,653147229.0,25557.0,0.6,653147229.0,25557.0,100.0
군산시,군산시,591192802.0,24314.0,0.6,591192802.0,24314.0,100.0
군위군,군위군,31155106.0,5582.0,0.0,31155106.0,5582.0,100.0
군포시,군포시,447328637.0,21150.0,0.4,447328637.0,21150.0,100.0
금산군,금산군,108832192.0,10432.0,0.1,108832192.0,10432.0,100.0
금정구,금정구,374918915.0,19363.0,0.4,374918915.0,19363.0,100.0
금천구,금천구,280502884.0,16748.0,0.3,280502884.0,16748.0,100.0
기장군,기장군,271849036.0,16488.0,0.3,271849036.0,16488.0,100.0
김제시,김제시,124315282.0,11150.0,0.1,124315282.0,11150.0,100.0
김천시,김천시,237509276.0,15411.0,0.2,237509276.0,15411.0,100.0
김포시,김포시,838714534.0,28961.0,0.8,838714534.0,28961.0,100.0
김해시,김해시,869559498.0,29488.0,0.8,869559498.0,29488.0,100.0
나주시,나주시,211306372.0,14536.0,0.2,211306372.0,14536.0,100.0
남구,남구,1506881733.0,38819.0,1.5,425379353.0,20625.0,28.2
남구,남구,1506881733.0,38819.0,1.5,215829512.0,14691.0,14.3
남구,남구,1506881733.0,38819.0,1.5,259649666.0,16114.0,17.2
남구,남구,1506881733.0,38819.0,1.5,606023201.0,24618.0,40.2
남동구,남동구,683786138.0,26149.0,0.7,683786138.0,26149.0,100.0
남양주시,남양주시,1126519166.0,33564.0,1.1,1126519166.0,33564.0,100.0
