DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
_,_,76147278.0,8726.0,0.1,1094278.0,1046.0,1.4
_,_,76147278.0,8726.0,0.1,1992890.0,1412.0,2.6
_,_,76147278.0,8726.0,0.1,5540178.0,2354.0,7.3
_,_,76147278.0,8726.0,0.1,1470514.0,1213.0,1.9
_,_,76147278.0,8726.0,0.1,1027246.0,1014.0,1.3
_,_,76147278.0,8726.0,0.1,2834573.0,1684.0,3.7
_,_,76147278.0,8726.0,0.1,1015385.0,1008.0,1.3
_,_,76147278.0,8726.0,0.1,692265.0,832.0,0.9
_,_,76147278.0,8726.0,0.1,3629591.0,1905.0,4.8
_,_,76147278.0,8726.0,0.1,517748.0,720.0,0.7
_,_,76147278.0,8726.0,0.1,1232928.0,1110.0,1.6
_,_,76147278.0,8726.0,0.1,3289265.0,1814.0,4.3
_,_,76147278.0,8726.0,0.1,2131888.0,1460.0,2.8
_,_,76147278.0,8726.0,0.1,811198.0,901.0,1.1
_,_,76147278.0,8726.0,0.1,1915221.0,1384.0,2.5
_,_,76147278.0,8726.0,0.1,2210579.0,1487.0,2.9
_,_,76147278.0,8726.0,0.1,1473906.0,1214.0,1.9
_,_,76147278.0,8726.0,0.1,3380272.0,1839.0,4.4
_,_,76147278.0,8726.0,0.1,2769585.0,1664.0,3.6
_,_,76147278.0,8726.0,0.1,1549510.0,1245.0,2.0
_,_,76147278.0,8726.0,0.1,1442945.0,1201.0,1.9
_,_,76147278.0,8726.0,0.1,4351200.0,2086.0,5.7
_,_,76147278.0,8726.0,0.1,1733914.0,1317.0,2.3
_,_,76147278.0,8726.0,0.1,2185309.0,1478.0,2.9
_,_,76147278.0,8726.0,0.1,2306458.0,1519.0,3.0
_,_,76147278.0,8726.0,0.1,5760198.0,2400.0,7.6
_,_,76147278.0,8726.0,0.1,663530.0,815.0,0.9
_,_,76147278.0,8726.0,0.1,2039230.0,1428.0,2.7
_,_,76147278.0,8726.0,0.1,3112784.0,1764.0,4.1
_,_,76147278.0,8726.0,0.1,4725956.0,2174.0,6.2
_,_,76147278.0,8726.0,0.1,574528.0,758.0,0.8
_,_,76147278.0,8726.0,0.1,2267682.0,1506.0,3.0
_,_,76147278.0,8726.0,0.1,1240838.0,1114.0,1.6
_,_,76147278.0,8726.0,0.1,1134956.0,1065.0,1.5
_,_,76147278.0,8726.0,0.1,2028730.0,1424.0,2.7
가경동,가경동,66444546.0,8151.0,0.1,66444546.0,8151.0,100.0
가곡동,가곡동,10754230.0,3279.0,0.0,10754230.0,3279.0,100.0
가곡면,가곡면,10372446.0,3221.0,0.0,8779690.0,2963.0,84.6
