DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
_,_,212048886.0,14562.0,0.2,2078864.0,1442.0,1.0
_,_,212048886.0,14562.0,0.2,4910269.0,2216.0,2.3
_,_,212048886.0,14562.0,0.2,1411316.0,1188.0,0.7
_,_,212048886.0,14562.0,0.2,2232604.0,1494.0,1.1
_,_,212048886.0,14562.0,0.2,2130720.0,1460.0,1.0
_,_,212048886.0,14562.0,0.2,3660111.0,1913.0,1.7
_,_,212048886.0,14562.0,0.2,353458.0,595.0,0.2
_,_,212048886.0,14562.0,0.2,3348023.0,1830.0,1.6
_,_,212048886.0,14562.0,0.2,6737878.0,2596.0,3.2
_,_,212048886.0,14562.0,0.2,5668572.0,2381.0,2.7
_,_,212048886.0,14562.0,0.2,3216846.0,1794.0,1.5
_,_,212048886.0,14562.0,0.2,710364.0,843.0,0.3
_,_,212048886.0,14562.0,0.2,2181823.0,1477.0,1.0
_,_,212048886.0,14562.0,0.2,4379340.0,2093.0,2.1
_,_,212048886.0,14562.0,0.2,2169562.0,1473.0,1.0
_,_,212048886.0,14562.0,0.2,570644.0,755.0,0.3
_,_,212048886.0,14562.0,0.2,3414103.0,1848.0,1.6
_,_,212048886.0,14562.0,0.2,8907122.0,2984.0,4.2
_,_,212048886.0,14562.0,0.2,1335534.0,1156.0,0.6
_,_,212048886.0,14562.0,0.2,3778719.0,1944.0,1.8
_,_,212048886.0,14562.0,0.2,5165475.0,2273.0,2.4
_,_,212048886.0,14562.0,0.2,5968826.0,2443.0,2.8
_,_,212048886.0,14562.0,0.2,1454670.0,1206.0,0.7
_,_,212048886.0,14562.0,0.2,3108018.0,1763.0,1.5
_,_,212048886.0,14562.0,0.2,2870928.0,1694.0,1.4
_,_,212048886.0,14562.0,0.2,2473104.0,1573.0,1.2
_,_,212048886.0,14562.0,0.2,6873412.0,2622.0,3.2
_,_,212048886.0,14562.0,0.2,1013610.0,1007.0,0.5
_,_,212048886.0,14562.0,0.2,1431661.0,1197.0,0.7
_,_,212048886.0,14562.0,0.2,4108892.0,2027.0,1.9
_,_,212048886.0,14562.0,0.2,1531534.0,1238.0,0.7
_,_,212048886.0,14562.0,0.2,4961786.0,2228.0,2.3
_,_,212048886.0,14562.0,0.2,3848229.0,1962.0,1.8
_,_,212048886.0,14562.0,0.2,1667880.0,1291.0,0.8
_,_,212048886.0,14562.0,0.2,3887096.0,1972.0,1.8
_,_,212048886.0,14562.0,0.2,2615350.0,1617.0,1.2
_,_,212048886.0,14562.0,0.2,1562750.0,1250.0,0.7
_,_,212048886.0,14562.0,0.2,1519217.0,1233.0,0.7
_,_,212048886.0,14562.0,0.2,5526504.0,2351.0,2.6
_,_,212048886.0,14562.0,0.2,1193692.0,1093.0,0.6
_,_,212048886.0,14562.0,0.2,2346666.0,1532.0,1.1
_,_,212048886.0,14562.0,0.2,1114474.0,1056.0,0.5
_,_,212048886.0,14562.0,0.2,3762346.0,1940.0,1.8
_,_,212048886.0,14562.0,0.2,260694.0,511.0,0.1
_,_,212048886.0,14562.0,0.2,466018.0,683.0,0.2
_,_,212048886.0,14562.0,0.2,2028236.0,1424.0,1.0
_,_,212048886.0,14562.0,0.2,860566.0,928.0,0.4
_,_,212048886.0,14562.0,0.2,661234.0,813.0,0.3
_,_,212048886.0,14562.0,0.2,97142.0,312.0,0.0
_,_,212048886.0,14562.0,0.2,3049896.0,1746.0,1.4
_,_,212048886.0,14562.0,0.2,8789417.0,2965.0,4.1
_,_,212048886.0,14562.0,0.2,1449735.0,1204.0,0.7
_,_,212048886.0,14562.0,0.2,3846381.0,1961.0,1.8
_,_,212048886.0,14562.0,0.2,1902918.0,1379.0,0.9
_,_,212048886.0,14562.0,0.2,3820705.0,1955.0,1.8
_,_,212048886.0,14562.0,0.2,1137308.0,1066.0,0.5
_,_,212048886.0,14562.0,0.2,1288998.0,1135.0,0.6
_,_,212048886.0,14562.0,0.2,5679359.0,2383.0,2.7
_,_,212048886.0,14562.0,0.2,704340.0,839.0,0.3
_,_,212048886.0,14562.0,0.2,2733300.0,1653.0,1.3
_,_,212048886.0,14562.0,0.2,4665958.0,2160.0,2.2
_,_,212048886.0,14562.0,0.2,3294060.0,1815.0,1.6
_,_,212048886.0,14562.0,0.2,1814855.0,1347.0,0.9
_,_,212048886.0,14562.0,0.2,2429777.0,1559.0,1.1
_,_,212048886.0,14562.0,0.2,3215516.0,1793.0,1.5
_,_,212048886.0,14562.0,0.2,3268608.0,1808.0,1.5
_,_,212048886.0,14562.0,0.2,2242590.0,1498.0,1.1
_,_,212048886.0,14562.0,0.2,3002286.0,1733.0,1.4
_,_,212048886.0,14562.0,0.2,4365767.0,2089.0,2.1
_,_,212048886.0,14562.0,0.2,3875585.0,1969.0,1.8
_,_,212048886.0,14562.0,0.2,7895646.0,2810.0,3.7
가경동,가경동,100349266.0,10017.0,0.1,100349266.0,10017.0,100.0
가곡동,가곡동,22433719.0,4736.0,0.0,22433719.0,4736.0,100.0
가곡면,가곡면,4798598.0,2191.0,0.0,911197.0,955.0,19.0
가곡면,가곡면,4798598.0,2191.0,0.0,3887401.0,1972.0,81.0
가남읍,가남읍,29423135.0,5424.0,0.0,29423135.0,5424.0,100.0
가능동,가능동,44434992.0,6666.0,0.0,44434992.0,6666.0,100.0
가덕도동,가덕도동,7017871.0,2649.0,0.0,7017871.0,2649.0,100.0
가덕면,가덕면,7755024.0,2785.0,0.0,7755024.0,2785.0,100.0
