기준연월,업종대분류명,소비액(천원)
2022,전체,2.68439691E8
2025,전체,2.7209046E8
2024,전체,2.75533169E8
2023,전체,2.72203821E8
2021,전체,2.40007392E8
2020,전체,2.0548474E8
2022,숙박업,4954130.0
2021,여행업,16242.0
2022,여행업,46445.0
2022,운송업,7.5410259E7
2022,쇼핑업,8.8166756E7
2022,여가서비스업,1.8787582E7
2022,의료웰니스업,3759020.0
2022,식음료업,7.7315499E7
2023,의료웰니스업,7546945.0
2023,식음료업,8.4578461E7
2024,쇼핑업,9.3192645E7
2025,여행업,270406.0
2020,여행업,9099.0
2021,식음료업,6.5817531E7
2021,운송업,6.603675E7
2024,식음료업,8.6324397E7
2025,식음료업,8.8684645E7
2024,의료웰니스업,4741320.0
2023,쇼핑업,9.4088542E7
2020,여가서비스업,6057473.0
2020,식음료업,6.0608454E7
2020,쇼핑업,7.8866401E7
2020,운송업,5.1901626E7
2020,의료웰니스업,3209456.0
2021,의료웰니스업,3418264.0
2021,쇼핑업,8.6473358E7
2021,여가서비스업,1.3369098E7
2021,숙박업,4876149.0
2023,여행업,41438.0
2023,숙박업,5312704.0
2020,숙박업,4832231.0
2023,여가서비스업,1.4326827E7
2023,운송업,6.6308905E7
2024,숙박업,5400254.0
2024,여가서비스업,1.6824744E7
2024,운송업,6.8963788E7
2024,여행업,86021.0
2025,숙박업,7220849.0
2025,운송업,6.8418257E7
2025,여가서비스업,1.2219099E7
2025,쇼핑업,9.0647581E7
2025,의료웰니스업,4629624.0
