기준연월,업종대분류명,소비액(천원)
2022,전체,2.57077211E8
2025,전체,2.62567989E8
2024,전체,2.64865327E8
2023,전체,2.62092593E8
2021,전체,2.29139431E8
2020,전체,1.96328304E8
2022,식음료업,7.7315499E7
2022,의료웰니스업,3584667.0
2023,여행업,32628.0
2023,의료웰니스업,7173406.0
2023,식음료업,8.4578461E7
2025,여행업,212896.0
2025,쇼핑업,8.5938137E7
2021,식음료업,6.5817531E7
2024,여가서비스업,1.2997675E7
2024,식음료업,8.6324397E7
2024,쇼핑업,8.7809563E7
2020,여행업,3290.0
2021,의료웰니스업,3346274.0
2025,식음료업,8.8684645E7
2021,여행업,10072.0
2021,운송업,6.6033245E7
2024,의료웰니스업,4259471.0
2025,의료웰니스업,4131106.0
2024,운송업,6.8953571E7
2020,식음료업,6.0608454E7
2020,운송업,5.189508E7
2020,여가서비스업,4300851.0
2020,의료웰니스업,3096464.0
2021,쇼핑업,8.0147097E7
2021,여가서비스업,9825187.0
2023,숙박업,4455362.0
2023,운송업,6.6287156E7
2023,쇼핑업,8.8177102E7
2023,여가서비스업,1.1388478E7
2024,숙박업,4440099.0
2020,숙박업,3695992.0
2024,여행업,80551.0
2025,숙박업,5941055.0
2025,운송업,6.8385562E7
2025,여가서비스업,9274587.0
2020,쇼핑업,7.2728172E7
2021,숙박업,3960024.0
2022,숙박업,4065566.0
2022,여행업,37969.0
2022,운송업,7.5405975E7
2022,쇼핑업,8.2240374E7
2022,여가서비스업,1.4427161E7
