기준연월,업종대분류명,소비액(천원)
2022,전체,1.1362481E7
2025,전체,9522471.0
2024,전체,1.0667842E7
2023,전체,1.0111228E7
2021,전체,1.0867962E7
2020,전체,9156436.0
2022,여가서비스업,4360421.0
2022,쇼핑업,5926381.0
2022,의료웰니스업,174353.0
2023,의료웰니스업,373540.0
2023,숙박업,857342.0
2023,운송업,21749.0
2024,쇼핑업,5383082.0
2020,숙박업,1136239.0
2020,여행업,5809.0
2021,운송업,3505.0
2021,쇼핑업,6326261.0
2020,의료웰니스업,112992.0
2025,여행업,57510.0
2024,의료웰니스업,481849.0
2024,여행업,5470.0
2025,숙박업,1279793.0
2020,쇼핑업,6138230.0
2020,운송업,6546.0
2021,의료웰니스업,71990.0
2021,숙박업,916125.0
2023,여행업,8809.0
2023,쇼핑업,5911440.0
2023,여가서비스업,2938348.0
2024,숙박업,960155.0
2024,여가서비스업,3827069.0
2024,운송업,10217.0
2020,여가서비스업,1756621.0
2025,운송업,32694.0
2025,여가서비스업,2944512.0
2025,쇼핑업,4709445.0
2025,의료웰니스업,498517.0
2021,여행업,6169.0
2021,여가서비스업,3543911.0
2022,숙박업,888564.0
2022,여행업,8476.0
2022,운송업,4284.0
