유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
자연관광,자연경관(산),0.9,12.2
자연관광,자연경관(하천/해양),0.9,18.8
자연관광,자연공원,0.9,68.9
자연관광,자연생태,0.9,0.1
역사관광,종교성지,17.1,10.6
역사관광,역사유적지,17.1,89.3
역사관광,역사유물,17.1,0.1
체험관광,체험관광기타,1.0,3.1
체험관광,농/산/어촌체험,1.0,6.5
체험관광,웰니스관광,1.0,90.4
체험관광,공예체험,1.0,0.0
문화관광,랜드마크관광,8.8,0.0
문화관광,기타문화관광지,8.8,7.4
문화관광,도시공원,8.8,37.1
문화관광,복합관광시설,8.8,5.4
문화관광,테마공원,8.8,8.5
문화관광,레저스포츠시설,8.8,6.0
문화관광,공연시설,8.8,16.2
문화관광,전시시설,8.8,19.5
레저스포츠,육상레저스포츠,4.1,69.7
레저스포츠,수상레저스포츠,4.1,2.0
레저스포츠,기타레저스포츠,4.1,28.3
쇼핑,전문매장/상가,8.6,0.0
쇼핑,기타쇼핑시설,8.6,4.2
쇼핑,시장,8.6,95.8
음식,간이음식,32.5,12.7
음식,외국식,32.5,4.3
음식,음식점기타,32.5,2.6
음식,전문음식,32.5,15.5
음식,한식,32.5,41.5
음식,카페/찻집,32.5,23.4
숙박,호스텔,11.5,2.3
숙박,캠핑,11.5,4.3
숙박,호텔,11.5,42.6
숙박,펜션/민박,11.5,7.2
숙박,콘도미니엄,11.5,2.9
숙박,모텔,11.5,40.0
숙박,기타숙박,11.5,0.8
기타관광,교통시설,15.6,61.7
기타관광,기타관광,15.6,38.3
