기준연월,목적지 유형,목적지 검색량
2020,전체,662296
2021,전체,830649
2022,전체,994561
2023,전체,1119803
2024,전체,1294121
2025,전체,1270924
2020,자연관광,9252
2021,자연관광,9366
2022,자연관광,9817
2023,자연관광,9233
2024,자연관광,10356
2025,자연관광,7433
2020,역사관광,138274
2021,역사관광,164122
2022,역사관광,179452
2023,역사관광,190380
2024,역사관광,186209
2025,역사관광,196819
2020,체험관광,4214
2021,체험관광,4128
2022,체험관광,6834
2023,체험관광,12399
2024,체험관광,14572
2025,체험관광,19522
2020,문화관광,50577
2021,문화관광,68098
2022,문화관광,81293
2023,문화관광,96086
2024,문화관광,127515
2025,문화관광,118932
2020,레저스포츠,21870
2021,레저스포츠,31484
2022,레저스포츠,45674
2023,레저스포츠,44201
2024,레저스포츠,53373
2025,레저스포츠,59534
2020,쇼핑,64184
2021,쇼핑,72113
2022,쇼핑,80383
2023,쇼핑,94855
2024,쇼핑,100705
2025,쇼핑,116737
2020,음식,176576
2021,음식,241599
2022,음식,313719
2023,음식,371010
2024,음식,487829
2025,음식,413984
2020,숙박,66034
2021,숙박,94648
2022,숙박,117955
2023,숙박,127243
2024,숙박,138526
2025,숙박,162778
2020,기타관광,131315
2021,기타관광,145091
2022,기타관광,159434
2023,기타관광,174396
2024,기타관광,175036
2025,기타관광,175185
