거주지명,광역지자체 비율(%)
경상북도 예천군,47.1
경상북도 영주시,47.1
경상북도 의성군,47.1
경상북도 청송군,47.1
경상북도 구미시,47.1
경상북도 영양군,47.1
경상북도 경산시,47.1
경상북도 봉화군,47.1
경상북도 포항시 북구,47.1
경상북도 문경시,47.1
경상북도 상주시,47.1
경상북도 경주시,47.1
경상북도 포항시 남구,47.1
경상북도 칠곡군,47.1
경상북도 김천시,47.1
경상북도 영덕군,47.1
경상북도 영천시,47.1
경상북도 울진군,47.1
경상북도 성주군,47.1
경상북도 청도군,47.1
경상북도 고령군,47.1
경상북도 울릉군,47.1
대구광역시 북구,15.4
대구광역시 달서구,15.4
대구광역시 수성구,15.4
대구광역시 동구,15.4
대구광역시 달성군,15.4
대구광역시 서구,15.4
대구광역시 남구,15.4
대구광역시 중구,15.4
대구광역시 군위군,15.4
경기도 남양주시,8.8
경기도 성남시 분당구,8.8
경기도 평택시,8.8
경기도 용인시 기흥구,8.8
경기도 광주시,8.8
경기도 수원시 권선구,8.8
경기도 수원시 영통구,8.8
경기도 의정부시,8.8
경기도 고양시 덕양구,8.8
경기도 시흥시,8.8
경기도 하남시,8.8
경기도 용인시 처인구,8.8
경기도 용인시 수지구,8.8
경기도 김포시,8.8
경기도 수원시 장안구,8.8
경기도 수원시 팔달구,8.8
경기도 성남시 수정구,8.8
경기도 안양시 동안구,8.8
경기도 광명시,8.8
경기도 안산시 상록구,8.8
경기도 안산시 단원구,8.8
경기도 고양시 일산동구,8.8
경기도 고양시 일산서구,8.8
경기도 구리시,8.8
경기도 오산시,8.8
경기도 군포시,8.8
경기도 파주시,8.8
경기도 이천시,8.8
경기도 안성시,8.8
경기도 양주시,8.8
경기도 성남시 중원구,8.8
경기도 안양시 만안구,8.8
경기도 부천시 원미구,8.8
경기도 과천시,8.8
경기도 의왕시,8.8
경기도 포천시,8.8
경기도 여주시,8.8
경기도 가평군,8.8
경기도 양평군,8.8
경기도 부천시 소사구,8.8
경기도 부천시 오정구,8.8
경기도 동두천시,8.8
경기도 연천군,8.8
서울특별시 송파구,7.4
서울특별시 관악구,7.4
서울특별시 노원구,7.4
서울특별시 강서구,7.4
서울특별시 강남구,7.4
서울특별시 강동구,7.4
서울특별시 광진구,7.4
서울특별시 동대문구,7.4
서울특별시 중랑구,7.4
서울특별시 성북구,7.4
서울특별시 은평구,7.4
서울특별시 서대문구,7.4
서울특별시 마포구,7.4
서울특별시 구로구,7.4
서울특별시 영등포구,7.4
서울특별시 동작구,7.4
서울특별시 서초구,7.4
서울특별시 용산구,7.4
서울특별시 성동구,7.4
서울특별시 강북구,7.4
서울특별시 도봉구,7.4
서울특별시 양천구,7.4
서울특별시 종로구,7.4
서울특별시 중구,7.4
서울특별시 금천구,7.4
부산광역시 부산진구,3.4
부산광역시 해운대구,3.4
부산광역시 동래구,3.4
부산광역시 남구,3.4
부산광역시 북구,3.4
부산광역시 사하구,3.4
부산광역시 금정구,3.4
부산광역시 연제구,3.4
부산광역시 수영구,3.4
부산광역시 사상구,3.4
부산광역시 기장군,3.4
부산광역시 중구,3.4
부산광역시 서구,3.4
부산광역시 동구,3.4
부산광역시 영도구,3.4
부산광역시 강서구,3.4
강원특별자치도 원주시,3.3
강원특별자치도 춘천시,3.3
강원특별자치도 태백시,3.3
강원특별자치도 강릉시,3.3
강원특별자치도 동해시,3.3
강원특별자치도 속초시,3.3
강원특별자치도 삼척시,3.3
강원특별자치도 홍천군,3.3
강원특별자치도 횡성군,3.3
강원특별자치도 영월군,3.3
강원특별자치도 평창군,3.3
강원특별자치도 정선군,3.3
강원특별자치도 인제군,3.3
강원특별자치도 철원군,3.3
강원특별자치도 화천군,3.3
강원특별자치도 양구군,3.3
강원특별자치도 고성군,3.3
강원특별자치도 양양군,3.3
경상남도 김해시,3.3
경상남도 양산시,3.3
경상남도 창원시 의창구,3.3
경상남도 창원시 성산구,3.3
경상남도 진주시,3.3
경상남도 거제시,3.3
경상남도 창원시 마산합포구,3.3
경상남도 창원시 마산회원구,3.3
경상남도 창원시 진해구,3.3
경상남도 통영시,3.3
경상남도 사천시,3.3
경상남도 밀양시,3.3
경상남도 함안군,3.3
경상남도 창녕군,3.3
경상남도 거창군,3.3
경상남도 합천군,3.3
경상남도 의령군,3.3
경상남도 고성군,3.3
경상남도 남해군,3.3
경상남도 하동군,3.3
경상남도 산청군,3.3
경상남도 함양군,3.3
충청북도 충주시,2.7
충청북도 제천시,2.7
충청북도 청주시 흥덕구,2.7
충청북도 청주시 서원구,2.7
충청북도 청주시 청원구,2.7
충청북도 음성군,2.7
충청북도 단양군,2.7
충청북도 청주시 상당구,2.7
충청북도 옥천군,2.7
충청북도 영동군,2.7
충청북도 증평군,2.7
충청북도 진천군,2.7
충청북도 괴산군,2.7
충청북도 보은군,2.7
울산광역시 남구,2.1
울산광역시 북구,2.1
울산광역시 중구,2.1
울산광역시 울주군,2.1
울산광역시 동구,2.1
인천광역시 서구,1.6
인천광역시 미추홀구,1.6
인천광역시 연수구,1.6
인천광역시 남동구,1.6
인천광역시 부평구,1.6
인천광역시 계양구,1.6
인천광역시 중구,1.6
인천광역시 동구,1.6
인천광역시 강화군,1.6
인천광역시 옹진군,1.6
대전광역시 서구,1.3
대전광역시 유성구,1.3
대전광역시 동구,1.3
대전광역시 중구,1.3
대전광역시 대덕구,1.3
충청남도 천안시 서북구,1.3
충청남도 천안시 동남구,1.3
충청남도 아산시,1.3
충청남도 공주시,1.3
충청남도 서산시,1.3
충청남도 논산시,1.3
충청남도 당진시,1.3
충청남도 보령시,1.3
충청남도 계룡시,1.3
충청남도 금산군,1.3
충청남도 부여군,1.3
충청남도 서천군,1.3
충청남도 청양군,1.3
충청남도 홍성군,1.3
충청남도 예산군,1.3
충청남도 태안군,1.3
전남광주통합특별시 서구,1.0
전남광주통합특별시 북구,1.0
전남광주통합특별시 광산구,1.0
전남광주통합특별시 목포시,1.0
전남광주통합특별시 여수시,1.0
전남광주통합특별시 순천시,1.0
전남광주통합특별시 나주시,1.0
전남광주통합특별시 광양시,1.0
전남광주통합특별시 동구,1.0
전남광주통합특별시 남구,1.0
전남광주통합특별시 담양군,1.0
전남광주통합특별시 곡성군,1.0
전남광주통합특별시 구례군,1.0
전남광주통합특별시 고흥군,1.0
전남광주통합특별시 보성군,1.0
전남광주통합특별시 화순군,1.0
전남광주통합특별시 장흥군,1.0
전남광주통합특별시 강진군,1.0
전남광주통합특별시 해남군,1.0
전남광주통합특별시 영암군,1.0
전남광주통합특별시 무안군,1.0
전남광주통합특별시 함평군,1.0
전남광주통합특별시 영광군,1.0
전남광주통합특별시 장성군,1.0
