조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_B,SRCH_NTV_CNT
47170,경상북도 안동시,202401-202408,1,6CB787495DB3768DFC41FD53228103C6,101c58daf41e6c21759125ffe828e86e,안동터미널,교통시설,13628
47170,경상북도 안동시,202401-202408,2,6BC165A4B9DBCFC9692AF7706FC0794D,fdeb515b719050ed2934841d46f2040a,안동역,교통시설,12967
47170,경상북도 안동시,202401-202408,3,3B4656B45B731E7F16BBF5B3D1C4F8AE,446c3106f3d69d4cef86e1cfe0b876bf,안동하회마을,역사유적지,8633
47170,경상북도 안동시,202401-202408,4,805DB1A51BD0A535C76D9B07EEFE8A9F,20f293475800f79e12653fa07c97258b,월영교,기타관광,8567
47170,경상북도 안동시,202401-202408,5,6F7D6A017DA1AC8D29D7A654F7F53218,3a80de0f040387a963970e5981155c73,안동구시장,시장,5687
47170,경상북도 안동시,202401-202408,6,1F6ACAC13F6185B6D95EAB5FCE81D379,41f64b3abf2a83bf9879c1afe680a205,금소생태공원,도시공원,4394
47170,경상북도 안동시,202401-202408,7,6A8AE4410EE675B86DBF6B6898C9DEB5,365d558c221846b3e972433e9691b393,도산서원,역사유적지,4092
47170,경상북도 안동시,202401-202408,8,E2FE019909E3EAF939A3799CCEE7AA1A,ecbbdcb183a573c859d71c14ace48427,안동그랜드호텔,호텔,3518
47170,경상북도 안동시,202401-202408,9,89B1C6C4EC9DC76E42A3A42EB46261F1,38f348fb19d8d77626d9f186ef9fe402,안동학가산온천,웰니스관광,3386
47170,경상북도 안동시,202401-202408,10,B64B0A5F39D16EFE651F58ACE99798F9,d0df033ec32bae3d244d2d9427cd7e55,중앙신시장,시장,2976
47170,경상북도 안동시,202401-202408,11,D3CBBA7E99D06CF450917CE4D16CAC47,20c99c680bff19bd1d0925e3aeb26f86,봉정사,종교성지,2777
47170,경상북도 안동시,202401-202408,12,651A7A930C4D44B869E19E3D80F69BDF,53ddf361b2d95cc8a2bf051e334a13d2,웅부공원,도시공원,2356
47170,경상북도 안동시,202401-202408,13,CFE3290B1D832EB3BCB80C192019AC4E,59abc4e6b4db67812c9d56a82e4861e1,남안동CC,육상레저스포츠,2314
47170,경상북도 안동시,202401-202408,14,CEAC8B3A28D1F878F5E190FA7D4DA32E,719de5cfd5b190694f5b2b59ef08c955,리버힐CC,육상레저스포츠,2191
47170,경상북도 안동시,202401-202408,15,AE4EF2035A8D785CD2B8359785EE5174,f7a8b2995a274f82e6278ed5f6cc4ccc,CGV안동,공연시설,2173
47170,경상북도 안동시,202401-202408,16,74217B09CA0E273B9B8F6F339569434B,5f80bb3f155f35d51908a0e971eaac96,안동청과합자회사,시장,2171
47170,경상북도 안동시,202401-202408,17,026CFC2358E65BFA68AE779CA0D85DBB,e9978f29ae16aa0e25948c6c14d55d1e,낙강물길공원,도시공원,2029
47170,경상북도 안동시,202401-202408,18,42E8AED63CD20640B5F2FD04275DD257,0cd50eb0d6cfdb3bb1560c0f51fb2504,병산서원,역사유적지,1817
47170,경상북도 안동시,202401-202408,19,041858CAF2C91C84AA7C2531564C6126,2fffa6dd1b50ced2b3d67b862bf2f61d,만휴정,역사유적지,1787
47170,경상북도 안동시,202401-202408,20,D030C20221D69EB701D890D32EFC687C,7fe09cba97ce77d62073096aaa7445fa,안동시농산물도매시장,시장,1689
47170,경상북도 안동시,202401-202408,21,21CFD32801ECADC7D9651270A780F2E5,f951b67e9c846f89d465ef99dd0696fb,안동레이크GC,육상레저스포츠,1477
47170,경상북도 안동시,202401-202408,22,39DAE12F127F43A034E2FE4B6D0401D9,f571b732c7e31d518e203c929b4a54c9,유교랜드,기타레저스포츠,1439
47170,경상북도 안동시,202401-202408,23,D6EE0409BA9853CED336EC7A0BF2CF6C,9bc463f60f7112293fb223386e35efdc,안동문화예술의전당,공연시설,1336
47170,경상북도 안동시,202401-202408,24,FEE534B48DEDDFBA6B5B6EA79E65620D,be55627a8cd1c85ec5f6c1031d115c86,롯데시네마프리미엄안동,공연시설,1249
47170,경상북도 안동시,202401-202408,25,B6D3AD3CBCBBE77BB647E1A977CD8287,59c1c132657789d703978187b892a304,CM파크호텔,호텔,1204
47170,경상북도 안동시,202401-202408,26,18434ABD2C63FD4AB17023DCCA2C56DD,ca764e490682ad4764c4d3326ad80000,빙수곳간,테마공원,1157
47170,경상북도 안동시,202401-202408,27,88271C9C0B43343507FB440E1A3C9764,2363b066af52f4e64d8cc421ee5766ba,안동호반자연휴양림,자연공원,1094
47170,경상북도 안동시,202401-202408,28,0762750146B73A3094BB0F6170FA8A32,9d8b328dc999c1372195928a387b78b2,리첼호텔,호텔,1067
47170,경상북도 안동시,202401-202408,29,A69C29DC804EED269791E5ECBE2D81F5,6c6d95e246b2a07c5685b1963e370cd7,안동국제컨벤션센터,전시시설,1033
47170,경상북도 안동시,202401-202408,30,89A15DEA964CB31C13C796EE6D8DE3BB,7271e336931c9bb7a70edf611ef61fdc,선성수상길,기타레저스포츠,971
47170,경상북도 안동시,202401-202408,31,EF81B9083E4432E8291520516F0ABF8B,5b378d141ff48558e5dac2c1bca9af5c,임하호수상레저타운캠핑장,캠핑,921
47170,경상북도 안동시,202401-202408,32,9B9BCD953ACE7EFF1C9B3BA7794F4A16,27b23309117dfad9ad551edeb8ee6f47,안동수산물도매시장,시장,917
47170,경상북도 안동시,202401-202408,33,D094D18F9A5088A216C79A54DED5B8BC,e57f718840a576abbb40a7d046c4e3b0,용상시장,시장,894
47170,경상북도 안동시,202401-202408,34,9C8CCE57E3CBA93E49B18E092BF85DF5,976e0f7abaa5c9f9cd2dec1287213a7b,낙동강12경(부용경)부용대,역사유적지,830
47170,경상북도 안동시,202401-202408,35,67251912036F8759900120A41E76CE3A,feaf9c93304f3388c4e250a3e3ae1249,구담시장,시장,818
47170,경상북도 안동시,202401-202408,36,F3E24262E4EDB871CE4D02D424AE0FE5,80faee9f68baddaef1d68952386b9e83,안동강변구장,레저스포츠시설,810
47170,경상북도 안동시,202401-202408,37,1B458415154F1ED96D1E121E970127BC,06be920ea6c5f217fc073fc90e9b5f26,경상북도독립운동기념관,전시시설,786
47170,경상북도 안동시,202401-202408,38,8C86B2608FFC71EC6384153E332214EA,0423dbb8e054b9705d679a7fa02a49ba,비앤비모텔,모텔,776
47170,경상북도 안동시,202401-202408,39,31A8BFCC46667D1A401B0993F5D3FF4E,9bb22abf5132ed32bc2eb29a0be6f8c5,안동중앙문화의거리,기타쇼핑시설,774
47170,경상북도 안동시,202401-202408,40,4C4F48FA614240BE1338271D20DD040B,cdf68a8578f928f2d71d7f440c5aa06b,천년숲,도시공원,768
47170,경상북도 안동시,202401-202408,41,B7BE253FFAC20858A8CFD69DE574C8B2,bdfbcd179cf87218bbe8301e74087883,케이스호텔안동점,모텔,748
47170,경상북도 안동시,202401-202408,42,AE6079ECE3439EDD65B512DF94CDFF93,9661a5d77585c9ffe04a16455dc311cc,한국문화테마파크,테마공원,741
47170,경상북도 안동시,202401-202408,43,EEAA6BC253A97C0D8D77D232913B2B9F,7af00ed7f7dcae278c5bcd821ba6273e,옹천역폐역,교통시설,718
47170,경상북도 안동시,202401-202408,44,59F9309191A22721BED05E149064B1FC,07c7c610c3fb254aa77edf8ab83a1db9,연미사,종교성지,671
47170,경상북도 안동시,202401-202408,45,C6C8E9A4B13AA82ABBF2A62DAEC8CC70,7b85fe72ff6949c80e26e57e75254399,안동시립박물관,전시시설,651
47170,경상북도 안동시,202401-202408,46,74657AED1DDEC61701A31002258A239D,e1188ebdf4e50137c74ba1e3028486bd,탈춤공원,도시공원,585
47170,경상북도 안동시,202401-202408,47,B4DFD24B48D0B2F001A2E4FD366DA8AC,fc89b255ff1cda6da5e7dd34d2537276,주토피움,테마공원,571
47170,경상북도 안동시,202401-202408,48,CAC08241A77A056C0A3E605DBE15EE1A,a9781261296b79d4a126f520daea895b,단호샌드파크캠핑장,캠핑,564
47170,경상북도 안동시,202401-202408,49,F93F087B88160C27DF33AF249F9A7AE4,187fc079998937654773cca40f9b7c17,구름에,콘도미니엄,563
47170,경상북도 안동시,202401-202408,50,9673B7E5F2720DC0BC46BC6FC70A8792,87ec73ffd1781bc5846d06e7a6a7d4c5,계명산자연휴양림,자연공원,525
47170,경상북도 안동시,202401-202408,51,BACA9802999D048D75F5A6F1E05939CA,145cff933bdcbe21d1a974706ba32882,송강미술관,전시시설,507
47170,경상북도 안동시,202401-202408,52,28813D9F89453241BD570CD6422DCC72,cfdb3bc0f5d90696528da5fb3a0cf9a9,고려호텔,호텔,506
47170,경상북도 안동시,202401-202408,53,58DBD6FABB2B62B8B28AE0B2AB25FE8E,2c3d34540cd34e6bbebfcc2d698de94a,호텔얌안동강남점,모텔,501
47170,경상북도 안동시,202401-202408,54,BDAFB5A4515B278B8F780FD4B78C0B51,dc5992dda5debc66f3b953225c531865,브라운도트호텔안동풍산점,호텔,469
47170,경상북도 안동시,202401-202408,55,B78DD1F8F9FADBF0DC21972A524722AA,add43d188ab50f3abd854147585072ca,퀸모텔,모텔,462
47170,경상북도 안동시,202401-202408,56,43F6D44183B9FAD0AF2C5BC9324FF51C,dcd6dce6bc51a45c08657d380bd83c5f,풍산시장,시장,461
47170,경상북도 안동시,202401-202408,57,61A9D78AA794263754C9A2F6AE7EDB25,8b5e7836dd068601d1d820b4147fde37,암산유원지,복합관광시설,459
