조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,TOT_DPTR_REGN_NM_RATE,TOT_DTL_TOU_NUM_RATE
47170,경상북도 안동시,202501-202512,기타,기타,84639.0,291.0,32.0,32.0
47170,경상북도 안동시,202501-202512,베트남,베트남,65307.0,256.0,24.7,24.69
47170,경상북도 안동시,202501-202512,일본,일본,16008.0,127.0,6.1,6.05
47170,경상북도 안동시,202501-202512,중국,중국,15512.0,125.0,5.9,5.86
47170,경상북도 안동시,202501-202512,미국,미국,13199.0,115.0,5.0,4.99
47170,경상북도 안동시,202501-202512,필리핀,필리핀,7867.0,89.0,3.0,2.97
47170,경상북도 안동시,202501-202512,말레이시아,말레이시아,7713.0,88.0,2.9,2.92
47170,경상북도 안동시,202501-202512,태국,태국,7086.0,84.0,2.7,2.68
47170,경상북도 안동시,202501-202512,인도네시아,인도네시아,6562.0,81.0,2.5,2.48
47170,경상북도 안동시,202501-202512,프랑스,프랑스,6477.0,80.0,2.4,2.45
47170,경상북도 안동시,202501-202512,독일,독일,6004.0,77.0,2.3,2.27
47170,경상북도 안동시,202501-202512,대만,대만,5269.0,73.0,2.0,1.99
47170,경상북도 안동시,202501-202512,홍콩,홍콩,4680.0,68.0,1.8,1.77
47170,경상북도 안동시,202501-202512,러시아,러시아,2581.0,51.0,1.0,0.98
47170,경상북도 안동시,202501-202512,영국,영국,2499.0,50.0,0.9,0.94
47170,경상북도 안동시,202501-202512,캐나다,캐나다,2427.0,49.0,0.9,0.92
47170,경상북도 안동시,202501-202512,몽골,몽골,2427.0,49.0,0.9,0.92
47170,경상북도 안동시,202501-202512,오스트레일리아,오스트레일리아,2401.0,49.0,0.9,0.91
47170,경상북도 안동시,202501-202512,싱가포르,싱가포르,2179.0,47.0,0.8,0.82
47170,경상북도 안동시,202501-202512,인도,인도,1679.0,41.0,0.6,0.63
47170,경상북도 안동시,202501-202512,멕시코,멕시코,950.0,31.0,0.4,0.36
47170,경상북도 안동시,202501-202512,카자흐스탄,카자흐스탄,455.0,21.0,0.2,0.17
47170,경상북도 안동시,202501-202512,튀르키예,튀르키예,450.0,21.0,0.2,0.17
47170,경상북도 안동시,202501-202512,사우디아라비아,사우디아라비아,120.0,11.0,0.0,0.05
47170,경상북도 안동시,202501-202512,아랍에미리트,아랍에미리트,42.0,6.0,0.0,0.02
