조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,TOT_DPTR_REGN_NM_RATE,TOT_DTL_TOU_NUM_RATE
47170,경상북도 안동시,202601-202608,베트남,베트남,87504.0,296.0,34.5,34.49
47170,경상북도 안동시,202601-202608,기타,기타,86774.0,295.0,34.2,34.2
47170,경상북도 안동시,202601-202608,중국,중국,14155.0,119.0,5.6,5.58
47170,경상북도 안동시,202601-202608,미국,미국,10290.0,101.0,4.1,4.06
47170,경상북도 안동시,202601-202608,일본,일본,10019.0,100.0,3.9,3.95
47170,경상북도 안동시,202601-202608,프랑스,프랑스,5937.0,77.0,2.3,2.34
47170,경상북도 안동시,202601-202608,독일,독일,5078.0,71.0,2.0,2.0
47170,경상북도 안동시,202601-202608,홍콩,홍콩,4602.0,68.0,1.8,1.81
47170,경상북도 안동시,202601-202608,태국,태국,3838.0,62.0,1.5,1.51
47170,경상북도 안동시,202601-202608,필리핀,필리핀,3527.0,59.0,1.4,1.39
47170,경상북도 안동시,202601-202608,말레이시아,말레이시아,3316.0,58.0,1.3,1.31
47170,경상북도 안동시,202601-202608,대만,대만,2751.0,52.0,1.1,1.08
47170,경상북도 안동시,202601-202608,싱가포르,싱가포르,2335.0,48.0,0.9,0.92
47170,경상북도 안동시,202601-202608,러시아,러시아,2329.0,48.0,0.9,0.92
47170,경상북도 안동시,202601-202608,몽골,몽골,2094.0,46.0,0.8,0.83
47170,경상북도 안동시,202601-202608,오스트레일리아,오스트레일리아,2074.0,46.0,0.8,0.82
47170,경상북도 안동시,202601-202608,캐나다,캐나다,1960.0,44.0,0.8,0.77
47170,경상북도 안동시,202601-202608,영국,영국,1856.0,43.0,0.7,0.73
47170,경상북도 안동시,202601-202608,인도네시아,인도네시아,1291.0,36.0,0.5,0.51
47170,경상북도 안동시,202601-202608,카자흐스탄,카자흐스탄,776.0,28.0,0.3,0.31
47170,경상북도 안동시,202601-202608,인도,인도,471.0,22.0,0.2,0.19
47170,경상북도 안동시,202601-202608,멕시코,멕시코,491.0,22.0,0.2,0.19
47170,경상북도 안동시,202601-202608,튀르키예,튀르키예,157.0,13.0,0.1,0.06
47170,경상북도 안동시,202601-202608,아랍에미리트,아랍에미리트,39.0,6.0,0.0,0.02
47170,경상북도 안동시,202601-202608,사우디아라비아,사우디아라비아,36.0,6.0,0.0,0.01
