조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202401-202408,자연관광,자연경관(산),7165,85.0,0.9,926,30.0,12.9
47170,경상북도 안동시,202401-202408,자연관광,자연경관(하천/해양),7165,85.0,0.9,880,30.0,12.3
47170,경상북도 안동시,202401-202408,자연관광,자연공원,7165,85.0,0.9,5356,73.0,74.8
47170,경상북도 안동시,202401-202408,자연관광,자연생태,7165,85.0,0.9,3,2.0,0.0
47170,경상북도 안동시,202401-202408,역사관광,역사유물,113945,338.0,14.1,230,15.0,0.2
47170,경상북도 안동시,202401-202408,역사관광,역사유적지,113945,338.0,14.1,99444,315.0,87.3
47170,경상북도 안동시,202401-202408,역사관광,종교성지,113945,338.0,14.1,14271,119.0,12.5
47170,경상북도 안동시,202401-202408,체험관광,웰니스관광,9101,95.0,1.1,8513,92.0,93.5
47170,경상북도 안동시,202401-202408,체험관광,농/산/어촌체험,9101,95.0,1.1,588,24.0,6.5
47170,경상북도 안동시,202401-202408,문화관광,테마공원,73816,272.0,9.1,8206,91.0,11.1
47170,경상북도 안동시,202401-202408,문화관광,레저스포츠시설,73816,272.0,9.1,5026,71.0,6.8
47170,경상북도 안동시,202401-202408,문화관광,공연시설,73816,272.0,9.1,11469,107.0,15.5
47170,경상북도 안동시,202401-202408,문화관광,전시시설,73816,272.0,9.1,14253,119.0,19.3
47170,경상북도 안동시,202401-202408,문화관광,복합관광시설,73816,272.0,9.1,2516,50.0,3.4
47170,경상북도 안동시,202401-202408,문화관광,랜드마크관광,73816,272.0,9.1,9,3.0,0.0
47170,경상북도 안동시,202401-202408,문화관광,도시공원,73816,272.0,9.1,28877,170.0,39.1
47170,경상북도 안동시,202401-202408,문화관광,기타문화관광지,73816,272.0,9.1,3460,59.0,4.7
47170,경상북도 안동시,202401-202408,레저스포츠,육상레저스포츠,34216,185.0,4.2,20400,143.0,59.6
47170,경상북도 안동시,202401-202408,레저스포츠,수상레저스포츠,34216,185.0,4.2,589,24.0,1.7
47170,경상북도 안동시,202401-202408,레저스포츠,기타레저스포츠,34216,185.0,4.2,13227,115.0,38.7
47170,경상북도 안동시,202401-202408,쇼핑,기타쇼핑시설,62240,249.0,7.7,3364,58.0,5.4
47170,경상북도 안동시,202401-202408,쇼핑,시장,62240,249.0,7.7,58876,243.0,94.6
47170,경상북도 안동시,202401-202408,음식,한식,311500,558.0,38.5,138776,373.0,44.6
47170,경상북도 안동시,202401-202408,음식,카페/찻집,311500,558.0,38.5,71630,268.0,23.0
47170,경상북도 안동시,202401-202408,음식,간이음식,311500,558.0,38.5,32177,179.0,10.3
47170,경상북도 안동시,202401-202408,음식,외국식,311500,558.0,38.5,16181,127.0,5.2
47170,경상북도 안동시,202401-202408,음식,음식점기타,311500,558.0,38.5,5781,76.0,1.9
47170,경상북도 안동시,202401-202408,음식,전문음식,311500,558.0,38.5,46955,217.0,15.1
47170,경상북도 안동시,202401-202408,숙박,펜션/민박,86226,294.0,10.7,6876,83.0,8.0
47170,경상북도 안동시,202401-202408,숙박,캠핑,86226,294.0,10.7,3711,61.0,4.3
47170,경상북도 안동시,202401-202408,숙박,호텔,86226,294.0,10.7,34573,186.0,40.1
47170,경상북도 안동시,202401-202408,숙박,호스텔,86226,294.0,10.7,1908,44.0,2.2
47170,경상북도 안동시,202401-202408,숙박,콘도미니엄,86226,294.0,10.7,1884,43.0,2.2
47170,경상북도 안동시,202401-202408,숙박,모텔,86226,294.0,10.7,36643,191.0,42.5
47170,경상북도 안동시,202401-202408,숙박,기타숙박,86226,294.0,10.7,631,25.0,0.7
47170,경상북도 안동시,202401-202408,기타관광,교통시설,110146,332.0,13.6,67286,259.0,61.1
47170,경상북도 안동시,202401-202408,기타관광,기타관광,110146,332.0,13.6,42860,207.0,38.9
47130,경상북도 경주시,202401-202408,자연관광,자연경관(하천/해양),123645,352.0,3.1,107058,327.0,86.6
47130,경상북도 경주시,202401-202408,자연관광,자연경관(산),123645,352.0,3.1,3838,62.0,3.1
47130,경상북도 경주시,202401-202408,자연관광,자연공원,123645,352.0,3.1,3341,58.0,2.7
47130,경상북도 경주시,202401-202408,자연관광,자연생태,123645,352.0,3.1,9408,97.0,7.6
47130,경상북도 경주시,202401-202408,역사관광,역사유물,639309,800.0,16.1,6342,80.0,1.0
47130,경상북도 경주시,202401-202408,역사관광,역사유적지,639309,800.0,16.1,444032,666.0,69.5
47130,경상북도 경주시,202401-202408,역사관광,종교성지,639309,800.0,16.1,188935,435.0,29.6
47130,경상북도 경주시,202401-202408,체험관광,공예체험,6421,80.0,0.2,805,28.0,12.5
47130,경상북도 경주시,202401-202408,체험관광,농/산/어촌체험,6421,80.0,0.2,3607,60.0,56.2
47130,경상북도 경주시,202401-202408,체험관광,웰니스관광,6421,80.0,0.2,2009,45.0,31.3
47130,경상북도 경주시,202401-202408,문화관광,복합관광시설,503691,710.0,12.7,79401,282.0,15.8
47130,경상북도 경주시,202401-202408,문화관광,테마공원,503691,710.0,12.7,156570,396.0,31.1
47130,경상북도 경주시,202401-202408,문화관광,레저스포츠시설,503691,710.0,12.7,23576,154.0,4.7
47130,경상북도 경주시,202401-202408,문화관광,공연시설,503691,710.0,12.7,22503,150.0,4.5
47130,경상북도 경주시,202401-202408,문화관광,기타문화관광지,503691,710.0,12.7,5761,76.0,1.1
47130,경상북도 경주시,202401-202408,문화관광,전시시설,503691,710.0,12.7,150151,387.0,29.8
47130,경상북도 경주시,202401-202408,문화관광,랜드마크관광,503691,710.0,12.7,23444,153.0,4.7
47130,경상북도 경주시,202401-202408,문화관광,도시공원,503691,710.0,12.7,42233,206.0,8.4
47130,경상북도 경주시,202401-202408,문화관광,도시/지역문화관광,503691,710.0,12.7,52,7.0,0.0
47130,경상북도 경주시,202401-202408,레저스포츠,육상레저스포츠,188374,434.0,4.7,168124,410.0,89.3
47130,경상북도 경주시,202401-202408,레저스포츠,수상레저스포츠,188374,434.0,4.7,1274,36.0,0.7
47130,경상북도 경주시,202401-202408,레저스포츠,기타레저스포츠,188374,434.0,4.7,18976,138.0,10.1
47130,경상북도 경주시,202401-202408,쇼핑,시장,76955,277.0,1.9,54461,233.0,70.8
47130,경상북도 경주시,202401-202408,쇼핑,전문매장/상가,76955,277.0,1.9,41,6.0,0.1
47130,경상북도 경주시,202401-202408,쇼핑,쇼핑몰,76955,277.0,1.9,22453,150.0,29.2
47130,경상북도 경주시,202401-202408,음식,카페/찻집,1420556,1192.0,35.8,308622,556.0,21.7
47130,경상북도 경주시,202401-202408,음식,한식,1420556,1192.0,35.8,606912,779.0,42.7
47130,경상북도 경주시,202401-202408,음식,간이음식,1420556,1192.0,35.8,184712,430.0,13.0
47130,경상북도 경주시,202401-202408,음식,외국식,1420556,1192.0,35.8,51549,227.0,3.6
47130,경상북도 경주시,202401-202408,음식,음식점기타,1420556,1192.0,35.8,110196,332.0,7.8
47130,경상북도 경주시,202401-202408,음식,전문음식,1420556,1192.0,35.8,158565,398.0,11.2
47130,경상북도 경주시,202401-202408,숙박,콘도미니엄,738747,860.0,18.6,185622,431.0,25.1
47130,경상북도 경주시,202401-202408,숙박,캠핑,738747,860.0,18.6,26806,164.0,3.6
47130,경상북도 경주시,202401-202408,숙박,호텔,738747,860.0,18.6,235369,485.0,31.9
47130,경상북도 경주시,202401-202408,숙박,호스텔,738747,860.0,18.6,13599,117.0,1.8
47130,경상북도 경주시,202401-202408,숙박,펜션/민박,738747,860.0,18.6,188321,434.0,25.5
47130,경상북도 경주시,202401-202408,숙박,모텔,738747,860.0,18.6,83367,289.0,11.3
47130,경상북도 경주시,202401-202408,숙박,기타숙박,738747,860.0,18.6,5663,75.0,0.8
47130,경상북도 경주시,202401-202408,기타관광,교통시설,274806,524.0,6.9,205069,453.0,74.6
47130,경상북도 경주시,202401-202408,기타관광,데이트코스,274806,524.0,6.9,380,19.0,0.1
47130,경상북도 경주시,202401-202408,기타관광,기타관광,274806,524.0,6.9,69357,263.0,25.2
44150,충청남도 공주시,202401-202408,자연관광,자연경관(산),18183,135.0,1.5,5324,73.0,29.3
44150,충청남도 공주시,202401-202408,자연관광,자연경관(하천/해양),18183,135.0,1.5,8342,91.0,45.9
44150,충청남도 공주시,202401-202408,자연관광,자연공원,18183,135.0,1.5,4517,67.0,24.8
44150,충청남도 공주시,202401-202408,역사관광,역사유물,248125,498.0,20.9,751,27.0,0.3
44150,충청남도 공주시,202401-202408,역사관광,역사유적지,248125,498.0,20.9,65634,256.0,26.5
44150,충청남도 공주시,202401-202408,역사관광,종교성지,248125,498.0,20.9,181740,426.0,73.2
44150,충청남도 공주시,202401-202408,체험관광,공예체험,8629,93.0,0.7,41,6.0,0.5
44150,충청남도 공주시,202401-202408,체험관광,농/산/어촌체험,8629,93.0,0.7,5383,73.0,62.4
44150,충청남도 공주시,202401-202408,체험관광,웰니스관광,8629,93.0,0.7,3205,57.0,37.1
44150,충청남도 공주시,202401-202408,문화관광,레저스포츠시설,106094,326.0,8.9,4488,67.0,4.2
