조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202501-202512,자연관광,자연경관(산),7433,86.0,0.6,812,28.0,10.9
47170,경상북도 안동시,202501-202512,자연관광,자연경관(하천/해양),7433,86.0,0.6,1319,36.0,17.7
47170,경상북도 안동시,202501-202512,자연관광,자연공원,7433,86.0,0.6,5291,73.0,71.2
47170,경상북도 안동시,202501-202512,자연관광,자연생태,7433,86.0,0.6,11,3.0,0.1
47170,경상북도 안동시,202501-202512,역사관광,종교성지,196819,444.0,15.5,26542,163.0,13.5
47170,경상북도 안동시,202501-202512,역사관광,역사유물,196819,444.0,15.5,469,22.0,0.2
47170,경상북도 안동시,202501-202512,역사관광,역사유적지,196819,444.0,15.5,169808,412.0,86.3
47170,경상북도 안동시,202501-202512,체험관광,공예체험,19522,140.0,1.5,12,3.0,0.1
47170,경상북도 안동시,202501-202512,체험관광,농/산/어촌체험,19522,140.0,1.5,894,30.0,4.6
47170,경상북도 안동시,202501-202512,체험관광,웰니스관광,19522,140.0,1.5,16735,129.0,85.7
47170,경상북도 안동시,202501-202512,체험관광,체험관광기타,19522,140.0,1.5,1881,43.0,9.6
47170,경상북도 안동시,202501-202512,문화관광,랜드마크관광,118932,345.0,9.4,24,5.0,0.0
47170,경상북도 안동시,202501-202512,문화관광,기타문화관광지,118932,345.0,9.4,8620,93.0,7.2
47170,경상북도 안동시,202501-202512,문화관광,도시공원,118932,345.0,9.4,39195,198.0,33.0
47170,경상북도 안동시,202501-202512,문화관광,복합관광시설,118932,345.0,9.4,4368,66.0,3.7
47170,경상북도 안동시,202501-202512,문화관광,테마공원,118932,345.0,9.4,10676,103.0,9.0
47170,경상북도 안동시,202501-202512,문화관광,레저스포츠시설,118932,345.0,9.4,10486,102.0,8.8
47170,경상북도 안동시,202501-202512,문화관광,공연시설,118932,345.0,9.4,17740,133.0,14.9
47170,경상북도 안동시,202501-202512,문화관광,전시시설,118932,345.0,9.4,27823,167.0,23.4
47170,경상북도 안동시,202501-202512,레저스포츠,육상레저스포츠,59534,244.0,4.7,37243,193.0,62.6
47170,경상북도 안동시,202501-202512,레저스포츠,수상레저스포츠,59534,244.0,4.7,1024,32.0,1.7
47170,경상북도 안동시,202501-202512,레저스포츠,기타레저스포츠,59534,244.0,4.7,21267,146.0,35.7
47170,경상북도 안동시,202501-202512,쇼핑,전문매장/상가,116737,342.0,9.2,21,5.0,0.0
47170,경상북도 안동시,202501-202512,쇼핑,기타쇼핑시설,116737,342.0,9.2,7010,84.0,6.0
47170,경상북도 안동시,202501-202512,쇼핑,시장,116737,342.0,9.2,109706,331.0,94.0
47170,경상북도 안동시,202501-202512,음식,간이음식,413984,643.0,32.6,51558,227.0,12.5
47170,경상북도 안동시,202501-202512,음식,외국식,413984,643.0,32.6,16422,128.0,4.0
47170,경상북도 안동시,202501-202512,음식,음식점기타,413984,643.0,32.6,9347,97.0,2.3
47170,경상북도 안동시,202501-202512,음식,전문음식,413984,643.0,32.6,64407,254.0,15.6
47170,경상북도 안동시,202501-202512,음식,한식,413984,643.0,32.6,175521,419.0,42.4
47170,경상북도 안동시,202501-202512,음식,카페/찻집,413984,643.0,32.6,96729,311.0,23.4
