조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,DISP_NM,DTL_TOU_NUM,TOT_DTL_TOU_NUM_RATE,TOU_NUM,TOU_NUM_SQRT,TOT_DPTR_REGN_NM_RATE
47170,경상북도 안동시,202501-202512,경상북도,예천군,경상북도 예천군,2356423.0,13.1,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,영주시,경상북도 영주시,1417795.0,7.9,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,의성군,경상북도 의성군,842716.0,4.7,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,청송군,경상북도 청송군,687680.0,3.8,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,구미시,경상북도 구미시,472203.0,2.6,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,영양군,경상북도 영양군,376620.0,2.1,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,경산시,경상북도 경산시,316063.0,1.8,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,봉화군,경상북도 봉화군,284990.0,1.6,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,포항시 북구,경상북도 포항시 북구,226000.0,1.3,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,문경시,경상북도 문경시,241038.0,1.3,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,상주시,경상북도 상주시,210016.0,1.2,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,경주시,경상북도 경주시,169249.0,0.9,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,포항시 남구,경상북도 포항시 남구,137180.0,0.8,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,칠곡군,경상북도 칠곡군,127564.0,0.7,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,김천시,경상북도 김천시,110910.0,0.6,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,영덕군,경상북도 영덕군,104452.0,0.6,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,영천시,경상북도 영천시,80983.0,0.5,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,울진군,경상북도 울진군,83329.0,0.5,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,성주군,경상북도 성주군,34359.0,0.2,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,청도군,경상북도 청도군,22051.0,0.1,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,고령군,경상북도 고령군,21775.0,0.1,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,경상북도,울릉군,경상북도 울릉군,10011.0,0.1,8333406.0,2887.0,46.5
47170,경상북도 안동시,202501-202512,대구광역시,북구,대구광역시 북구,600400.0,3.4,2620579.0,1619.0,14.6
47170,경상북도 안동시,202501-202512,대구광역시,달서구,대구광역시 달서구,544534.0,3.0,2620579.0,1619.0,14.6
47170,경상북도 안동시,202501-202512,대구광역시,수성구,대구광역시 수성구,410872.0,2.3,2620579.0,1619.0,14.6
47170,경상북도 안동시,202501-202512,대구광역시,동구,대구광역시 동구,379058.0,2.1,2620579.0,1619.0,14.6
