조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,DISP_NM,DTL_TOU_NUM,TOT_DTL_TOU_NUM_RATE,TOU_NUM,TOU_NUM_SQRT,TOT_DPTR_REGN_NM_RATE
47170,경상북도 안동시,202601-202608,경상북도,예천군,경상북도 예천군,1621085.0,13.8,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,영주시,경상북도 영주시,934536.0,8.0,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,의성군,경상북도 의성군,537335.0,4.6,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,청송군,경상북도 청송군,450321.0,3.8,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,구미시,경상북도 구미시,303716.0,2.6,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,영양군,경상북도 영양군,246122.0,2.1,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,경산시,경상북도 경산시,208401.0,1.8,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,봉화군,경상북도 봉화군,189167.0,1.6,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,문경시,경상북도 문경시,160443.0,1.4,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,포항시 북구,경상북도 포항시 북구,155084.0,1.3,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,상주시,경상북도 상주시,138980.0,1.2,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,경주시,경상북도 경주시,112335.0,1.0,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,포항시 남구,경상북도 포항시 남구,91550.0,0.8,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,칠곡군,경상북도 칠곡군,80022.0,0.7,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,김천시,경상북도 김천시,70060.0,0.6,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,영덕군,경상북도 영덕군,66225.0,0.6,5536832.0,2353.0,47.2
47170,경상북도 안동시,202601-202608,경상북도,영천시,경상북도 영천시,55813.0,0.5,5536832.0,2353.0,47.2
