조회_SGG_CD,조회_지역,조회기간,BASE_YM,SIDO_NM,LODG_TOU_NUM_RATE,AVG_LODG_DAYS
47170,경상북도 안동시,201801-202608,201801,안동시,15.1,2.8
47170,경상북도 안동시,201801-202608,201802,안동시,19.1,2.78
47170,경상북도 안동시,201801-202608,201803,안동시,12.4,3.21
47170,경상북도 안동시,201801-202608,201804,안동시,12.4,2.69
47170,경상북도 안동시,201801-202608,201805,안동시,14.0,2.66
47170,경상북도 안동시,201801-202608,201806,안동시,12.7,2.7
47170,경상북도 안동시,201801-202608,201807,안동시,13.0,2.77
47170,경상북도 안동시,201801-202608,201808,안동시,13.6,2.81
47170,경상북도 안동시,201801-202608,201809,안동시,17.2,2.79
47170,경상북도 안동시,201801-202608,201810,안동시,10.9,2.68
47170,경상북도 안동시,201801-202608,201811,안동시,13.5,2.67
47170,경상북도 안동시,201801-202608,201812,안동시,14.3,2.71
47170,경상북도 안동시,201801-202608,201901,안동시,11.3,2.86
47170,경상북도 안동시,201801-202608,201902,안동시,18.6,2.81
47170,경상북도 안동시,201801-202608,201903,안동시,12.6,3.16
47170,경상북도 안동시,201801-202608,201904,안동시,12.4,2.66
47170,경상북도 안동시,201801-202608,201905,안동시,13.7,2.67
47170,경상북도 안동시,201801-202608,201906,안동시,12.4,2.69
47170,경상북도 안동시,201801-202608,201907,안동시,13.3,2.92
47170,경상북도 안동시,201801-202608,201908,안동시,14.5,2.74
47170,경상북도 안동시,201801-202608,201909,안동시,16.5,2.86
47170,경상북도 안동시,201801-202608,201910,안동시,11.6,2.67
47170,경상북도 안동시,201801-202608,201911,안동시,14.0,2.62
47170,경상북도 안동시,201801-202608,201912,안동시,12.8,2.73
47170,경상북도 안동시,201801-202608,202001,안동시,17.1,2.75
47170,경상북도 안동시,201801-202608,202002,안동시,11.8,3.08
47170,경상북도 안동시,201801-202608,202003,안동시,11.5,3.35
47170,경상북도 안동시,201801-202608,202004,안동시,13.3,2.97
47170,경상북도 안동시,201801-202608,202005,안동시,13.7,2.81
47170,경상북도 안동시,201801-202608,202006,안동시,12.3,2.85
47170,경상북도 안동시,201801-202608,202007,안동시,14.2,2.83
47170,경상북도 안동시,201801-202608,202008,안동시,15.1,2.76
47170,경상북도 안동시,201801-202608,202009,안동시,15.3,2.78
47170,경상북도 안동시,201801-202608,202010,안동시,15.3,2.7
47170,경상북도 안동시,201801-202608,202011,안동시,13.1,2.75
47170,경상북도 안동시,201801-202608,202012,안동시,13.1,3.0
47170,경상북도 안동시,201801-202608,202101,안동시,12.1,3.01
47170,경상북도 안동시,201801-202608,202102,안동시,15.9,2.89
47170,경상북도 안동시,201801-202608,202103,안동시,11.9,3.23
47170,경상북도 안동시,201801-202608,202104,안동시,13.3,2.83
47170,경상북도 안동시,201801-202608,202105,안동시,14.2,2.7
47170,경상북도 안동시,201801-202608,202106,안동시,12.6,2.79
47170,경상북도 안동시,201801-202608,202107,안동시,14.1,2.81
47170,경상북도 안동시,201801-202608,202108,안동시,13.5,2.83
47170,경상북도 안동시,201801-202608,202109,안동시,15.5,2.93
47170,경상북도 안동시,201801-202608,202110,안동시,12.7,2.72
47170,경상북도 안동시,201801-202608,202111,안동시,13.2,2.69
47170,경상북도 안동시,201801-202608,202112,안동시,13.4,2.82
47170,경상북도 안동시,201801-202608,202201,안동시,16.6,2.77
47170,경상북도 안동시,201801-202608,202202,안동시,13.2,2.81
47170,경상북도 안동시,201801-202608,202203,안동시,11.5,3.33
47170,경상북도 안동시,201801-202608,202204,안동시,13.5,2.71
47170,경상북도 안동시,201801-202608,202205,안동시,13.9,2.71
47170,경상북도 안동시,201801-202608,202206,안동시,15.8,2.84
47170,경상북도 안동시,201801-202608,202207,안동시,16.3,3.05
47170,경상북도 안동시,201801-202608,202208,안동시,16.2,2.75
47170,경상북도 안동시,201801-202608,202209,안동시,18.4,2.75
47170,경상북도 안동시,201801-202608,202210,안동시,15.2,2.56
47170,경상북도 안동시,201801-202608,202211,안동시,15.4,2.64
47170,경상북도 안동시,201801-202608,202212,안동시,16.1,2.75
47170,경상북도 안동시,201801-202608,202301,안동시,18.9,2.79
