조회_SGG_CD,조회_지역,조회기간,BASE_YM,D1,D2,D3,D4,D5,D6,D7,DA,PRE1,PRE2,PRE3,PRE4,PRE5,PRE6,PRE7,PREA,LYD1,LYD2,LYD3,LYD4,LYD5,LYD6,LYD7,LYDA
47170,경상북도 안동시,201801-202608,201801,63.7,19.0,6.9,3.5,1.7,1.0,4.1,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201802,61.5,21.6,7.7,3.5,1.6,0.9,3.3,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201803,61.9,12.9,4.9,4.1,4.4,2.6,9.1,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201804,69.6,16.4,5.0,2.3,1.6,1.1,4.0,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201805,68.4,17.7,6.0,2.5,1.2,0.8,3.4,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201806,71.2,14.5,4.5,2.5,1.9,1.1,4.3,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201807,67.3,16.5,5.4,3.2,2.0,1.1,4.4,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201808,65.7,16.9,5.8,3.3,2.9,1.3,4.1,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201809,62.6,19.9,7.1,4.0,2.1,1.0,3.3,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201810,70.8,14.6,5.2,2.8,1.6,1.0,4.0,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201811,70.5,15.7,4.7,2.5,1.8,0.9,3.8,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201812,70.3,14.6,5.6,2.5,1.7,1.0,4.3,100.0,,,,,,,,,,,,,,,,
47170,경상북도 안동시,201801-202608,201901,66.9,14.7,5.7,3.7,2.1,1.3,5.7,100.0,63.7,19.0,6.9,3.5,1.7,1.0,4.1,100.0,3.2,-4.3,-1.2,0.2,0.4,0.3,1.6,0.0
47170,경상북도 안동시,201801-202608,201902,61.2,20.1,8.5,4.1,2.0,0.9,3.2,100.0,61.5,21.6,7.7,3.5,1.6,0.9,3.3,100.0,-0.3,-1.5,0.8,0.6,0.4,0.0,-0.1,0.0
47170,경상북도 안동시,201801-202608,201903,62.1,13.9,4.8,3.7,4.7,2.3,8.6,100.0,61.9,12.9,4.9,4.1,4.4,2.6,9.1,100.0,0.2,1.0,-0.1,-0.4,0.3,-0.3,-0.5,0.0
47170,경상북도 안동시,201801-202608,201904,71.0,15.6,4.6,2.4,1.5,0.9,3.9,100.0,69.6,16.4,5.0,2.3,1.6,1.1,4.0,100.0,1.4,-0.8,-0.4,0.1,-0.1,-0.2,-0.1,0.0
47170,경상북도 안동시,201801-202608,201905,68.3,18.0,5.6,2.5,1.5,0.8,3.4,100.0,68.4,17.7,6.0,2.5,1.2,0.8,3.4,100.0,-0.1,0.3,-0.4,0.0,0.3,0.0,0.0,0.0
47170,경상북도 안동시,201801-202608,201906,70.6,15.1,4.6,2.7,1.7,1.1,4.1,100.0,71.2,14.5,4.5,2.5,1.9,1.1,4.3,100.0,-0.6,0.6,0.1,0.2,-0.2,0.0,-0.2,0.0
47170,경상북도 안동시,201801-202608,201907,64.5,16.0,6.2,3.4,2.2,1.3,6.4,100.0,67.3,16.5,5.4,3.2,2.0,1.1,4.4,100.0,-2.8,-0.5,0.8,0.2,0.2,0.2,2.0,0.0
47170,경상북도 안동시,201801-202608,201908,67.1,17.3,5.4,2.9,2.1,1.3,3.8,100.0,65.7,16.9,5.8,3.3,2.9,1.3,4.1,100.0,1.4,0.4,-0.4,-0.4,-0.8,0.0,-0.3,0.0
47170,경상북도 안동시,201801-202608,201909,61.9,19.7,7.0,3.5,2.1,1.0,4.9,100.0,62.6,19.9,7.1,4.0,2.1,1.0,3.3,100.0,-0.7,-0.2,-0.1,-0.5,0.0,0.0,1.6,0.0
47170,경상북도 안동시,201801-202608,201910,71.3,14.5,4.9,2.9,1.5,1.0,3.8,100.0,70.8,14.6,5.2,2.8,1.6,1.0,4.0,100.0,0.5,-0.1,-0.3,0.1,-0.1,0.0,-0.2,0.0
47170,경상북도 안동시,201801-202608,201911,71.9,15.7,4.2,2.3,1.6,0.9,3.4,100.0,70.5,15.7,4.7,2.5,1.8,0.9,3.8,100.0,1.4,0.0,-0.5,-0.2,-0.2,0.0,-0.4,0.0
47170,경상북도 안동시,201801-202608,201912,69.5,15.1,5.3,2.8,1.7,1.1,4.6,100.0,70.3,14.6,5.6,2.5,1.7,1.0,4.3,100.0,-0.8,0.5,-0.3,0.3,0.0,0.1,0.3,0.0
47170,경상북도 안동시,201801-202608,202001,63.5,20.3,7.2,3.4,1.6,0.8,3.2,100.0,66.9,14.7,5.7,3.7,2.1,1.3,5.7,100.0,-3.4,5.6,1.5,-0.3,-0.5,-0.5,-2.5,0.0
47170,경상북도 안동시,201801-202608,202002,63.2,14.3,5.7,3.9,2.7,1.7,8.6,100.0,61.2,20.1,8.5,4.1,2.0,0.9,3.2,100.0,2.0,-5.8,-2.8,-0.2,0.7,0.8,5.4,0.0
47170,경상북도 안동시,201801-202608,202003,54.9,16.9,7.4,4.4,3.0,2.0,11.4,100.0,62.1,13.9,4.8,3.7,4.7,2.3,8.6,100.0,-7.2,3.0,2.6,0.7,-1.7,-0.3,2.8,0.0
47170,경상북도 안동시,201801-202608,202004,63.1,17.0,6.1,3.1,2.1,1.3,7.3,100.0,71.0,15.6,4.6,2.4,1.5,0.9,3.9,100.0,-7.9,1.4,1.5,0.7,0.6,0.4,3.4,0.0
47170,경상북도 안동시,201801-202608,202005,64.9,18.8,5.6,2.9,1.7,1.1,5.0,100.0,68.3,18.0,5.6,2.5,1.5,0.8,3.4,100.0,-3.4,0.8,0.0,0.4,0.2,0.3,1.6,0.0
47170,경상북도 안동시,201801-202608,202006,66.1,16.4,5.3,3.3,1.9,1.3,5.6,100.0,70.6,15.1,4.6,2.7,1.7,1.1,4.1,100.0,-4.5,1.3,0.7,0.6,0.2,0.2,1.5,0.0
47170,경상북도 안동시,201801-202608,202007,65.9,17.1,5.3,3.0,2.2,1.2,5.3,100.0,64.5,16.0,6.2,3.4,2.2,1.3,6.4,100.0,1.4,1.1,-0.9,-0.4,0.0,-0.1,-1.1,0.0
47170,경상북도 안동시,201801-202608,202008,66.2,18.2,5.8,2.7,1.6,1.1,4.5,100.0,67.1,17.3,5.4,2.9,2.1,1.3,3.8,100.0,-0.9,0.9,0.4,-0.2,-0.5,-0.2,0.7,0.0
47170,경상북도 안동시,201801-202608,202009,68.5,16.1,4.5,2.5,1.9,1.0,5.4,100.0,61.9,19.7,7.0,3.5,2.1,1.0,4.9,100.0,6.6,-3.6,-2.5,-1.0,-0.2,0.0,0.5,0.0
47170,경상북도 안동시,201801-202608,202010,67.3,17.8,6.3,2.5,1.5,1.0,3.6,100.0,71.3,14.5,4.9,2.9,1.5,1.0,3.8,100.0,-4.0,3.3,1.4,-0.4,0.0,0.0,-0.2,0.0
47170,경상북도 안동시,201801-202608,202011,68.4,16.4,4.9,2.6,1.8,1.2,4.6,100.0,71.9,15.7,4.2,2.3,1.6,0.9,3.4,100.0,-3.5,0.7,0.7,0.3,0.2,0.3,1.2,0.0
47170,경상북도 안동시,201801-202608,202012,62.1,16.9,6.8,3.3,1.9,1.4,7.5,100.0,69.5,15.1,5.3,2.8,1.7,1.1,4.6,100.0,-7.4,1.8,1.5,0.5,0.2,0.3,2.9,0.0
47170,경상북도 안동시,201801-202608,202101,61.8,17.6,5.9,3.5,2.2,1.6,7.4,100.0,63.5,20.3,7.2,3.4,1.6,0.8,3.2,100.0,-1.7,-2.7,-1.3,0.1,0.6,0.8,4.2,0.0
47170,경상북도 안동시,201801-202608,202102,61.3,19.7,7.0,3.8,1.9,1.3,5.1,100.0,63.2,14.3,5.7,3.9,2.7,1.7,8.6,100.0,-1.9,5.4,1.3,-0.1,-0.8,-0.4,-3.5,0.0
47170,경상북도 안동시,201801-202608,202103,57.8,15.4,7.7,4.6,3.6,1.6,9.2,100.0,54.9,16.9,7.4,4.4,3.0,2.0,11.4,100.0,2.9,-1.5,0.3,0.2,0.6,-0.4,-2.2,0.0
47170,경상북도 안동시,201801-202608,202104,65.6,17.5,5.6,2.9,2.0,1.0,5.4,100.0,63.1,17.0,6.1,3.1,2.1,1.3,7.3,100.0,2.5,0.5,-0.5,-0.2,-0.1,-0.3,-1.9,0.0
47170,경상북도 안동시,201801-202608,202105,69.7,16.3,4.7,2.5,1.5,0.9,4.3,100.0,64.9,18.8,5.6,2.9,1.7,1.1,5.0,100.0,4.8,-2.5,-0.9,-0.4,-0.2,-0.2,-0.7,0.0
47170,경상북도 안동시,201801-202608,202106,66.8,16.5,6.0,2.9,1.9,1.1,4.8,100.0,66.1,16.4,5.3,3.3,1.9,1.3,5.6,100.0,0.7,0.1,0.7,-0.4,0.0,-0.2,-0.8,0.0
47170,경상북도 안동시,201801-202608,202107,66.1,17.7,5.4,2.7,1.8,1.3,5.1,100.0,65.9,17.1,5.3,3.0,2.2,1.2,5.3,100.0,0.2,0.6,0.1,-0.3,-0.4,0.1,-0.2,0.0
47170,경상북도 안동시,201801-202608,202108,63.9,18.6,6.6,3.0,1.8,1.1,4.8,100.0,66.2,18.2,5.8,2.7,1.6,1.1,4.5,100.0,-2.3,0.4,0.8,0.3,0.2,0.0,0.3,0.0
47170,경상북도 안동시,201801-202608,202109,59.3,20.5,7.8,4.3,2.2,1.1,4.9,100.0,68.5,16.1,4.5,2.5,1.9,1.0,5.4,100.0,-9.2,4.4,3.3,1.8,0.3,0.1,-0.5,0.0
47170,경상북도 안동시,201801-202608,202110,68.5,16.7,5.5,2.5,1.5,1.0,4.3,100.0,67.3,17.8,6.3,2.5,1.5,1.0,3.6,100.0,1.2,-1.1,-0.8,0.0,0.0,0.0,0.7,0.0
47170,경상북도 안동시,201801-202608,202111,69.0,17.2,4.8,2.5,1.5,1.0,4.0,100.0,68.4,16.4,4.9,2.6,1.8,1.2,4.6,100.0,0.6,0.8,-0.1,-0.1,-0.3,-0.2,-0.6,0.0
47170,경상북도 안동시,201801-202608,202112,66.7,16.7,5.4,2.7,2.0,1.1,5.5,100.0,62.1,16.9,6.8,3.3,1.9,1.4,7.5,100.0,4.6,-0.2,-1.4,-0.6,0.1,-0.3,-2.0,0.0
47170,경상북도 안동시,201801-202608,202201,64.6,19.2,7.0,2.5,1.4,0.9,4.4,100.0,61.8,17.6,5.9,3.5,2.2,1.6,7.4,100.0,2.8,1.6,1.1,-1.0,-0.8,-0.7,-3.0,0.0
47170,경상북도 안동시,201801-202608,202202,68.8,14.6,4.8,2.9,2.0,1.5,5.6,100.0,61.3,19.7,7.0,3.8,1.9,1.3,5.1,100.0,7.5,-5.1,-2.2,-0.9,0.1,0.2,0.5,0.0
47170,경상북도 안동시,201801-202608,202203,55.5,15.6,7.8,5.8,3.2,1.7,10.5,100.0,57.8,15.4,7.7,4.6,3.6,1.6,9.2,100.0,-2.3,0.2,0.1,1.2,-0.4,0.1,1.3,0.0
47170,경상북도 안동시,201801-202608,202204,68.1,18.1,4.8,2.2,1.6,1.2,4.0,100.0,65.6,17.5,5.6,2.9,2.0,1.0,5.4,100.0,2.5,0.6,-0.8,-0.7,-0.4,0.2,-1.4,0.0
47170,경상북도 안동시,201801-202608,202205,66.9,18.1,5.9,3.1,1.5,1.0,3.6,100.0,69.7,16.3,4.7,2.5,1.5,0.9,4.3,100.0,-2.8,1.8,1.2,0.6,0.0,0.1,-0.7,0.0
47170,경상북도 안동시,201801-202608,202206,65.7,16.7,6.1,3.0,1.9,1.1,5.4,100.0,66.8,16.5,6.0,2.9,1.9,1.1,4.8,100.0,-1.1,0.2,0.1,0.1,0.0,0.0,0.6,0.0
47170,경상북도 안동시,201801-202608,202207,62.4,16.8,5.4,3.1,2.1,1.4,8.7,100.0,66.1,17.7,5.4,2.7,1.8,1.3,5.1,100.0,-3.7,-0.9,0.0,0.4,0.3,0.1,3.6,0.0
47170,경상북도 안동시,201801-202608,202208,65.9,18.1,6.4,3.0,1.6,1.1,3.9,100.0,63.9,18.6,6.6,3.0,1.8,1.1,4.8,100.0,2.0,-0.5,-0.2,0.0,-0.2,0.0,-0.9,0.0
47170,경상북도 안동시,201801-202608,202209,64.4,19.7,6.5,3.2,1.6,0.8,3.7,100.0,59.3,20.5,7.8,4.3,2.2,1.1,4.9,100.0,5.1,-0.8,-1.3,-1.1,-0.6,-0.3,-1.2,0.0
47170,경상북도 안동시,201801-202608,202210,71.7,17.4,4.5,1.8,1.1,0.7,2.8,100.0,68.5,16.7,5.5,2.5,1.5,1.0,4.3,100.0,3.2,0.7,-1.0,-0.7,-0.4,-0.3,-1.5,0.0
47170,경상북도 안동시,201801-202608,202211,70.6,16.2,5.1,2.4,1.4,0.8,3.5,100.0,69.0,17.2,4.8,2.5,1.5,1.0,4.0,100.0,1.6,-1.0,0.3,-0.1,-0.1,-0.2,-0.5,0.0
47170,경상북도 안동시,201801-202608,202212,67.9,16.7,5.2,2.5,1.8,1.2,4.6,100.0,66.7,16.7,5.4,2.7,2.0,1.1,5.5,100.0,1.2,0.0,-0.2,-0.2,-0.2,0.1,-0.9,0.0
47170,경상북도 안동시,201801-202608,202301,62.7,20.5,7.1,3.3,1.7,1.0,3.7,100.0,64.6,19.2,7.0,2.5,1.4,0.9,4.4,100.0,-1.9,1.3,0.1,0.8,0.3,0.1,-0.7,0.0
47170,경상북도 안동시,201801-202608,202302,67.1,15.8,5.7,2.7,2.0,1.3,5.4,100.0,68.8,14.6,4.8,2.9,2.0,1.5,5.6,100.0,-1.7,1.2,0.9,-0.2,0.0,-0.2,-0.2,0.0
47170,경상북도 안동시,201801-202608,202303,61.0,16.2,5.7,3.9,4.0,1.6,7.6,100.0,55.5,15.6,7.8,5.8,3.2,1.7,10.5,100.0,5.5,0.6,-2.1,-1.9,0.8,-0.1,-2.9,0.0
47170,경상북도 안동시,201801-202608,202304,69.7,17.6,4.6,2.2,1.5,0.9,3.6,100.0,68.1,18.1,4.8,2.2,1.6,1.2,4.0,100.0,1.6,-0.5,-0.2,0.0,-0.1,-0.3,-0.4,0.0
47170,경상북도 안동시,201801-202608,202305,65.7,19.7,6.2,2.5,1.5,0.9,3.4,100.0,66.9,18.1,5.9,3.1,1.5,1.0,3.6,100.0,-1.2,1.6,0.3,-0.6,0.0,-0.1,-0.2,0.0
47170,경상북도 안동시,201801-202608,202306,69.2,16.2,5.1,2.7,1.6,0.9,4.1,100.0,65.7,16.7,6.1,3.0,1.9,1.1,5.4,100.0,3.5,-0.5,-1.0,-0.3,-0.3,-0.2,-1.3,0.0
47170,경상북도 안동시,201801-202608,202307,67.0,17.1,5.7,2.7,1.8,1.0,4.6,100.0,62.4,16.8,5.4,3.1,2.1,1.4,8.7,100.0,4.6,0.3,0.3,-0.4,-0.3,-0.4,-4.1,0.0
47170,경상북도 안동시,201801-202608,202308,65.3,18.5,5.9,3.4,1.8,1.1,4.0,100.0,65.9,18.1,6.4,3.0,1.6,1.1,3.9,100.0,-0.6,0.4,-0.5,0.4,0.2,0.0,0.1,0.0
47170,경상북도 안동시,201801-202608,202309,63.9,20.6,7.8,2.5,1.3,0.6,3.3,100.0,64.4,19.7,6.5,3.2,1.6,0.8,3.7,100.0,-0.5,0.9,1.3,-0.7,-0.3,-0.2,-0.4,0.0
47170,경상북도 안동시,201801-202608,202310,70.1,18.1,4.8,2.0,1.2,0.8,3.1,100.0,71.7,17.4,4.5,1.8,1.1,0.7,2.8,100.0,-1.6,0.7,0.3,0.2,0.1,0.1,0.3,0.0
47170,경상북도 안동시,201801-202608,202311,70.6,16.7,4.8,2.3,1.4,0.8,3.5,100.0,70.6,16.2,5.1,2.4,1.4,0.8,3.5,100.0,0.0,0.5,-0.3,-0.1,0.0,0.0,0.0,0.0
47170,경상북도 안동시,201801-202608,202312,66.8,18.6,5.9,2.4,1.5,1.0,3.9,100.0,67.9,16.7,5.2,2.5,1.8,1.2,4.6,100.0,-1.1,1.9,0.7,-0.1,-0.3,-0.2,-0.7,0.0
47170,경상북도 안동시,201801-202608,202401,67.6,15.0,5.8,3.0,2.0,1.2,5.4,100.0,62.7,20.5,7.1,3.3,1.7,1.0,3.7,100.0,4.9,-5.5,-1.3,-0.3,0.3,0.2,1.7,0.0
47170,경상북도 안동시,201801-202608,202402,62.7,21.1,7.2,3.3,1.5,0.8,3.4,100.0,67.1,15.8,5.7,2.7,2.0,1.3,5.4,100.0,-4.4,5.3,1.5,0.6,-0.5,-0.5,-2.0,0.0
47170,경상북도 안동시,201801-202608,202403,62.4,15.5,4.9,3.8,3.9,1.8,7.7,100.0,61.0,16.2,5.7,3.9,4.0,1.6,7.6,100.0,1.4,-0.7,-0.8,-0.1,-0.1,0.2,0.1,0.0
47170,경상북도 안동시,201801-202608,202404,68.4,18.3,4.9,2.4,1.5,0.8,3.8,100.0,69.7,17.6,4.6,2.2,1.5,0.9,3.6,100.0,-1.3,0.7,0.3,0.2,0.0,-0.1,0.2,0.0
47170,경상북도 안동시,201801-202608,202405,68.2,18.3,5.5,2.5,1.4,0.9,3.3,100.0,65.7,19.7,6.2,2.5,1.5,0.9,3.4,100.0,2.5,-1.4,-0.7,0.0,-0.1,0.0,-0.1,0.0
47170,경상북도 안동시,201801-202608,202406,69.3,16.3,4.9,2.8,1.6,1.0,4.1,100.0,69.2,16.2,5.1,2.7,1.6,0.9,4.1,100.0,0.1,0.1,-0.2,0.1,0.0,0.1,0.0,0.0
47170,경상북도 안동시,201801-202608,202407,66.1,17.9,5.8,3.0,1.9,1.1,4.2,100.0,67.0,17.1,5.7,2.7,1.8,1.0,4.6,100.0,-0.9,0.8,0.1,0.3,0.1,0.1,-0.4,0.0
47170,경상북도 안동시,201801-202608,202408,66.2,18.2,5.7,2.8,1.9,1.2,4.1,100.0,65.3,18.5,5.9,3.4,1.8,1.1,4.0,100.0,0.9,-0.3,-0.2,-0.6,0.1,0.1,0.1,0.0
47170,경상북도 안동시,201801-202608,202409,61.7,20.2,7.4,3.8,2.1,1.0,3.9,100.0,63.9,20.6,7.8,2.5,1.3,0.6,3.3,100.0,-2.2,-0.4,-0.4,1.3,0.8,0.4,0.6,0.0
47170,경상북도 안동시,201801-202608,202410,70.2,16.2,4.9,2.7,1.6,1.0,3.4,100.0,70.1,18.1,4.8,2.0,1.2,0.8,3.1,100.0,0.1,-1.9,0.1,0.7,0.4,0.2,0.3,0.0
47170,경상북도 안동시,201801-202608,202411,71.9,16.7,4.2,2.0,1.2,0.9,3.0,100.0,70.6,16.7,4.8,2.3,1.4,0.8,3.5,100.0,1.3,0.0,-0.6,-0.3,-0.2,0.1,-0.5,0.0
